molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
3d_a32|0.0|1|1|3.503398526|0.0|0|7.765993078999999|0|0|-0.006420365|5.733341277|-0.034290847|0.041161616|-0.0620110029999999|2.230648962|-0.269655316|0.000655875|-0.113314811|-0.0602430179999999|3|3|0.002004382|-0.1131110759999999|-0.1395294259999999|0.8315372|0.8444218509999999|-0.069007775|-0.100251236|0.90169022|0.892845502|-0.093187219|0.014419776|-37.19367587|-50.45435743|7.807299836|62.43434632|-0.02867299|-27.31750365|0.0|0.720540286|-1.118246623|-20.13777259|-15.52441767|45.000975700000005|2213.978384|483.4133562|-605.4522892000001|1855.167124|-8.405385739|10.75032687|0.747681906|4752.534658|151.30787800000002|-327.8100438|21.54552351|0.0160633|840.275417|8.697152881000001|1.0|1.0|3.34|3.11|0.24|19.0|-7.29|6.97|5.07|0.0|97.86|4.0|-6.55|3.0|-5.18|340.47|0.0|1.0|4.32|-5.13|2.81e-07|9.58e-05|4.5|0.0|5.13e-08|1.75e-05|-0.05482|3.5105|3.42|-1672.733979|959.11|353.18|0.7035100000000001|0.7035100000000001|-1672.585902|0.5031|3.2094|-1672.638515|5.1728|8.0|8.0915|8.0915
3n_a32|0.0|1|1|3.616639267|0.0|0|7.773594467000001|1|1|-0.00615216|5.733341277|-0.01504795|0.035643275|-0.056907012|2.22272854|-0.295303659|0.000609539|-0.1006122119999999|-0.0711168609999999|3|3|0.002379137|-0.100681119|-0.153506065|0.810658423|0.816774665|-0.018016496|-0.121627423|0.868826775|0.840041782|-0.092745182|0.01889769|-42.83673428|-53.32184118|10.86481886|121.6040686|-0.027401986|-30.65624207|0.0|0.648933114|-1.205687365|-24.62805609|-15.75418035|53.70155314|2526.071154|482.963897|-693.1839353999999|2426.73803|-9.057526067|11.72372261|0.840580248|5553.014016|201.8383309|-398.5311469|24.27704797|0.0210408339999999|1068.190111|12.0969734|0.0|1.0|3.51|3.29|0.32|19.0|-6.96|6.71|5.01|0.0|106.44|3.0|-5.96|4.0|-5.98|382.5|0.0|1.0|4.07|-4.91|1.11e-06|0.000424|3.74|0.0|1.1e-07|4.19e-05|-0.05535|3.5459|2.57|-1825.349557|1036.75|349.65|0.7028399999999999|0.7028399999999999|-1825.163542|0.2839|3.5849|-1825.218291|6.2667|21.0|7.6778|7.6778
15_a15|0.0|0|0|0.0|0.0|0|0.0|1|1|-0.006378587|0.0|-0.031457366|0.029814815|-0.063032481|0.0|-0.395472407|0.001806571|0.000676845|0.0020555079999999|0|0|0.003766915|-0.098862691|-0.272482143|0.843715005|0.724319314|0.007958332|0.003774415|0.7725348679999999|0.8972060479999999|-0.091075463|0.020649569|-41.11675625|-60.51136736|13.71976186|142.8140301|-0.031405332|-40.20430373|4.306196778|0.702544178|-1.821509261|-27.31834743|-20.86598874|54.83651811|3027.719888|596.1118717|-1210.227347|2868.890383|-13.86355301|11.8273735|0.772181523|7039.747576999999|197.6323578|-804.0860746000001|29.700607300000005|0.0202953539999999|1722.635223|13.48441779|1.0|0.0|4.04|4.34|0.07|24.0|-8.9|4.33|6.69|0.0|138.24|6.0|-6.32|4.0|-5.26|448.52|1.0|0.0|4.64|-6.1|4.77e-07|0.000214|5.32|0.0|1.27e-09|5.7e-07|-0.03786|3.6968|5.04|-1450.725355|1265.55|335.38|0.67524|0.70572|-1450.398033|0.0066|1.6365|-1450.462493|2.9566|109.0|6.9626|6.9626
12o_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.0068750669999999|5.351858133|-0.028326022|0.040899471|-0.089996613|0.0|-0.364378536|0.00372838|0.019094532|-0.087019298|1|1|0.003603419|-0.157974241|-0.090173435|0.8264832879999999|0.815003426|-0.054392357|-0.149451598|0.870930234|0.844344883|-0.0975052409999999|0.015460222|-49.48891079|-62.74209511|9.948252054|75.15128057|-0.037808155|-40.37291185|0.0|0.8131344979999999|-1.852599578|-31.84483128|-24.32856749|59.43716284|2860.371518|543.3140456|-1192.099807|2476.50603|-15.65480256|13.95467208|0.885533983|6542.77337|120.2431068|-767.0853252|29.91948755|0.0141914589999999|1466.05489|9.131836103|0.0|0.0|4.63|0.0|0.14|17.0|-7.22|4.47|3.27|0.0|132.29|5.0|-5.93|4.0|-5.75|432.93|0.0|1.0|3.11|-5.44|1.19e-06|0.0005139999999999|4.49|0.0|6.03e-08|2.61e-05|-0.05085|5.1935|4.45|-2035.338699|1162.63|238.73|0.3493699999999999|0.6854399999999999|-2035.139147|149.0|5559.0|-2035.199757|6.8632|16.0|7.8097|7.8097
1_a6 (SB-431542)|0.0|1|0|3.3674017380000003|0.0|0|7.423568444|1|1|-0.015636898|5.351858133|-0.175408303|0.035620155|0.1008839219999999|0.0|-0.766207981|-0.011639964|-0.029658865|-0.0492229479999999|1|1|-0.008385698|0.164429684|-0.033765606|0.838928085|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.5940412860000001|-0.122555709|0.033020439|-74.98172333|-72.69619778|19.58668728|160.410387|-0.0462988229999999|-43.12110169|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|-27.46300805|94.56841061|2678.823231|352.3666367|-1235.8353619999998|1890.228713|-16.29019397|14.26172029|0.895537592|5748.417262|146.3942108|-733.0587287000001|36.46179023|0.02438148|1640.78056|14.4623285|1.0|1.0|3.25|2.35|0.05|23.0|-7.69|4.04|3.63|0.0|106.85|4.0|-4.52|5.0|-6.73|384.39|0.0|1.0|2.85|-4.25|3.03e-05|0.0116|2.7|0.0|2.03e-08|7.81e-06|-0.05971|3.8208|4.57|-1292.553086|1049.69|324.5|0.55256|0.69868|-1292.358966|0.3346|6.0113|-1292.41452|8.8611|1542.0|5.8119|5.8119
4_a47|0.0|0|0|0.0|0.0|0|0.0|0|0|-0.008204735|0.0|-0.121159855|0.038479532|-0.158636969|1.42341819|-0.3692130839999999|-0.007295208|0.0687047279999999|0.011775922|0|0|-0.006506051|-0.247195952|-0.027355932|0.893350891|0.783871003|-0.095209424|0.019305509|0.84420422|0.874200878|-0.092556319|0.007772995|-42.46254967|-50.35610033|4.22896799|96.20929041|-0.03525955|-27.39669054|0.0|0.806604393|-1.48090111|-23.10213311|-19.18327632|46.69151766|2306.463316|475.6168721|-805.6976052|1528.797085|-10.43683449|10.818777699999998|0.67265584|5254.939281|105.2186243|-438.3470487|23.78275706|0.013656479|998.8757964|7.429930428|1.0|1.0|2.75|3.01|0.05|22.0|-8.79|4.83|5.71|0.0|106.52|3.0|-5.92|3.0|-4.99|361.82|0.0|1.0|4.32|-5.64|1.21e-06|0.0004379999999999|4.96|0.0|1.61e-09|5.81e-07|-0.05606|5.7708|4.44|-1509.4201369999998|988.42|214.85|0.45947|0.69157|-1509.262887|0.2221|4.2607|-1509.3147789999998|5.4892|32.0|7.5|7.5
11_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0|0|-0.01008647|4.727387819|-0.127546771|0.042795699|-0.101436441|1.710245969|-0.363112913|-0.008037672|0.044912659|-0.023103765|1|1|-0.005959152|-0.194041982|-0.0947326669999999|0.8947911009999999|0.724492061|0.132535663|-0.04179402|0.793311683|0.777803048|-0.099420732|0.014376713|-45.19136777|-47.02715152|6.800350988|253.1353625|-0.0391657429999999|-22.2443844|80.34769756|0.752484736|-1.292469516|-21.37603754|-18.52584757|51.99171876|2097.896727|367.9098016|-611.3529698|1105.41974|-8.76293931|10.29352296|0.8799677029999999|4487.967272999999|117.0775712|-289.1769972|24.61956593|0.021256639|812.4456757999999|10.0546353|1.0|1.0|3.19|2.07|0.0|21.0|-6.51|3.79|3.41|0.0|88.28|2.0|-4.08|4.0|-6.59|305.36|0.0|1.0|2.46|-3.71|8.37e-05|0.0256|2.22|0.0|3.06e-07|9.35e-05|-69.0|3.2232|2.12|-1288.165162|834.82|384.66|0.6966600000000001|0.6966600000000001|-1288.058926|0.4441|3.3694|-1288.10577|4.4522|0.04|7.3979|7.3979
14aa_a23|0.0|0|1|0.0|0.0|2|7.423568444|0|0|-0.005050361|5.351858133|-0.026892547|0.046678487|0.031136154|0.758549568|-0.287870566|0.013012022|-0.029037128|-0.044957534|2|2|0.012103325|0.055934795|-0.13397874|0.725358161|0.75434493|0.055269665|-0.070471939|0.8072028240000001|0.924108042|-0.076107469|0.018016316|-35.51947393|-51.83122853|12.26959478|40.49537336|-0.03159178|-35.2984572|83.27171526|0.796659447|-1.6743643259999998|-24.18971469|-21.51484958|47.78906871|2941.302235|629.3423691|-1140.287028|2263.821505|-14.65218978|15.78173785|0.972590939|6651.23042|138.4803717|-776.5660584|27.00633206|0.013786041|1431.335599|9.388663605|0.0|1.0|3.63|3.68|0.12|26.0|-8.16|4.4|4.63|1.0|130.22|5.0|-6.23|4.0|-5.92|439.54|0.0|0.0|4.1|-5.55|5.9e-07|0.000259|4.31|0.0|6.9799999999999995e-09|3.07e-06|-0.0708299999999999|3.5934|4.1|-1708.5422620000002|1231.11|345.03|0.6805899999999999|0.6805899999999999|-1708.276011|0.4157|5.8286|-1708.338059|8.3532|4.0|8451.0|8451.0
24_a47|0.0|0|1|0.0|0.0|1|6.86171134|0|0|-0.010774404|4.727387819|-0.1160443999999999|0.039520202|0.0251322929999999|1.081401467|-0.484848181|-0.0060410169999999|-0.063708635|0.071506228|1|1|-0.004514441|0.056234624|-0.2494728939999999|0.662080166|0.812650394|-0.005097239|0.113432542|0.875198713|0.7839491009999999|-0.090995097|0.021522987|-42.71324947|-51.21152885|12.11301576|41.72753688|-0.032498249|-28.82156035|47.170683|0.611603578|-1.364926459|-24.03877652|-18.28983173|54.82626523|2642.775318|441.2021442|-768.1729327|1239.381181|-10.29341441|13.48797266|0.920079732|6022.202634|218.5873217|-432.3234052|29.90471672|0.032103375|1255.998102|18.06759887|1.0|1.0|3.14|3.12|0.05|21.0|-7.63|2.78|4.64|0.0|104.73|5.0|-4.61|5.0|-6.48|396.81|0.0|1.0|3.31|-4.52|2.46e-05|0.00975|3.16|0.0|2.32e-08|9.22e-06|-0.06517|3.9675|4.46|-1696.071577|1002.04|312.5|0.6835|0.6835|-1695.93106|0.2618|2.6517|-1695.98597|3.6008|3.0|8.5|8.5
8a_a8|0.0|1|0|3.150966553|0.0|1|7.535296702|1|1|-0.014658222|5.4161004020000005|-0.1950388569999999|0.040243056|0.027531877|0.0|-0.732911106|-0.0075336219999999|0.010118884|-0.0298924089999999|1|1|-0.005306541|0.044579097|0.089375589|0.76592324|0.762577159|0.089031731|-0.048064085|0.8220300859999999|0.550829475|-0.118763303|0.034374791|-78.93428863|-71.12928513|20.58762475|170.9592896|-0.049054408|-42.60049244|84.91322996|0.76420633|-2.256502762|-47.27503672|-29.37948733|99.52191337|2802.374154|329.9007832|-1351.456417|1746.6927010000002|-17.59585557|14.52342059|0.927876056|6193.891189|141.2206861|-809.4093564|38.44444383|0.025786572|1768.444416|15.44399996|0.0|0.0|3.37|2.64|0.05|23.0|-6.76|3.13|2.72|0.0|109.21|4.0|-4.4|5.0|-7.04|400.39|0.0|0.0|2.56|-4.14|3.99e-05|16.0|2.4|0.0|1.74e-07|6.96e-05|-0.06922|4.6017|6.1|-1367.744724|1061.5|269.43|0.4927399999999999|0.7036899999999999|-1367.539526|0.1729|5.4201|-1367.595683|6.8427|11.34|4.9454|4.9454
11a_a50|0.0|0|1|0.0|0.0|2|7.927685046000001|1|1|-0.002914262|5.82008293|-0.014702942|0.038040936|-0.04339705|2.114272566|-0.134056065|0.011959339|-0.108592708|-0.129547471|2|2|0.012037198|-0.0739260509999999|-0.277408878|0.701976536|0.792574879|-0.158172459|-0.200986578|0.8535780190000001|0.917127112|-0.071180382|0.01848869|-25.48858279|-37.63057389|9.774322692|7.53108119|-0.025421565|-19.89396594|67.28055926|0.6543614329999999|-1.067705728|-13.47492066|-13.43949068|35.26290548|2286.226222|484.8529701000001|-564.4586084|1550.320581|-7.104987834|11.123941699999998|0.864799282|4858.670497|182.7270002|-298.409489|20.53832944|0.020887781|862.6098364|11.04263807|0.0|1.0|3.44|2.8|0.15|20.0|-5.87|3.09|3.73|0.0|99.65|2.0|-3.58|3.0|-6.24|327.38|0.0|1.0|2.95|-4.16|0.000263|0.0862|2.9|0.0|1.35e-06|0.000441|-0.03284|4.0636|3.05|-1045.954278|963.2|305.11|0.65485|0.65485|-1045.794689|0.1761|5.4342|-1045.84627|7.5619|59.0|7.2291|7.2291
12q_a36|0.0|1|0|3.453150038|0.0|0|7.412764017000001|2|2|-0.00761082|5.351858133|-0.043678703|0.042804233|0.068040097|0.0|-0.410984299|0.0005016269999999|-0.0651906459999999|-0.0433009009999999|1|1|0.0010871589999999|0.1161527719999999|-0.177407665|0.8941919290000001|0.828371596|-0.017640538|-0.074349074|0.8839272779999999|0.82911927|-0.1060430969999999|0.018562763|-49.18227989|-68.5549152|12.00048565|82.68142965|-0.038175515|-44.31949385|0.0|0.768692389|-1.908775752|-31.79544084|-24.67976947|61.18276554|2786.514757|536.0103834|-1233.988474|2380.245597|-15.95501778|14.69971555|0.947876484|6040.52496|149.536123|-797.7508892000001|32.10617123|0.017949083|1605.308562|11.60375275|0.0|0.0|4.74|0.0|0.14|17.0|-7.18|3.35|2.54|0.0|128.76|5.0|-4.44|4.0|-6.49|415.88|0.0|1.0|2.34|-4.59|3.64e-05|0.0151|3.31|0.0|6.65e-08|2.77e-05|-0.05602|5.2375|3.79|-1692.5102989999998|1148.35|236.72|0.39919|0.6863199999999999|-1692.3116350000005|0.3419|4.6718|-1692.370918|6.4226|6.0|8.2218|8.2218
4q_a46|0.0|0|0|0.0|0.09591943|1|7.832410927000001|1|1|-0.001250008|5.587248657999999|0.004704245|0.0462962959999999|-0.012611536|0.0|-0.066250447|0.012173202|-0.155661124|-0.081623022|1|1|0.012222698|-0.019471024|-0.187559576|0.716317772|0.807871283|-0.15266708|-0.121752717|0.848935944|0.913550004|-0.070035423|0.014510206|-29.12008262|-39.09149156|8.099124333999999|38.31894407|-0.021010627|-21.81959712|72.14599138|0.61955726|-1.050531344|-16.25388148|-11.72744747|37.21920695|2234.596293|509.9138517|-586.3723734|1491.412605|-6.545879136|11.78798551|0.952269544|4992.497361|212.350744|-327.2939568|18.92875482|0.018430997|946.4377411|10.28758193|1.0|1.0|3.95|3.16|0.38|17.0|-6.94|4.09|4.09|0.0|102.63|4.0|-3.41|4.0|-6.54|348.44|0.0|0.0|3.15|-3.89|0.000389|135.0|2.65|0.0|1.14e-07|3.97e-05|-0.03042|4.5296|2.57|-1108.729426|1043.05|273.72|0.69002|0.69002|-1108.511662|0.1432|2.7026|-1108.566571|3.2968|743.0|6129.0|6129.0
16b_a32|-3.3094926630000003|1|1|3.2902303|0.0|0|7.765993078999999|0|0|-0.008469352|5.733341277|-0.3723824429999999|0.041958333|-0.012739425|2.033356859|-0.423467596|-0.008277865|-0.018753196|-0.0657820279999999|3|3|-0.00180101|-0.023602065|-0.222700615|0.745820612|0.852956281|0.056127969|-0.098450203|0.907055332|0.7465375040000001|-0.1083060409999999|0.015808858|-56.84546999|-69.39772428|10.12961779|53.96132589|-0.0345657579999999|-44.4669946|9.827907321|0.7476362679999999|-1.624590613|-36.42406481|-22.14820988|66.97508778|3037.795494|478.3482386|-1040.965864|3264.235184|-14.19159402|11.05406524|0.709394251|6612.089615999999|161.7035261|-667.0049190000001|29.62431176|0.017136832|1392.342653|10.98052464|0.0|1.0|3.71|2.48|0.28|19.0|-7.6|5.4|4.88|0.0|114.43|7.0|-6.28|6.0|-6.72|433.57|1.0|1.0|3.26|-4.55|5.19e-07|0.000225|3.14|0.0|2.54e-08|1.1e-05|-0.05946|3.6211|6.37|-2315.951437|1137.73|342.39|0.70233|0.70233|-2315.757928|0.2849|4.4055|-2315.819979|7.0093|17.0|7.7696|7.7696
6_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0|0|-0.008934536|4.727387819|-0.106234254|0.038650794|-0.025021661|2.000787282|-0.330577816|-0.007540435|0.05584062|0.032782484|1|1|-0.006696449|-0.0445675709999999|0.036673175|0.881253042|0.790667152|-0.155862559|0.055002252|0.8632654590000001|0.783322023|-0.098669224|0.010921391|-52.01903278|-49.23401228|5.449560482000001|236.2008316|-0.037726468|-24.56680878|77.06094911|0.80281499|-1.282699916|-25.95647951|-18.8247694|57.46859326|2196.107822|390.8623623|-640.0421597|1899.385061|-9.393191593|8.982311462|0.633675574|4992.54948|98.39146166|-319.3685142|23.4484528|0.0150025189999999|797.2473951000001|7.485963593999999|1.0|1.0|3.05|2.65|0.0|21.0|-7.48|4.96|4.66|0.0|95.5|2.0|-5.44|3.0|-5.68|338.81|0.0|1.0|3.63|-4.87|3.67e-06|0.00124|3.79|0.0|3.28e-08|1.11e-05|-0.06529|5.8279|3.09|-1731.7043199999998|884.88|212.74|0.3369|0.69323|-1731.602363|129.0|2.8131|-1731.6508010000002|3.7185|1778.0|5.7501|5.7501
41_a47|0.0|0|1|0.0|0.0|1|6.842683282|0|0|-0.004083905|4.727387819|-0.072088843|0.042537538|-0.080388467|1.601942802|-0.187859623|0.003530307|0.024881402|0.075316535|1|1|0.0047106|-0.178132441|-0.317014709|0.62974551|0.8417952740000001|0.08640454|0.123676975|0.900915114|0.823168463|-0.0899793719999999|0.018348892|-34.50740631|-50.81597048|10.36256127|54.15850042|-0.02929561|-28.69838714|0.0|0.653147815|-1.259711209|-19.48810377|-16.54473457|44.86996758|2374.594252|464.8854878|-711.4235867000001|1073.170368|-9.34366093|12.96444871|0.8084689140000001|5042.636398|195.8852341|-401.77742|25.33076615|0.023067788|1089.222944|13.02756406|1.0|1.0|3.18|3.18|0.16|21.0|-7.47|3.34|4.52|0.0|99.09|4.0|-3.57|5.0|-6.66|348.38|0.0|1.0|3.06|-3.9|0.000267|0.0929|2.49|0.0|3.36e-08|1.17e-05|-0.05053|4.0167|2.41|-1162.462261|995.43|308.67|0.6779|0.68638|-1162.288187|0.2504|4.9162|-1162.342476|6.8546|0.01|8.0|8.0
13_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|-0.000990136|5.4161004020000005|-0.019846488|0.044357639|-0.059300584|0.0|-0.04158572|0.012994083|-0.14818661|-0.0963182119999999|1|1|0.012019888|-0.094404255|-0.025714912|0.645708528|0.744134785|-0.215746851|-0.157188841|0.7986239909999999|0.970027005|-0.068249548|0.008746805|-24.48959182|-33.41617993|4.282589756|11.85953992|-0.0279998139999999|-16.36114989|54.71349575|0.862539527|-1.091992764|-11.99053523|-13.70920202|28.77218157|1910.137758|474.9422962|-534.6588788|1439.176684|-6.7122666220000005|9.917593683|0.751144285|3983.972795|67.30306705|-261.7783983|15.89399858|0.007566425|619.8659446|3.704655033|0.0|0.0|3.39|2.87|0.16|17.0|-6.2|4.18|4.15|0.0|90.06|2.0|-4.09|2.0|-5.39|287.36|0.0|1.0|3.57|-4.42|8.18e-05|0.0235|3.75|0.0|6.28e-07|0.00018|-0.03168|4.4811|3.87|-898.3381672|893.0|276.68|0.53815|0.59537|-898.2009630000001|0.1282|2471.0|-898.2503529999999|3.7228|4.0|5.3979|5.3979
11b_a50|0.0|0|1|0.0|0.0|2|7.927685046000001|1|1|-0.002908227|5.82008293|-0.014702942|0.038040936|-0.007722567|2.114272566|-0.13377846|0.011959339|-0.218953127|-0.133073229|2|2|0.012037198|-0.013155246|-0.277408878|0.701976536|0.800774662|-0.146696566|-0.20645662|0.862408925|0.931316325|-0.069841183|0.019455771|-23.23499995|-36.43643854|10.1501574|7.949039772000001|-0.02494328|-19.0090431|86.04123302|0.642051995|-1.047617742|-12.12179711|-13.01301376|33.38515735|2286.724895|485.8716402|-546.5465781|1650.235214|-6.788943965|9.979494111|0.751545111|4884.730303|186.7429782|-285.1356465|20.26785036|0.021631609|851.2497152000001|11.28530137|0.0|1.0|3.44|2.84|0.15|20.0|-5.87|3.09|3.73|0.0|99.65|2.0|-3.58|3.0|-6.24|327.38|0.0|1.0|2.96|-4.16|0.000263|0.0862|2.9|0.0|1.35e-06|0.000441|-0.02817|4.6471|3.05|-1045.961211|955.4|266.8|0.53885|0.64477|-1045.798634|0.0711|2.7805|-1045.849774|3.7922|1.7|5.7696|5.7696
14x_a23|0.0|0|1|0.0|0.0|2|7.423568444|0|0|-0.0065692219999999|5.351858133|-0.111315218|0.04314059|0.05740118|0.6753138120000001|-0.335030301|0.003379755|-0.075184011|-0.0229244|2|2|0.003906274|0.160327487|-0.206574435|0.5788469970000001|0.802520527|-0.035031888|-0.035965909|0.8668730109999999|0.7768288609999999|-0.084244058|0.022095943|-46.97594633|-55.83053941|14.64350681|42.44114495|-0.034056109|-37.00022522|87.28077098|0.722211323|-1.6006371069999998|-31.13207597|-22.56979253|61.61945314|3071.48868|514.8229467|-1060.780249|2382.851643|-14.95753786|14.62325432|0.880126802|6989.569075|184.0971574|-703.0042792|31.25095356|0.0219879679999999|1468.794817|14.57194888|0.0|0.0|3.42|3.42|0.05|26.0|-7.93|4.2|5.14|1.0|120.2|5.0|-5.68|6.0|-6.35|447.46|0.0|0.0|4.06|-5.27|2.09e-06|0.0009369999999999|3.78|0.0|1.17e-08|5.23e-06|-0.08216|4.0641|3.97|-1828.371718|1149.42|305.07|0.6757|0.62836|-1828.168422|0.3057|5.7933|-1828.228912|8.1916|3.0|8.4949|8.4949
11_a47|0.0|0|0|0.0|0.0|0|0.0|0|0|-0.007767503|0.0|-0.156077888|0.033931624|-0.0586047379999999|1.311097861|-0.427212659|-0.007419345|0.081235787|0.046339015|0|0|-0.00580273|-0.120383371|-0.079543257|0.702719047|0.715054643|-0.058523885|0.07716247|0.770028429|0.796863393|-0.096486559|0.008462682|-50.01659041|-59.10798423|5.184267117|119.4035378|-0.035945973|-36.20974614|1.882633323|0.816608795|-1.833244617|-30.64032829|-22.02062158|55.20085753|2842.168734|488.1611434|-1123.0517|2201.328597|-13.48990542|11.22841564|0.8820228529999999|6736.717611|112.34605729999998|-687.9851765999999|26.96593732|0.0128657439999999|1375.2628029999998|7.881596968999999|1.0|1.0|3.28|3.15|0.04|28.0|-10.55|5.58|6.68|0.0|124.7|4.0|-6.29|5.0|-5.28|422.45|1.0|1.0|4.69|-6.03|5.110000000000001e-07|0.000216|5.06|0.0|2.81e-11|1.19e-08|-0.05094|3.7253|4.84|-1396.145101|1146.42|332.82|0.6915399999999999|0.6915399999999999|-1395.922861|0.2321|2.9142|-1395.980918|4.6111|0.04|7.4|7.4
8g_a12|0.0|1|1|2.897921027|0.0|0|6.580639137|1|1|-0.0084227909999999|4.59511985|-0.029907264|0.038347953|-0.038463841|1.714060666|-0.40429396|0.005898773|-0.094550033|-0.040257632|1|1|0.005405355|-0.068810076|0.122649613|0.804158158|0.7475224290000001|-0.04981165|-0.070405398|0.80546986|0.8576253690000001|-0.1045061519999999|0.008910823|-42.39297373|-57.6443411|4.915102972|84.95000993|-0.042752517|-31.79592789|0.0|0.90166696|-1.881110729|-23.38345638|-23.58177591|47.30807670000001|2506.427441|473.055878|-1037.59814|1356.883205|-13.00742505|12.83559677|0.864880588|5327.736626|54.23932676|-572.326702|26.15353224|0.007890315|1150.7554189999998|4.352203029|1.0|1.0|4.07|2.51|0.1|21.0|-8.0|3.31|2.07|0.0|109.93|3.0|-4.38|5.0|-6.28|353.38|0.0|0.0|2.77|-4.34|4.15e-05|0.0146|3.06|0.0|9.98e-09|3.53e-06|-0.06432|4.2057|3.68|-1154.281986|989.66|294.8|462.0|0.55027|-1154.121362|0.1601|2.9986|-1154.173831|4.2131|3715.0|5.43|5.43
6_a15|0.0|0|0|0.0|0.0|0|0.0|0|0|-0.00951284|0.0|-0.048804012|0.042926829|0.106485923|0.0|-0.513693384|0.001080419|0.011857945|-0.009025163|0|0|0.003942615|0.153430865|-0.281352401|0.8511056929999999|0.691316481|0.0371776429999999|-0.015484797|0.7248900659999999|0.859308431|-0.123000073|0.02948637|-41.14459066|-71.76572566|17.20414198|105.4415725|-0.0307500179999999|-41.87249058|55.65697829|0.581974721|-1.599000943|-24.00625743|-17.94143141|58.34873264|2454.904173|501.3728188|-932.9544335|1971.005637|-10.46812265|10.02135591|0.640136254|5589.043165|243.9013805|-544.3423775|30.82854077|0.029449813|1603.08412|17.18281248|1.0|1.0|3.29|4.03|0.23|18.0|-7.95|4.43|5.26|0.0|109.7|7.0|-5.66|5.0|-5.33|380.44|0.0|1.0|4.11|-5.14|2.16e-06|0.000823|4.64|0.0|1.13e-08|4.3e-06|-0.02419|4.3423|3.94|-1263.0072300000002|1092.02|285.52|0.65191|0.70554|-1262.75978|0.0113|1.3789|-1262.820532|1.9421|35.0|7.4559|7.4559
15d_a10|0.0|0|0|0.0|0.0|1|7.535296702|2|2|-0.002831383|5.4161004020000005|0.0370874879999999|0.031742919|-0.059217023|2.04092658|-0.184039927|0.010215823|-0.140487312|0.007032164|1|1|0.011249462|-0.092884337|-0.280243276|0.74726683|0.745184875|0.02497303|0.0131101969999999|0.7857977740000001|0.87609771|-0.070612242|0.02281891|-38.80896881|-47.58559595|15.37766538|67.59624856|-0.018829931|-32.06793721|141.0919598|0.471900166|-1.129795872|-26.15336742|-12.68949225|54.18663419|2967.522813|590.402322|-761.3695352999999|2036.192049|-8.551449923|16.02072769|0.900629528|6511.656447|355.8865234|-513.0869954|26.89020509|0.028735133|1613.412305|19.36460841|1.0|1.0|3.71|4.01|0.35|21.0|-7.82|4.14|3.44|0.0|131.43|6.0|-3.78|6.0|-7.04|441.52|0.0|0.0|3.18|-4.38|0.000167|0.0739|2.75|0.0|1.5e-08|6.62e-06|-0.05002|5.6004|2.05|-1431.051425|1266.87|221.39|0.3685|0.6814100000000001|-1430.733658|0.0856|3.3831|-1430.795367|3.8163|69.0|7.1612|7.1612
