molecula|molar_refractivity|WNSA4|heavy_atom_count|n5aHRing|HOMO-LUMO Energy Difference (Hartree)|BCUTs-1l|FPSA5|Mor01p|PPSA3|pIC50|Solubility [Log S (ESOL)] (mol/l)|Log S (ESOL)|Log Po/w XLOGP3|CYP3A4 inhibitor|ATSC1c|Synthetic Accessibility|MATS7i|Log S (SILICOS-IT)|pIC50
14c_a23|125.29|-15.0359121|31.0|2|-0.15143|1.197962449|0.016385474|633.3278634|12.52192141|8.6253|2.83e-06|-5.55|4.21|1.0|-0.296935034|3.4|0.04174584|-7.99|8.6253
47s_a18|149.34|-17.25406952|36.0|0|-0.13195|1.251176205|0.010481057|1093.725912|6.394119331000001|6.2104|3.53e-06|-5.45|4.62|1.0|-0.394481152|4.41|-0.026883417|-9.42|6.2104
21a_a23|125.25|-15.07212993|31.0|2|-0.15024|1.197963603|0.011178565|666.0036144999999|7.634348008|6.9914|5.29e-06|-5.28|3.98|1.0|-0.3082571839999999|3.53|0.071115216|-7.78|6.9914
12l_a36|128.47|-16.12160667|31.0|1|-0.15869|1.297044247|0.02088234|642.3830552000001|14.33450402|7.699|5.08e-05|-4.29|2.95|0.0|-0.4203659179999999|4.78|0.128666217|-6.66|7.699
SB431542_a8|109.21|-17.46740332|30.0|1||1.401734117|0.025179219|529.053307|20.78806656|4.1019|7.28e-05|-4.14|2.4|0.0|-0.721718925|3.35|0.096884952|-6.76|4.1019
3c_a12|98.16|-8.698843907999999|23.0|1|-0.14572|0.610140703|0.02155815|380.2468615|6.688634392000001|7.699|9.940000000000002e-05|-4.0|2.91|1.0|-0.379362977|3.94|-0.14679559|-6.78|7.699
13b_a5|119.8|-11.0239272|30.0|1|-0.17274|1.338814635|0.021552174|638.8437454|8.980592802|6.9586|3.75e-05|-4.43|3.01|1.0|-0.251535058|2.97|-0.006314305|-8.36|6.9586
16_a20|121.69|-12.79619894|31.0|1|-0.1481299999999999|1.401259527|0.013439632|664.4562602999999|7.634605066000001|7.585|2.17e-06|-5.66|4.69|1.0|-0.254072625|3.5|0.126359252|-10.52|7.585
15_a31|90.47|-11.75113151|24.0|2|-0.15202|0.610137926|0.03396368|363.593507|20.47825449|5.9586|0.000272|-3.57|2.18|1.0|-0.775463115|3.31|-0.0302581979999999|-5.66|5.9586
11_a27|106.33|-9.595877966|26.0|0|-0.1022|1.1606177359999998|0.012694323|504.209846|8.553922917000001|8.301|9.45e-05|-4.02|2.73|0.0|-0.344117757|3.95|-0.080272515|-6.09|8.301
