molecula|molar_refractivity|WNSA4|heavy_atom_count|n5aHRing|HOMO-LUMO Energy Difference (Hartree)|BCUTs-1l|FPSA5|Mor01p|PPSA3|pIC50|Solubility [Log S (ESOL)] (mol/l)|Log S (ESOL)|Log Po/w XLOGP3|CYP3A4 inhibitor|ATSC1c|Synthetic Accessibility|MATS7i|Log S (SILICOS-IT)|pIC50
8h_a8|105.27|-16.87148841|29.0|1|-0.15475|1.3918396709999998|0.00764059|485.8626377000001|6.58499063|4.9359|1.01e-05|-5.0|3.82|0.0|-0.485274006|3.11|0.008138299|-7.95|4.9359
10_a3|88.28|-7.715112198|22.0|1|-0.15011|0.605017375|0.023470578|311.6695405|6.768239856|5.1|0.000145|-3.84|2.43|1.0|-0.381954986|3.02|0.017396832|-6.51|5.1
35_a18|151.05|-18.16338657|36.0|0|-132.0|1.251175948|0.007954001|1056.535856|6.525195505|7.6198|2.96e-06|-5.53|4.55|1.0|-0.44784362|4.3|-0.069149293|-9.55|7.6198
19d_a38|133.79|-18.15727844|33.0|1|-0.15054|1.297043205|0.022660131|686.8472757999999|15.53007152|7.9586|0.0002399999999999|-3.62|1.65|0.0|-0.6999264340000001|4.91|0.019858574|-6.41|7.9586
3a_a12|97.52|-8.361421244|23.0|0|-0.15328|1.28383802|0.015909241|381.0058252|4.615711776|6.7122|8.8e-05|-4.06|3.15|1.0|-0.322200517|3.84|-0.1231529169999999|-7.5|6.7122
14ae_a23|133.27|-13.81539807|34.0|2|-0.14537|1.1979624290000002|0.034488074|770.8206617000001|24.84237243|8.6038|8.22e-06|-5.08|3.52|1.0|-0.4448081789999999|3.74|0.026913008|-7.6|8.6038
12k_a36|133.84|-16.38090333|31.0|1|-0.15053|1.297043952|0.016847116|698.847203|11.90012613|7.8539|2.82e-05|-4.55|3.45|0.0|-0.413145744|4.89|0.096315593|-7.01|7.8539
14g_a23|126.97|-21.03611074|35.0|2|-0.1519|1.197957711|0.020564836|676.4530574|13.05300369|8.0|1e-06|-6.0|4.76|1.0|-0.803522236|3.61|0.058422864|-7.95|8.0
17_a4|85.09|-11.21677197|25.0|1|-0.17559|1.219995452|0.012827738|319.5521911|5.472562628|6.057|1.5399999999999998e-05|-4.81|4.01|0.0|-0.25315101|3.31|-0.01849014|-6.56|6.057
1j_a5|96.98|-7.86442482|25.0|1|-0.16813|1.427567371|0.026739895|422.96706330000006|10.57633738|7.6198|6.29e-05|-4.2|3.03|1.0|-0.175183967|2.76|-0.115553003|-8.14|7.6198
1i_a5|95.49|-11.09187646|27.0|1|-0.17945|1.219028472|0.0196689|403.396385|4.621144795|7.6198|1.0800000000000002e-05|-4.97|3.95|1.0|-0.279280326|2.83|0.018196138|-8.88|7.6198
7b_a10|105.44|-7.419027879|25.0|0|-0.1584799999999999|1.186434511|0.012428175|459.0250226|5.061217187|4.7033|5.25e-06|-5.28|4.68|0.0|-0.07459988|3.9|-0.060829392|-6.99|4.7033
12w_a36|130.43|-21.24440511|34.0|1|-0.15708|1.24014105|0.0273396629999999|672.4630346|15.15285952|7.6383|8.6e-06|-5.07|3.86|0.0|-0.917874106|4.82|0.041058884|-7.14|7.6383
18_a15|113.42|-13.15898469|29.0|0|-0.1579|1.435689019|0.008781964|590.2470602999999|4.370403779|6.8894|1.18e-06|-5.93|5.42|1.0|-0.319782642|3.37|-0.094812415|-9.98|6.8894
34_a20|125.0|-14.59875162|32.0|1|-0.16103|1.416932073|0.01491516|712.1606951|8.766605631000001|7.2147|9.51e-06|-5.02|3.63|1.0|-0.328567476|3.43|0.199191385|-9.18|7.2147
16d_a32|102.33|-12.41372827|26.0|3|-0.15009|0.609420775|0.0332953229999999|457.7130665|18.67986534|8.1135|6.659999999999999e-05|-4.18|2.86|1.0|-0.7589895790000001|3.35|0.0115077539999999|-6.59|8.1135
14x_a23|120.2|-14.95753786|32.0|2|-0.15259|1.197963189|0.0219879679999999|597.2903597999999|14.64350681|8.4949|5.41e-06|-5.27|3.78|0.0|-0.335030301|3.42|0.05740118|-7.93|8.4949
24_a47|104.73|-10.29341441|28.0|1|-0.16333|1.304328602|0.032103375|457.1122177|12.11301576|8.5|3.05e-05|-4.52|3.16|1.0|-0.484848181|3.14|0.0251322929999999|-7.63|8.5
14h_a23|125.0|-15.35036053|32.0|2|-0.15209|1.197963488|0.018981866|646.2584547|14.81983413|8.3468|1.27e-05|-4.9|3.3|1.0|-0.307907256|3.47|0.0316908439999999|-7.47|8.3468
12ag_a36|123.71|-15.48857353|30.0|1|-0.15227|1.297044434|0.019328689|595.8790650000001|12.70005599|7.7696|6.96e-05|-4.16|2.78|0.0|-0.436614203|4.72|0.063109409|-6.86|7.7696
15_a10|111.21|-8.964715924|28.0|1|-0.1574|1.277647202|0.020932674|563.875765|11.09373722|7.4815|1.56e-05|-4.81|3.68|1.0|-0.142251304|3.29|-0.0729795729999999|-8.3|7.4815
6_a4|109.7|-7.639600225|27.0|1|-0.16959|1.271761557|0.008863911|578.2065561000001|4.324187697|5.8861|7.74e-06|-5.11|4.28|1.0|-0.064723237|3.38|0.042096749|-7.99|5.8861
16h_a32|111.95|-15.6485794|28.0|3|-0.14972|0.609420754|0.020432929|573.3529948|13.31708433|8.0655|1.7800000000000002e-05|-4.75|3.66|1.0|-0.7828009570000001|3.61|-0.069213021|-7.0|8.0655
13n_a6|127.2|-18.12946621|33.0|1|-0.13863|1.4290206230000002|0.019904118|724.3873672999999|12.18768927|7.1249|5.24e-05|-4.28|2.43|1.0|-0.631323273|3.55|0.058267173|-9.67|7.1249
17a_a22|128.29|-14.39939974|33.0|1|-0.06214|1.2689202|0.01931764|784.2697099|9.597299109|7.0862|1.09e-05|-4.96|3.62|1.0|-0.314134834|4.02|-0.054347074|-9.13|7.0862
7d_a10|100.04|-6.961625817000001|26.0|1|-0.1633099999999999|1.34384996|0.014078094|460.1866123|5.567989142999999|6.0325|1.9e-05|-4.72|3.62|1.0|-0.0845736919999999|3.21|-0.042667459|-7.83|6.0325
12p_a30|132.24|-14.91687369|30.0|1|-0.14823|0.604984421|0.0130197619999999|686.039456|9.659715461|7.7721|7.05e-06|-5.15|4.23|0.0|-0.3550576729999999|4.76|-0.062956958|-7.01|7.7721
5b_a49|122.26|-8.985071494|30.0|1|-0.1624799999999999|1.343848745|0.025332565|612.7019937000001|11.94347454|7.5528|0.000118|-3.93|2.08|1.0|-0.418576471|3.34|-0.072128552|-7.24|7.5528
3_a27|97.71|-8.663302268999999|25.0|1|-0.16457|1.402697639|0.018747239|401.7540197|9.960129259|8.3979|0.000103|-3.99|2.67|1.0|-0.27868256|3.03|-0.172132163|-5.89|8.3979
11f_a5|126.79|-10.77881574|32.0|1|-0.1691|1.370797007|0.030351311|753.9168511|15.41338844|7.9208|5.479999999999999e-05|-4.26|2.7|1.0|-0.227966183|3.35|-0.083432989|-8.67|7.9208
4r_a46|97.9|-7.304896049|25.0|1|-0.18999|1.13129629|0.015225417|496.0386301|6.071841742999999|5.8499|0.000279|-3.55|2.12|1.0|-0.141309389|3.82|-0.15196733|-6.25|5.8499
19k_a38|133.79|-17.9828603|33.0|1|-0.14568|1.297042875|0.021802691|686.8472757999999|14.76615358|7.9666|0.0002399999999999|-3.62|1.65|0.0|-0.6888696990000001|4.89|0.098947776|-6.41|7.9666
19h_a38|125.69|-13.74247449|30.0|1|-0.1467099999999999|1.297044177|0.020207411|595.8790650000001|12.51014765|8.0348|6.77e-05|-4.17|2.78|1.0|-0.420209249|4.8|0.14165187|-6.86|8.0348
12_a3|90.49|-8.921820355|22.0|1|-0.13153|0.605020506|0.01374218|330.4083896|5.258353635|5.45|1.44e-05|-4.84|4.03|1.0|-0.336455156|3.2|-0.120694579|-6.89|5.45
18d_a25|143.37|-15.93166285|35.0|1|-0.14723|1.193723212|0.014219928|883.4030667999999|8.39885106|6.6345|2.86e-06|-5.54|4.21|1.0|-0.180590503|3.66|-0.031867489|-10.23|6.6345
16_a31|80.57|-11.12287666|21.0|2|-0.15231|0.61013894|0.027684692|280.39844320000003|17.63615984|7.0458|0.000254|-3.6|2.32|1.0|-0.726543099|3.2|-0.050076586|-4.94|7.0458
13_a4|90.06|-6.7122666220000005|22.0|1|-0.17204|1.399843898|0.007566425|373.9073307|4.282589756|5.3979|3.77e-05|-4.42|3.75|0.0|-0.04158572|3.39|-0.059300584|-6.2|5.3979
46_a18|151.14|-14.76030741|36.0|0|-0.13224|1.251088279|0.013181412|1056.535856|6.376289807000001|6.7305|3.35e-06|-5.47|4.36|1.0|-0.3872848129999999|4.27|-0.046124025|-8.82|6.7305
12r_a30|127.19|-16.88017015|31.0|1|-0.14894|0.604984545|0.016970201|616.2856203|12.36992712|7.5317|6.71e-06|-5.17|4.07|0.0|-0.400352091|4.66|-0.093079817|-7.16|7.5317
12v_a30|137.3|-17.2408622|31.0|1|-0.1505099999999999|0.604983445|0.014801518|685.6665849999999|10.70556236|7.6596|9.14e-07|-6.04|5.12|0.0|-0.369659818|4.62|-0.099831334|-7.8|7.6596
15d_a10|131.43|-8.551449923|33.0|1|-0.15916|1.343850133|0.028735133|825.4425942|15.37766538|7.1612|4.1200000000000005e-05|-4.38|2.75|1.0|-0.184039927|3.71|-0.059217023|-7.82|7.1612
47r_a18|145.82|-17.70979622|36.0|0|-0.13021|0.403924645|0.0225607039999999|1005.982493|11.59378448|6.6364|2.31e-06|-5.64|4.59|1.0|-0.40455848|4.55|0.041686585|-7.46|6.6364
33_a20|121.62|-11.3769728|31.0|1|-0.15959|1.4175014119999998|0.013564844|664.4562602999999|8.340767701|7.4685|2.98e-06|-5.53|4.47|1.0|-0.078557022|3.39|0.148855442|-9.69|7.4685
8a_a50|94.75|-8.042467074|24.0|2|-0.17244|1.39826105|0.017017336|388.171611|9.480859015|7.3279|7.48e-05|-4.13|2.95|1.0|-0.188998337|3.34|-0.0224366579999999|-6.32|7.3279
13d_a5 (GW788388)|121.68|-12.76608229|32.0|1|-0.17299|1.236844097|0.022041749|723.0631751|9.637686167|7.7447|4.5e-05|-4.35|2.75|1.0|-0.33442223|3.21|-0.092509033|-8.84|7.7447
26_a47|104.8|-13.07911017|28.0|1|-0.16642|1.304328272|0.024619511|457.1122177|12.13564316|7.9|2.77e-05|-4.56|3.12|1.0|-0.544056455|3.13|-0.110530752|-7.22|7.9
6a_a40|120.14|-19.17478857|29.0|2|-0.11995|0.604893625|0.012872604|557.4018948|10.24294396|7.3979|1.03e-05|-4.99|3.77|1.0|-0.68730803|3.99|-0.146542353|-4.05|7.3979
10_a4|111.38|-9.046715915|28.0|1|-0.15561|1.343863662|0.014040792|594.7358385|8.440134933|7.0555|1.4e-05|-4.85|3.85|1.0|-0.159792527|3.46|0.00941601|-8.07|7.0555
5a_a49|116.62|-9.345067946|30.0|1|-0.16176|1.343848751|0.0270848489999999|592.5885712|16.71687776|7.3665|5.09e-05|-4.29|2.65|1.0|-0.493952547|3.37|-0.072902329|-6.92|7.3665
5b_a50|96.89|-5.525088972000001|24.0|2|-0.16683|1.397278957|0.023005632|409.0289917|6.200250541|4.9126|6.47e-05|-4.19|3.06|1.0|-0.062071259|3.37|-0.052494624|-5.86|4.9126
13a_a30|135.37|-19.5115996|32.0|1|-0.14953|0.604984129|0.017212819|713.7769663|12.53013554|7.8665|5e-05|-4.3|2.74|0.0|-0.627166322|4.76|-0.036541822|-6.19|7.8665
15_a15|138.24|-13.86355301|34.0|0|-0.10964|1.435688991|0.0202953539999999|830.7967967000001|13.71976186|6.9626|7.970000000000001e-07|-6.1|5.32|0.0|-0.395472407|4.04|-0.063032481|-8.9|6.9626
14f_a23|126.78|-14.37516058|32.0|2|-0.1458|1.197963246|0.025162423|683.7405759|18.34483401|8.6459|9.57e-06|-5.02|3.55|1.0|-0.373510774|3.57|0.056215377|-7.51|8.6459
11a_a50|99.65|-7.104987834|25.0|2|-0.16769|1.397733996|0.020887781|439.9973344|9.774322692|7.2291|6.97e-05|-4.16|2.9|1.0|-0.134056065|3.44|-0.04339705|-5.87|7.2291
4c_a46|115.03|-11.85656505|29.0|1|-0.17085|1.134637091|0.008510983|696.2528933|8.799732282999999|5.6972|5.3e-06|-5.28|4.63|1.0|-0.300069396|4.09|-0.111750026|-7.62|5.6972
17b_a25|135.78|-16.81707305|35.0|1|-0.16408|1.3732004619999998|0.0175785369999999|832.226697|12.04068508|6.9957|8.59e-06|-5.07|3.61|1.0|-0.266456625|3.56|-0.026412432|-10.04|6.9957
10_a32|107.14|-14.85891856|27.0|3|-0.15088|0.6094207629999999|0.025106509|513.9156315|15.91131724|8.1427|3.89e-05|-4.41|3.23|1.0|-0.771023817|3.56|-0.020186906|-6.99|8.1427
18c_a22|136.36|-13.79609783|34.0|1|-0.15158|1.194229067|0.0215181079999999|779.8043336000001|13.72808419|7.585|7.98e-06|-5.1|3.5|1.0|-0.213698903|3.56|-0.044828537|-9.46|7.585
8g_a12|109.93|-13.00742505|27.0|1|-0.1520099999999999|1.28383574|0.007890315|480.0590283|4.915102972|5.43|4.61e-05|-4.34|3.06|1.0|-0.40429396|4.07|-0.038463841|-8.0|5.43
11_a3|88.28|-8.76293931|22.0|1|-0.13118|0.605020608|0.021256639|311.6695405|6.800350988|7.3979|0.000197|-3.71|2.22|1.0|-0.363112913|3.19|-0.101436441|-6.51|7.3979
14b_a3|93.25|-8.721397057|23.0|1|-0.12942|0.605016869|0.017348996|358.3503513|6.273415527999999|6.4202|0.000103|-3.99|2.58|1.0|-0.356087317|3.18|-0.1551678719999999|-6.89|6.4202
6d_a40|120.09|-20.49579149|30.0|2|-0.11938|0.604893491|0.01400787|555.2010623|11.10859664|8.9208|7.1e-06|-5.15|3.87|1.0|-0.722057579|3.98|-0.104206961|-4.31|8.9208
3b_a12|102.53|-9.246226764|24.0|0|-0.15229|1.283824445|0.0166212889999999|406.0361621|5.401901357000001|7.3098|2.28e-05|-4.64|3.78|1.0|-0.332497127|3.82|-0.1215705419999999|-8.1|7.3098
3m_a32|110.36|-9.699808932|27.0|3|-0.14835|0.609420748|0.018412178|554.9424306|8.029854976000001|7.6383|1.39e-05|-4.86|3.57|1.0|-0.3082152019999999|3.51|-0.0370712179999999|-7.38|7.6383
11b_a50|99.65|-6.788943965|25.0|2|-0.16684|1.3979498330000002|0.021631609|439.9973344|10.1501574|5.7696|6.97e-05|-4.16|2.9|1.0|-0.13377846|3.44|-0.007722567|-5.87|5.7696
12am_a36|130.43|-21.92042059|34.0|1|-0.15658|1.240140551|0.020179019|672.4630346|12.15249658|7.2218|8.6e-06|-5.07|3.86|0.0|-0.921315581|4.81|0.122824831|-7.14|7.2218
47c_a18|154.77|-20.80632033|38.0|0|-0.12841|1.251176227|0.016406766|1167.054827|12.75381432|8.5229|8.12e-06|-5.09|3.98|1.0|-0.537230966|4.61|0.047739847|-9.18|8.5229
19_a3|85.32|-7.064025721|22.0|1|-0.16303|1.4316666480000002|0.016552404|314.0966684|5.419662458|7.6383|0.000266|-3.58|2.19|1.0|-0.129865138|2.81|-0.008897473|-7.21|7.6383
47l_a18|139.63|-15.91464944|34.0|0|-0.1314|1.251176792|0.012890098|931.8364349|6.543729374|7.4949|1.4499999999999998e-05|-4.84|3.78|1.0|-0.428858819|4.17|-0.0057783619999999|-9.37|7.4949
4h_a46|142.08|-18.803584|36.0|1|-0.1711599999999999|0.3002050539999999|0.011589523|1021.999374|7.900037181|6.6402|2.06e-06|-5.69|4.21|1.0|-0.404500343|4.63|-0.057256598|-9.2|6.6402
9_a4|105.09|-7.665782805|26.0|1|-0.16948|1.300485838|0.010768243|489.7528555|4.918284148|7.3188|7.06e-06|-5.15|4.14|1.0|-0.064266379|3.18|-0.019160308|-8.16|7.3188
2_a4|79.59|-6.736463618999999|19.0|0|-0.14614|1.189716144|0.011054731|284.26458360000004|2.667094277|7.5086|0.00171|-2.77|1.62|0.0|-0.269140683|3.33|0.08246129|-4.83|7.5086
EW7203_a60|133.97|-15.29301513|31.0|1|-0.1446599999999999|0.604984431|0.01793256|666.0036144999999|13.03554647|8.0334|1.53e-05|-4.82|3.59|1.0|-0.377182982|4.75|-0.092774356|-6.7|8.0334
11a_a31|83.12|-14.47606937|23.0|2|-0.15515|0.610138462|0.031626337|302.14325319999995|20.91187076|6.7212|0.000161|-3.79|2.53|1.0|-0.8792402579999999|3.26|-0.087576474|-4.65|6.7212
28_a34|85.92|-12.63011537|24.0|1|-0.17802|1.454781307|0.0271102189999999|344.69029950000004|19.29162755|5.4179|0.000565|-3.25|1.72|1.0|-0.6946578940000001|3.02|-0.201047053|-4.78|5.4179
3b_a32|88.24|-8.049905042|21.0|3|-0.1474099999999999|0.609420808|0.0154889019999999|323.0421997|7.180211702|8.2366|2.23e-05|-4.65|3.71|1.0|-0.265971895|3.11|-0.0411430079999999|-6.5|8.2366
12q_a36|128.76|-15.95501778|30.0|1|-0.1566|1.29701394|0.017949083|629.5017194000001|12.00048565|8.2218|2.55e-05|-4.59|3.31|0.0|-0.410984299|4.74|0.068040097|-7.18|8.2218
1o_a5|95.2|-8.306775343|25.0|1|-0.1693599999999999|1.427566509|0.020380352|393.5487205|7.122612351|7.4559|8.340000000000001e-05|-4.08|2.78|1.0|-0.1079910069999999|2.81|-0.033273504|-8.11|7.4559
4c_a49|120.43|-12.37423857|31.0|1|-0.15925|1.343847672|0.0173567219999999|707.2397315000001|7.782541015|6.5935|0.000265|-3.58|1.81|1.0|-0.339843311|3.49|-0.099764463|-7.97|6.5935
11_a4|111.64|-7.889214068999999|27.0|1|-0.15885|0.626711769|0.011937709|575.2252237|5.395547437|6.9586|1.06e-05|-4.97|3.99|1.0|-0.056016567|3.31|-0.017835936|-8.05|6.9586
14_a4|80.09|-6.23496557|21.0|1|-0.17381|1.399909181|0.015779688|280.2639278|5.933038407000001|5.8794|0.000106|-3.97|3.09|0.0|-0.069682036|3.14|-0.0135414919999999|-5.71|5.8794
9b_a36|126.17|-14.24129533|29.0|1|-0.15833|0.62670079|0.015872498|620.9195447000001|10.68084402|7.6778|3.71e-05|-4.43|3.2|0.0|-0.308862918|4.73|0.082806042|-6.64|7.6778
13f_a6|123.82|-14.79531062|32.0|1|-0.12805|1.429020649|0.0196449239999999|676.2770877|12.46087045|7.3768|1.65e-05|-4.78|3.27|1.0|-0.381170169|3.56|0.04505613|-10.18|7.3768
12al_a36|130.24|-15.28752554|31.0|1|-0.14558|1.297043737|0.025956027|679.7230552999999|17.71943397|7.3188|8.499999999999999e-05|-4.07|2.65|0.0|-0.4908576189999999|4.81|0.1030147719999999|-6.69|7.3188
38_a18|160.66|-20.41289434|38.0|0|-0.13229|1.251175383|0.007165119|1228.492038|6.675707878|7.041|7.85e-07|-6.11|5.43|1.0|-0.448742607|4.53|-0.066676644|-10.33|7.041
8_a4|100.13|-6.572312789|25.0|1|-0.16821|1.304250488|0.0148422489999999|434.9654405|5.362918401|7.2676|1.46e-05|-4.84|3.74|1.0|-0.056197036|2.99|-0.072752231|-7.78|7.2676
47i_a18|134.83|-17.10248143|33.0|0|-0.13237|1.251177255|0.009393984|855.7438937000001|6.787641686000001|7.7212|1.67e-05|-4.78|3.7|1.0|-0.440488042|4.05|-0.037689885|-8.98|7.7212
11_a1|105.71|-16.93943154|29.0|1|-0.12916|1.430935838|0.02620284|495.0560271000001|20.62225192|6.7696|2.17e-05|-4.66|3.35|1.0|-0.867849442|3.25|0.08043435|-7.47|6.7696
18_a4|86.22|-8.467791078|23.0|1|-0.17345|1.3998285519999998|0.0175331289999999|337.0066459|8.729352711|5.5817|0.000312|-3.51|2.24|0.0|-0.181355303|3.32|0.049240675|-5.53|5.5817
12e_a36|128.72|-14.64611103|30.0|1|-0.15189|1.29704412|0.017716522|662.0530478999999|12.12502373|7.8539|5.05e-05|-4.3|3.04|0.0|-0.404736007|4.85|0.144415507|-6.97|7.8539
18_a3|80.35|-6.285899403999999|21.0|1|-0.1641099999999999|1.43179288|0.02363555|270.539096|6.1383958|7.5229|0.000537|-3.27|1.79|1.0|-0.122072724|2.62|0.08269134|-6.83|7.5229
8_a15|104.74|-9.878130237|27.0|0|-0.1558|1.419941362|0.035495625|532.0914339999999|19.65860939|6.9666|1.53e-05|-4.81|4.24|1.0|-0.5025236129999999|3.14|0.155304204|-7.57|6.9666
6c_a31|114.5|-17.93106176|30.0|2|-0.13351|0.6101347220000001|0.0212421629999999|597.3075924999999|20.09112958|6.4685|1.15e-05|-4.94|3.64|1.0|-0.790027307|3.67|0.137523742|-7.72|6.4685
9b_a31|103.36|-14.68594601|27.0|2|-0.15907|0.610136326|0.025089192|524.0230338|21.21368453|7.2007|0.000137|-3.86|2.64|1.0|-0.706953442|3.58|-0.045938305|-6.84|7.2007
12i_a36|130.43|-18.95842684|34.0|1|-0.1541|1.2401347459999998|0.022430221|672.4630346|12.71877085|7.9208|8.6e-06|-5.07|3.86|0.0|-0.929568494|4.8|0.048138468|-7.14|7.9208
16a_a10|133.66|-12.4990447|33.0|1|-0.1605|1.325756911|0.014796066|879.8636987|9.606840334|7.3279|6.76e-06|-5.17|4.33|1.0|-0.152205915|4.11|-0.085711535|-8.5|7.3279
12b_a5|123.46|-8.135654442|30.0|0|-0.06212|1.189701783|0.025810077|727.8586176|10.44150403|7.3768|0.000359|-3.45|1.63|1.0|-0.1214831359999999|4.05|-0.021265946|-7.67|7.3768
10_a27|97.39|-8.788575695|25.0|1|-0.16805|1.400533489|0.01651645|424.8821143|9.399794974|7.1612|0.0001189999999999|-3.92|2.55|1.0|-0.282866526|3.01|-0.184068581|-6.24|7.1612
1f_a5|95.49|-11.0872845|27.0|1|-0.18224|1.218960329|0.01983997|403.396385|4.687041957|6.6198|1.0800000000000002e-05|-4.97|3.95|1.0|-0.277594656|2.9|-0.118028278|-8.88|6.6198
21c _a23|133.35|-20.31615463|34.0|2|-0.15089|1.197962776|0.013451712|762.0576580000001|9.976937758|7.1752|1.92e-05|-4.72|2.86|1.0|-0.576752175|3.68|0.0645437059999999|-7.33|7.1752
19_a20|122.86|-16.55214209|32.0|1|-0.13903|1.4009239059999998|0.0159602|684.5377542|8.964643162|5.585|2.6600000000000003e-05|-4.57|2.91|1.0|-0.539158264|3.49|0.103271147|-9.63|5.585
47g_a18|164.47|-21.03738872|40.0|0|-0.12789|1.251175676|0.016259076|1347.416568|11.37505183|8.0458|3.01e-06|-5.52|4.52|1.0|-0.477030713|4.87|-0.048472184|-9.22|8.0458
11d_a5|114.29|-11.84243331|29.0|1|-0.16762|1.388848584|0.018119737|631.9206508|8.151092424|7.8239|5.14e-05|-4.29|3.07|1.0|-0.185566552|3.13|-0.125546291|-8.64|7.8239
17_a20|119.48|-13.57480888|31.0|1|-0.14021|1.4012598180000002|0.016793117|637.7803874|9.857999796|5.6478|8.35e-06|-5.08|3.75|1.0|-0.28924577|3.5|0.065447136|-10.14|5.6478
18_a31|99.32|-13.87749294|25.0|2|-0.16212|0.610137226|0.01673486|477.1857166|8.49194438|6.8861|0.000241|-3.62|2.47|1.0|-0.640807491|3.41|-0.051184519|-6.54|6.8861
24_a20|119.42|-10.80905198|31.0|1|-0.15687|1.40648755|0.013436544|664.4562602999999|8.085691548|6.4976|1.17e-05|-4.93|3.52|1.0|-0.083539572|3.4|0.087887688|-9.32|6.4976
4_a4|100.08|-6.78950447|25.0|1|-0.1696599999999999|1.343865392|0.010586293|462.1867149|4.4155367960000005|7.1079|2.69e-05|-4.57|3.52|1.0|-0.058013858|3.15|-0.0214610589999999|-7.57|7.1079
16g_a32|121.56|-18.38320476|30.0|3|-0.14968|0.609420729|0.02276861|701.9321161|17.659402|7.9586|4.83e-06|-5.32|4.65|1.0|-0.771439265|3.87|-0.049658216|-8.16|7.9586
16_a47|91.55|-9.202544293|25.0|1|-0.16851|1.417579067|0.0234786339999999|357.35851410000004|9.676588112|9.0|3.84e-05|-4.42|3.27|1.0|-0.23280014|2.93|-0.08282926|-8.17|9.0
14ac_a23|130.29|-25.07023818|38.0|2|-0.15055|1.1979507740000002|0.019122137|718.3324686000001|12.70997824|8.3851|2.24e-07|-6.65|5.35|1.0|-0.66443411|3.69|0.016532702|-9.03|8.3851
10_a15|119.95|-12.31872585|30.0|0|-0.15377|1.4356889780000002|0.0116026369999999|673.7288405|6.101312009|8.1549|1.47e-06|-5.83|5.29|1.0|-0.384887119|3.58|-0.0869138469999999|-9.82|8.1549
2_a3|90.49|-7.298882022000001|22.0|1|-0.14605|0.605017347|0.019143348|330.4083896|5.601853871|5.4|5.33e-05|-4.27|3.13|1.0|-0.311617665|2.97|-0.103423993|-6.89|5.4
8e_a12|117.04|-10.19566754|28.0|1|-0.13599|1.283834633|0.019545275|561.9859171|8.884082475|6.2306|2.03e-05|-4.69|3.53|1.0|-0.330207456|4.11|0.0661362779999999|-7.93|6.2306
19_a34|83.95|-9.86770272|23.0|1|-0.1735|1.438829424|0.029554695|337.9440349|19.74799697|6.0044|0.000704|-3.15|1.66|1.0|-0.5357267960000001|3.07|-0.189862762|-5.03|6.0044
11c_a5|106.79|-11.94164728|28.0|1|-0.1713299999999999|1.427567332|0.021214793|523.8031619|10.85837291|7.6021|7.950000000000001e-05|-4.1|2.78|1.0|-0.224938556|2.96|-0.0859098|-8.47|7.6021
28_a47|99.2|-13.47449501|28.0|1|-0.15049|1.4201653580000002|0.031626405|428.5826478|15.50250691|7.6|0.000217|-3.66|1.97|1.0|-0.436042548|3.08|0.023813594|-6.92|7.6
18b_a30|131.99|-15.85509189|31.0|1|-0.14385|0.604987149|0.0184861069999999|666.0036144999999|13.14992762|7.6003|1.57e-05|-4.8|3.59|0.0|-0.375139476|4.78|-0.039831247|-6.7|7.6003
6_a3|95.5|-9.393191593|23.0|1|-0.1465|0.605016564|0.0150025189999999|353.7528308|5.449560482000001|5.7501|1.34e-05|-4.87|3.79|1.0|-0.330577816|3.05|-0.025021661|-7.48|5.7501
11g_a5|118.35|-10.98794595|31.0|2|-0.1714|1.388236041|0.03204398|648.1198739|15.25675|7.5229|4.88e-05|-4.31|2.75|1.0|-0.252634073|3.17|-0.083337229|-9.04|7.5229
12g_a30|133.52|-18.63502363|32.0|1|-0.15077|0.6049842529999999|0.019453222|683.7405759|18.59520651|8.0334|9.71e-06|-5.01|3.89|0.0|-0.574592016|4.67|-0.037395048|-6.42|8.0334
3g_a32|102.55|-9.343731735|24.0|3|-0.14715|0.60942078|0.01096673|475.3634141|6.647498326|7.8539|2.58e-06|-5.59|5.02|1.0|-0.2816222539999999|3.43|-0.058985916|-7.29|7.8539
9g_a24|87.53|-5.214049137|23.0|2|-0.17806|1.427608366|0.033884884|341.3207334|9.283063574|7.1675|0.0008179999999999|-3.09|1.37|1.0|-0.0425444|2.8|-0.162313932|-6.43|7.1675
9o_a24|120.73|-11.03321234|32.0|1|-0.17826|1.294229152|0.026064002|663.2688909|10.7072496|6.3507|3.9500000000000005e-05|-4.4|2.88|1.0|-0.387865233|3.96|-0.087807028|-7.91|6.3507
12c_a36|128.76|-15.68788659|30.0|1|-0.15835|1.29696741|0.019278991|629.5017194000001|12.5779546|8.0458|2.55e-05|-4.59|3.31|0.0|-0.414055975|4.74|0.085843909|-7.18|8.0458
8b_a31|88.64|-11.12754483|23.0|2|-0.16015|0.610137861|0.02483711|372.3224834|16.89414614|5.6576|0.000399|-3.4|2.02|1.0|-0.57242407|3.4|-0.130371116|-5.73|5.6576
41_a18|141.34|-17.56848637|34.0|0|-0.1319|1.251176562|0.006896617|897.5188662|6.547189171|6.433|9.49e-06|-5.02|3.78|1.0|-0.500778516|4.07|-0.089781154|-8.38|6.433
16f_a32|116.75|-17.03501995|29.0|3|-0.15003|0.609420741|0.022983292|636.0251562999999|16.90955989|8.041|1.07e-05|-4.97|4.11|1.0|-0.77158995|3.76|0.008658653|-7.77|8.041
