molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|n6HRing|MATS7i|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
5b_a49|0.0|0|0|0.0|1|2|2|1.343848745|0.1108916119999999|-0.007610481|2|-0.072128552|-0.418576471|0.059834711|1|0.006696215|-0.12209302|-0.13632743|-0.230763367|-0.515894968|2|0.7843021|-0.006962617|0.099724518|0.666573331|1|0.7969332440000001|0.615864196|0.020319986|-41.03213895|-44.96093486|11.94347454|0.203066756|-0.026008|-26.42668087|69.07083505|0.608694741|-1.300400018|59.85065205|52.97561349|0.475192312|-8.985071494|0.3913052589999999|6.270195553|0.905459892|229.9974239|-449.2535747|25.1139312|0.025332565|1255.69656|0.0|1.0|1.0|0.22|21.0|-7.24|2.98|1.0|0.0|122.26|0.0|3.0|-3.3|30.0|4.0|0.0|1.0|1.0|2.58|-3.93|0.000496|0.1969999999999999|0.0|5.79e-08|2.3e-05|3.92|3.9209|-1292.100239|1093.32|316.21|0.4653|-1291.873941|-1291.929428|6.1996|28.0|7.5528
11a_a31|0.0|0|0|0.0|0|1|1|0.610138462|-0.045290366|-0.02376325|0|-0.087576474|-0.8792402579999999|-0.019865299|2|-0.017433557|-0.149933348|-0.1068420919999999|-0.1829166189999999|-0.563537536|0|0.8433024170000001|0.022073976|-0.030335912|0.819138461|0|0.486754956|0.271818874|0.041435152|-76.64827023|-81.26889906|20.91187076|0.513245044|-0.056833284|-41.01552988|71.03772901|0.735254945|-1.932331673|97.23036756|97.560141|0.451795285|-14.47606937|0.264745055|5.791411901|0.8241360790000001|133.6139513|-492.1863586|39.01114987|0.031626337|1326.379096|0.0|1.0|2.0|0.13|16.0|-4.65|3.93|0.0|0.0|83.12|0.0|3.0|-4.81|23.0|6.0|0.0|0.0|1.0|2.42|-3.79|1.5399999999999998e-05|0.00506|0.0|2.22e-05|0.00731|3.97|3.8042|-1441.411622|860.74|325.92|0.2797|-1441.327731|-1441.37897|8.9667|0.19|6.7212
2_a49|0.0|0|0|0.0|1|1|1|1.3438506419999998|-0.084499704|-0.004112807|2|-0.100166139|-0.189189114|0.005918367|1|0.004580676|-0.170631119|0.032521855|0.055400364|-0.320124905|2|0.79056501|0.084099874|0.00991453|0.7701578720000001|1|0.81348014|0.41397907|0.01105681|-44.066695|-40.34672657|5.634353797999999|0.18651986|-0.028277173|-20.55997527|0.0|0.7154059890000001|-1.187641272|49.26352575|49.7010488|0.454163307|-7.34284831|0.284594011|5.667936413|0.8320497920000001|145.02405359999997|-308.399629|20.14177325|0.017498253|845.9544764000001|0.0|0.0|1.0|0.15|21.0|-6.82|3.28|0.0|1.0|99.52|0.0|2.0|-3.53|25.0|3.0|0.0|1.0|1.0|2.76|-3.89|0.000292|0.0955|0.0|1.51e-07|4.94e-05|1.79|3743.0|-1045.981819|941.6|331.24|0.2988|-1045.810794|-1045.8595810000002|6.7117|59.0|7.2291
12at_a36|0.0|0|0|0.0|0|2|2|1.297042863|-0.04229234|-0.010886502|2|0.054794728|-0.653190113|-0.037590959|1|0.000906224|0.091520225|-0.136151085|-0.227404687|-0.48127276|1|0.8384626709999999|-0.08859337|-0.063825255|0.7767870459999999|0|0.751856692|0.301423347|0.029516069|-58.66704838|-76.61315774|20.43891035|0.248143308|-0.037537878|-53.05210062|80.75773169|0.6744421970000001|-2.102121151|95.60375457|79.10595873|0.49342323|-17.99981985|0.325557803|8.837213274|0.974034457|225.4381077|-1007.989912|38.54110857|0.027424543|2158.30208|1.0|0.0|2.0|0.17|17.0|-6.62|2.7|1.0|0.0|135.03|0.0|7.0|-4.18|33.0|6.0|0.0|0.0|0.0|1.76|-4.08|6.579999999999999e-05|0.0289|0.0|2.42e-07|0.000106|4.5|3.8408|-1460.797444|1238.61|322.81|0.4765|-1460.549244|-1460.61293|8.9532|78.0|7.1079
12n_a36|-3.404662145|0|0|0.0|0|2|2|0.299253841|0.039596635|-0.0099988159999999|2|0.027627601|-0.619926573|-0.000273044|1|-0.001160331|0.048110172|-0.15024383|-0.261631709|-0.5181211520000001|1|0.81793955|0.162338703|-0.000421339|0.750657639|0|0.720111143|0.239018516|0.0211044289999999|-60.42525197|-78.42650015|14.28426215|0.279888857|-0.039955874|-53.08197085|26.74179417|0.741751453|-2.317440678|92.79755725|74.70951411|0.454498749|-18.30412788|0.258248547|6.863551112000001|0.833176363|174.79221719999998|-1061.639417|36.45914091|0.021232665|2114.630173|0.0|0.0|3.0|0.17|17.0|-6.87|1.28|1.0|0.0|142.02|0.0|7.0|-3.85|34.0|6.0|0.0|0.0|0.0|1.18|-3.72|0.0001409999999999|0.0668|0.0|1.36e-07|6.45e-05|6.24|3.6382|-1876.168847|1256.83|340.78|0.3921|-1875.89723|-1875.961945|14.3562|15.0|7.8239
3h_a32|0.0|1|1|0.0|0|0|0|0.609420752|0.01077056|-0.005281944|0|0.014517903|-0.269379119|-0.111111111|3|0.003284804|0.025035542|-0.071193103|-0.122769653|-0.531669815|0|0.7926338540000001|-0.169197453|-0.2|0.8030743229999999|1|0.87880263|0.30907784|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|0.12119737|-0.027590124|-34.60714056|0.0|0.7734940029999999|-1.324325944|62.63332945|51.95714963|0.4089962629999999|-10.81473143|0.226505997|8.107034244|0.692036677|141.8112711|-519.1071084|22.33200639|0.011751781|1071.936307|1.0|1.0|1.0|0.35|19.0|-8.47|8.11|2.0|0.0|112.28|0.0|7.0|-8.23|26.0|3.0|1.0|0.0|1.0|5.4|-6.15|5.8700000000000014e-09|2.24e-06|0.0|3.37e-09|1.29e-06|4.61|3.5552|-1790.663897|1127.45|348.74|0.2926|-1790.440663|-1790.5004850000005|5.8749|7.0|8.1549
25b_a34|0.0|0|0|0.0|1|1|1|1.290860233|0.133975789|-0.015658012|1|-0.150946163|-0.861190687|-0.061390533|1|-0.000223677|-0.2360985169999999|-0.278635968|-0.435821207|-0.623853334|1|0.7969500890000001|0.08214612|-0.101529052|0.787858064|0|0.656573108|0.5020264870000001|0.030138301|-64.37123451|-86.13394472|18.82143547|0.343426892|-0.042438204|-53.79083879|49.2835599|0.76274549|-2.206786613|98.0416108|83.19266998|0.419904835|-16.55102732|0.23725451|6.383564979|0.723855085|148.1659658|-860.6534206|34.74652105|0.019067452|1806.819095|0.0|1.0|2.0|0.29|17.0|-6.42|2.63|1.0|0.0|108.21|0.0|7.0|-3.82|29.0|5.0|0.0|0.0|0.0|2.58|-3.69|0.00015|59.0|0.0|3.8100000000000004e-07|0.00015|5.06|4.2253|-1313.361559|1136.16|293.43|0.2259|-1313.132261|-1313.194808|9.0174|2.08|5.6819
4S4l_a46|0.0|0|0|0.171853072|1|1|1|1.134637095|-0.058870177|-0.004736212|1|-0.067419714|-0.255755434|-0.161358058|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|1|0.726535412|-0.001318857|-0.229089688|0.7936534740000001|0|0.894782107|0.213675946|0.007140583|-49.45536962|-46.10883478|3.888872426|0.105217893|-0.029881089|-25.11158939|0.0|0.877939134|-1.523935543|49.6055056|53.34424204|0.469439238|-8.862913904|0.1220608659999999|5.668394116|0.884798257|66.47624804|-452.0086091|18.5362581|0.006420439|945.3491632|1.0|1.0|1.0|0.36|17.0|-7.0|4.64|1.0|0.0|105.77|0.0|3.0|-5.28|26.0|3.0|0.0|1.0|1.0|4.08|-5.11|5.25e-06|0.00182|0.0|9.980000000000001e-08|3.47e-05|4.99|4.1414|-1092.727031|1040.96|299.38|0.2586|-1092.489558|-1092.543641|2.8473|261.0|6.5834
4o_a46|0.0|0|0|0.160026534|1|1|1|1.13463699|-0.24479566|-0.000627744|1|-0.2363624889999999|-0.032014955|-0.06855792|1|0.010144781|-0.376106593|-0.018058762|-0.028735607|-0.096073163|1|0.7699448320000001|-0.121466731|-0.09492635|0.6418406720000001|0|0.950732618|0.372146122|0.00972341|-35.54402423|-36.03345669|5.332434441|0.049267382|-0.021901697|-19.76117845|31.19780621|0.7510206490000001|-1.051281434|42.00638612|40.87645867|0.460981009|-6.587059484|0.248979351|5.527567399|0.855222204|136.5432529|-316.1788552|15.99310518|0.0108913189999999|767.6690487000001|1.0|1.0|0.0|0.32|17.0|-7.26|4.77|1.0|0.0|103.66|0.0|2.0|-4.91|26.0|3.0|0.0|1.0|1.0|3.92|-4.87|1.23e-05|0.00422|0.0|5.5e-08|1.88e-05|3.76|4.3255|-1070.428722|1022.29|286.64|0.1598|-1070.223416|-1070.276387|4.8244|162.0|6.7905
16b_a32|-3.3094926630000003|1|1|0.0|0|0|0|0.2980105389999999|0.0873104119999999|-0.008469352|0|-0.012739425|-0.423467596|-0.0657820279999999|3|-0.00180101|-0.023602065|-0.1202046419999999|-0.222700615|-0.586122949|0|0.852956281|0.056127969|-0.098450203|0.6762731040000001|1|0.7465375040000001|0.559199331|0.015808858|-56.84546999|-69.39772428|10.12961779|0.253462496|-0.0345657579999999|-44.4669946|9.827907321|0.7476362679999999|-1.624590613|80.37824892|66.97508778|0.414997448|-14.19159402|0.252363732|6.466656381|0.709394251|161.7035261|-667.0049190000001|29.62431176|0.017136832|1392.342653|1.0|1.0|2.0|0.28|19.0|-7.6|5.4|1.0|0.0|114.43|1.0|7.0|-6.28|28.0|6.0|1.0|0.0|1.0|3.26|-4.55|5.19e-07|0.000225|0.0|2.54e-08|1.1e-05|6.37|3.6211|-2315.951437|1137.73|342.39|0.2849|-2315.757928|-2315.819979|7.0093|17.0|7.7696
14g_a23|0.0|1|1|-4.794439428|2|0|0|1.197957711|0.180361525|-0.014609495|2|0.058422864|-0.803522236|-0.030586527|2|-0.0004039459999999|0.179219801|-0.0962526|-0.2952674819999999|-0.648987099|2|0.796412133|0.010202051|-0.044895912|0.575188253|1|0.907334473|0.297855753|0.018341721|-51.82254036|-68.52397802|13.05300369|0.092665527|-0.041536002|-48.76552945|1.5679977319999998|0.780315815|-2.118336119|83.15907597|64.87554405|0.461846955|-21.03611074|0.219684185|8.788027188|0.8582074559999999|156.3396622|-1072.841648|37.88128151|0.020564836|1931.945357|0.0|1.0|1.0|0.09|26.0|-7.95|3.97|2.0|1.0|126.97|0.0|7.0|-6.89|35.0|8.0|1.0|0.0|0.0|4.35|-6.0|1.29e-07|6.38e-05|0.0|1.12e-08|5.57e-06|5.17|3.7042|-2042.161409|1233.48|334.71|0.3478|-2041.934312|-2042.000034|10245.0|0.01|8.0
12b_a30|0.0|0|0|0.0|0|2|2|0.604984682|0.047132642|-0.007353271|2|-0.074391852|-0.3897233479999999|-0.072247675|1|0.002064369|-0.165287712|-0.0541804029999999|-0.120380857|-0.468842459|1|0.824373792|-0.009146339|-0.1240820219999999|0.64876559|0|0.764737577|0.383979687|0.017341789|-53.05077947|-62.96700664|11.01246349|0.235262423|-0.038448551|-39.98560202|0.0|0.798520682|-1.883979001|73.02913136|64.06324295|0.4676268939999999|-15.50462119|0.201479318|7.393647884|0.878381889|127.9443353|-759.7264385|30.57626261|0.01584525|1498.236868|1.0|1.0|1.0|0.14|17.0|-6.9|4.25|2.0|0.0|127.24|0.0|5.0|-5.39|30.0|5.0|0.0|0.0|0.0|2.92|-5.01|4.12e-06|0.00171|0.0|1.26e-07|5.260000000000001e-05|4.07|3.5207|-1674.977262|1130.68|352.16|0.2079|-1674.7778119999998|-1674.838225|4.5545|7.0|8.1543
12b_a36 (EW-7197)|0.0|0|0|0.0|0|2|2|1.2970445309999998|-0.104514139|-0.008137593|2|0.027495626|-0.439429998|-0.056994595|1|-0.000673716|0.059005046|-0.101303149|-0.217394466|-0.442656599|1|0.819222745|-0.001567914|-0.097861598|0.698414933|0|0.7635183720000001|0.458627252|0.021439664|-50.90136206|-67.98756422|13.41367899|0.236481628|-0.039120289|-42.53627024|5.958751634|0.746747352|-1.956014468|80.95733534|64.31504105|0.45988432|-15.31305729|0.253252648|6.764872303|0.851455231|158.4469629|-765.6528642999999|32.77617664|0.020730147|1638.808832||||||||||||||||||||||||||3.41|3.7725|-1332.147999|1104.61|328.66|0.4491|-1331.9479310000002|-1332.005651|7.3101|7.0|8.1549
5d_a40|0.0|0|0|0.0|1|0|1|0.6049133329999999|-0.071479892|-0.005662681|0|-0.1031436519999999|-0.1868684619999999|0.029272031|2|0.006642869|-0.259985037|-0.0038660009999999|-0.009744685|-0.399968083|0|0.8092726020000001|0.145024458|0.0451110059999999|0.483934049|1|0.754010052|0.049855551|0.022027556|-39.55506228|-43.26473143|10.10860823|0.245989948|-0.0377110779999999|-19.85450535|53.85026982|0.8111805740000001|-1.131332331|49.97858532|49.66367051|0.479931934|-7.94180214|0.188819426|6.288958592999999|0.922825231|86.65063178|-238.2540642|21.3342049|0.014630084|640.0261471|1.0|1.0|0.0|0.21|14.0|-4.32|4.08|0.0|1.0|74.11|0.0|3.0|-4.23|20.0|4.0|0.0|1.0|1.0|3.1|-3.82|5.9e-05|17.0|0.0|4.7600000000000005e-05|0.0137|4.61|3.7374|-1276.817151|765.69|331.74|0.4493|-1276.751174|-1276.797751|9.2439|19.0|7.7212
14p_a23|0.0|1|1|0.0|2|0|0|1.197963748|0.044380583|-0.005975594|2|0.041987653|-0.310730878|-0.053921569|2|0.009266617|0.080581604|-0.0686282459999999|-0.131709531|-0.4510651779999999|2|0.799506006|0.099883916|-0.090287278|0.669357479|1|0.923455749|0.223758613|0.0221104079999999|-42.52653933|-54.50240143|14.91710363|0.076544251|-0.033660197|-36.77082544|84.65359899|0.751638299|-1.615689464|67.36602512|57.44364296|0.464933687|-15.32117727|0.248361701|9.014073839|0.868927227|167.5607773|-735.4165088|30.21311441|0.0190667019999999|1450.229492|0.0|1.0|1.0|0.04|26.0|-7.47|3.4|1.0|1.0|125.0|0.0|5.0|-5.68|32.0|5.0|0.0|0.0|0.0|3.25|-4.9|2.09e-06|0.0009109999999999|0.0|3.39e-08|1.4800000000000002e-05|3.29|3.5752|-1722.152257|1191.08|346.79|0.3802|-1721.933314|-1721.994023|9986.0|3.0|8.5302
9g_a24|0.0|0|0|0.0|1|0|0|1.427608366|-0.318471716|-0.00106361|2|-0.162313932|-0.0425444|-0.02471184|2|0.013119312|-0.292600863|-0.0273623029999999|-0.049325609|-0.079421802|2|0.7931626959999999|0.13372961|-0.045107345|0.657503038|0|0.8671367529999999|0.383340003|0.01876163|-32.080056199999994|-32.49188065|9.283063574|0.132863247|-0.021297745|-16.07665151|0.0|0.4819264479999999|-0.788016565|49.25777584|41.36311977|0.427531635|-5.214049137|0.518073552|6.124370267000001|0.746821416|256.3375151|-192.9198181|21.8662148|0.033884884|809.0499476|0.0|0.0|1.0|0.06|22.0|-6.43|2.91|0.0|0.0|87.53|0.0|3.0|-2.49|23.0|4.0|0.0|1.0|0.0|1.93|-3.09|0.00323|977.0|0.0|3.720000000000001e-07|0.000113|0.75|4.2802|-984.5565078|879.99|289.67|0.2444|-984.447764|-984.497752|4.4131|68.0|7.1675
3d_a32|0.0|1|1|0.0|0|0|0|0.609420786|0.0181036519999999|-0.006420365|0|-0.0620110029999999|-0.269655316|-0.0602430179999999|3|0.002004382|-0.1131110759999999|-0.076494363|-0.1395294259999999|-0.539652902|0|0.8444218509999999|-0.069007775|-0.100251236|0.77923808|1|0.892845502|0.2214902789999999|0.014419776|-37.19367587|-50.45435743|7.807299836|0.107154498|-0.02867299|-27.31750365|0.0|0.720540286|-1.118246623|59.15151032|45.000975700000005|0.427813496|-8.405385739|0.2794597139999999|6.15119195|0.747681906|151.30787800000002|-327.8100438|21.54552351|0.0160633|840.275417|1.0|1.0|1.0|0.24|19.0|-7.29|6.97|1.0|0.0|97.86|0.0|4.0|-6.55|23.0|3.0|0.0|0.0|1.0|4.32|-5.13|2.81e-07|9.58e-05|0.0|5.13e-08|1.75e-05|3.42|3.5105|-1672.733979|959.11|353.18|0.5031|-1672.585902|-1672.638515|5.1728|8.0|8.0915
4_a47|0.0|0|0|0.0|0|0|0|1.304464196|0.004633887|-0.008204735|2|-0.158636969|-0.3692130839999999|0.011775922|0|-0.006506051|-0.247195952|-0.017555555|-0.027355932|-0.462831711|2|0.783871003|-0.095209424|0.019305509|0.8124901999999999|1|0.874200878|0.444849947|0.007772995|-42.46254967|-50.35610033|4.22896799|0.1257991219999999|-0.03525955|-27.39669054|0.0|0.806604393|-1.48090111|57.78603076|46.69151766|0.402148382|-10.43683449|0.193395607|6.468023748999999|0.67265584|105.2186243|-438.3470487|23.78275706|0.013656479|998.8757964|1.0|0.0|2.0|0.05|22.0|-8.79|4.83|2.0|0.0|106.52|0.0|3.0|-5.92|26.0|3.0|0.0|0.0|1.0|4.32|-5.64|1.21e-06|0.0004379999999999|0.0|1.61e-09|5.81e-07|4.44|3.73|-1509.4201369999998|988.42|332.4|0.2304|-1509.262887|-1509.3147789999998|5.4892|32.0|7.5
7s_a46|0.0|0|0|0.218897825|1|1|1|1.160371307|-0.0778653109999999|-0.005351046|1|-0.210750635|-0.240797051|-0.020953253|1|0.005577925|-0.327656845|0.012197837|0.018964141|-0.3638523629999999|1|0.770312275|-0.036284605|-0.030371026|0.768056188|0|0.858788462|0.249893305|0.008871171|-48.61321955|-41.72189594|4.458665639|0.141211538|-0.031623562|-20.9694955|0.0|0.8198874559999999|-1.3281895890000002|47.36217237|53.07188519|0.433822088|-7.988379237|0.1801125439999999|5.565371272|0.7662292690000001|90.5248694|-335.5119279|19.38565529|0.01122216|814.1975221|0.0|0.0|1.0|0.26|17.0|-6.08|3.65|0.0|0.0|91.19|0.0|2.0|-4.07|23.0|3.0|0.0|1.0|1.0|3.12|-4.24|8.590000000000001e-05|0.0262|0.0|8.39e-07|0.000256|3.54|4293.0|-974.7707066|916.7|288.81|0.4164|-974.615216|-974.664103|3.6655|1985.0|5.7022
14ad_a23|0.0|1|1|0.0|2|0|0|1.197962774|-0.1101542319999999|-0.00790478|2|0.118047355|-0.4663820279999999|-0.031279567|2|0.009675528|0.2086248289999999|-0.143336826|-0.253318853|-0.376350719|2|0.7830067820000001|0.165157698|-0.050707765|0.7317531540000001|1|0.887131635|0.224009311|0.033831691|-42.29008971|-61.35364811|24.18091285|0.112868365|-0.029653934|-43.85199724|114.237062|0.575880959|-1.630966366|85.20135045|66.47100256|0.46995189|-15.14887177|0.424119041|8.661363236|0.8866211979999999|303.1354708|-833.1879476|36.80430179|0.033365494|2024.236598|0.0|1.0|1.0|0.12|26.0|-7.6|3.48|2.0|1.0|133.27|0.0|7.0|-5.8|34.0|6.0|0.0|0.0|0.0|3.39|-5.08|1.6e-06|0.000753|0.0|2.49e-08|1.17e-05|2.99|3.3867|-1858.942973|1287.26|366.09|0.4106|-1858.668058|-1858.733603|6.7584|4.0|8.3595
18b_a25|0.0|0|0|0.0|1|0|0|1.194228955|-0.147813831|-0.003259453|2|-0.018632104|-0.189048258|0.0009956189999999|1|0.00598031|-0.032776381|-0.034703635|-0.061048368|-0.303383008|2|0.7723870909999999|-0.026045966|0.001715854|0.6915652390000001|1|0.936253893|0.348987182|0.01278627|-44.30110081|-55.18621997|8.972372556|0.063746107|-0.0305838929999999|-38.7252349|0.0|0.7847794690000001|-1.6515302369999998|64.81723515|53.27347337|0.493622561|-15.05981357|0.215220531|8.654596906|0.974811521|151.02439719999998|-813.229933|27.34692815|0.013724883|1476.7341199999998|1.0|1.0|1.0|0.07|27.0|-9.84|5.93|2.0|1.0|138.56|0.0|6.0|-6.54|34.0|4.0|0.0|0.0|1.0|4.35|-5.71|2.87e-07|0.000132|0.0|1.4500000000000002e-10|6.690000000000001e-08|4.32|3.6826|-1767.494087|1284.89|336.67|0.2658|-1767.2232149999998|-1767.286778|2752.0|51.0|7.2924
15_a10|0.0|0|0|0.0|1|1|1|1.277647202|-0.166303336|-0.0027892409999999|2|-0.0729795729999999|-0.142251304|-0.05940848|1|0.009514122|-0.1157120169999999|-0.085979341|-0.136323668|-0.208590561|2|0.808676284|-0.079744227|-0.105662909|0.635064845|1|0.915526801|0.710970489|0.018614889|-35.30133759|-44.18725043|11.09373722|0.084473199|-0.025240716|-26.33385303|108.7226878|0.646412648|-1.186313662|56.66229609|46.39507481|0.434181679|-8.964715924|0.353587352|6.35937164|0.767351752|210.7240726|-421.3416484|23.27068984|0.020932674|1093.722422|1.0|1.0|0.0|0.23|21.0|-8.3|4.91|2.0|1.0|111.21|0.0|5.0|-4.48|28.0|4.0|0.0|1.0|1.0|3.83|-4.81|3.32e-05|13.0|0.0|5.01e-09|1.96e-06|3.12|3.7997|-1604.057542|1086.19|326.3|0.4553|-1603.851644|-1603.907391|6.1563|33.0|7.4815
4c_a46|0.0|0|0|0.139403726|1|1|1|1.134637091|-0.068543882|-0.005085922|1|-0.111750026|-0.300069396|-0.068256579|1|0.010040825|-0.165951544|-0.056422062|-0.083788154|-0.421467037|1|0.726862617|0.072412685|-0.0976963169999999|0.65145414|0|0.890777395|0.305199509|0.013924723|-40.22007179|-55.2981278|8.799732282999999|0.109222605|-0.029688832|-34.9456654|53.13410852|0.840753785|-1.662574604|60.67664538|49.01980408|0.450883931|-11.85656505|0.159246215|7.172412106|0.8211086059999999|100.6356847|-663.9676426|22.31552819|0.008510983|1249.669579|1.0|1.0|0.0|0.38|17.0|-7.62|5.11|2.0|0.0|115.03|0.0|5.0|-5.55|29.0|4.0|0.0|1.0|0.0|4.44|-5.28|2.8e-06|0.00109|0.0|2.39e-08|9.32e-06|6.38|4.1026|-1245.392965|1176.07|302.21|0.2296|-1245.114575|-1245.176359|5.4491|2008.0|5.6972
1_a3|0.0|0|0|0.0|0|1|1|0.6195934120000001|0.079857077|-0.006053652|2|-0.004409693|-0.248199745|0.032569462|0|-0.005006707|-0.007705076|0.05038525|0.08803837|-0.486774367|2|0.7905285390000001|-0.126299711|0.057919092|0.943582278|1|0.7762512779999999|0.521474118|0.008036786|-45.44133321|-42.54530997|3.693677623|0.2237487219999999|-0.034105115|-19.55367089|0.0|0.7920857179999999|-1.295994381|49.05980305|49.13501083|0.4490711529999999|-7.203984013|0.207914282|4.984064981|0.8151164259999999|95.55665364|-273.7513925|19.78900457|0.014174378|751.9821735|1.0|0.0|1.0|0.18|16.0|-5.77|2.28|0.0|0.0|91.52|0.0|2.0|-3.07|22.0|4.0|0.0|0.0|0.0|1.5|-3.3|0.0008529999999999|261.0|0.0|1.69e-06|0.000518|2.08|3.8645|-1273.290432|845.2|320.83|0.1775|-1273.1763970000002|-1273.22339|3.4319|724.0|6.1403
17a_a10|0.0|0|0|0.0|1|2|2|1.3438501040000002|-0.218519541|-0.004333189|3|-0.082914437|-0.2946568739999999|0.031632653|1|0.01029375|-0.132166258|-0.225935253|-0.360142554|-0.275154041|2|0.76281504|0.029106767|0.054069767|0.673253555|1|0.8538249840000001|0.463842217|0.020088947|-39.18491085|-58.46202420000001|14.20303963|0.146175016|-0.023625536|-41.33310046|87.61514901|0.564726042|-1.488408763|76.48633670000001|53.38795048|0.4918223679999999|-11.80945728|0.4352739579999999|8.621193279|0.967815851|307.7420338|-743.9958084|29.57794442|0.0254938|1863.410498|0.0|1.0|0.0|0.33|21.0|-7.32|3.31|1.0|0.0|142.16|0.0|6.0|-3.68|35.0|6.0|0.0|1.0|0.0|2.64|-4.32|0.00021|0.0986|0.0|4.74e-08|2.22e-05|3.95|3.9887|-1524.52012|1326.24|310.84|0.2142|-1524.187115|-1524.252023|5.3803|49.0|7.3098
3a_a12|0.0|0|0|0.0|0|1|1|1.28383802|0.13714555|-0.007671441|2|-0.1231529169999999|-0.322200517|-0.0161799839999999|0|-0.001011111|-0.205054123|-0.072889493|-0.1213636769999999|-0.5274624179999999|1|0.7038021990000001|-0.021522321|-0.032466697|0.8847197109999999|0|0.871985494|0.241900756|0.009433302|-34.84701355|-44.430225|4.615711776|0.128014506|-0.034924502|-21.73969523|0.0|0.781050096|-1.362055589|52.21461165|39.46272532|0.462077145|-8.361421244|0.2189499039999999|5.924949067000001|0.859002624|107.1321197|-326.0954285|21.87893986|0.015909241|853.2786545|1.0|1.0|1.0|0.05|18.0|-7.5|3.43|0.0|0.0|97.52|0.0|3.0|-3.6|23.0|3.0|0.0|1.0|1.0|2.98|-4.06|0.00025|0.0745|0.0|3.13e-08|9.33e-06|3.33|3.7304|-951.3480023|875.71|332.36|0.3201|-951.217594|-951.264072|1.9332|194.0|6.7122
12l_a36|0.0|0|0|0.0|0|2|2|1.297044247|-0.0944961519999999|-0.0076430169999999|2|0.128666217|-0.4203659179999999|-0.0452558729999999|1|0.001194592|0.228884463|-0.098598933|-0.175397741|-0.428857427|1|0.8174432229999999|-0.041707369|-0.079106537|0.8212311840000001|0|0.84381923|0.3827446779999999|0.0220227089999999|-52.05361632|-70.17688229|14.33450402|0.15618077|-0.038052612|-45.67788557|1.281955437|0.7379583590000001|-1.940683231|83.76912404|66.38812034|0.4619814279999999|-16.12160667|0.262041641|7.471134223|0.8586718990000001|170.5619816|-822.2019402000001|33.56329135|0.02088234|1711.727859|1.0|1.0|2.0|0.13|17.0|-6.66|2.75|1.0|0.0|128.47|0.0|5.0|-4.57|31.0|5.0|0.0|0.0|0.0|1.77|-4.29|2.72e-05|0.0111|0.0|2.21e-07|8.97e-05|2.98|3.8619|-1325.15957|1155.07|321.05|0.4524|-1324.954011|-1325.0137550000002|7.2021|0.02|7699.0
1b_a5|0.0|0|0|0.0|0|0|0|1.4258024619999998|-0.250420203|-0.00279809|2|-0.095857885|-0.111923619|-0.028797464|1|0.003708988|-0.220946861|0.019611905|0.045204303|-0.231956531|2|0.759794937|0.122747292|-0.054153474|0.558485747|0|0.808828623|0.341795323|0.010803163|-39.38248661|-38.87394276|5.438378717999999|0.191171377|-0.031306145|-19.56938257|0.769931305|0.7324812509999999|-1.158327367|48.55415504|44.82086533|0.474445758|-7.933533473|0.267518749|6.11909445|0.90275317|134.6705884|-293.5407385|21.51550842|0.019229427|796.0738116|1.0|0.0|1.0|0.0|23.0|-8.3|4.88|0.0|0.0|90.44|0.0|3.0|-3.97|24.0|4.0|0.0|1.0|1.0|3.38|-4.3|0.000106|0.0336|0.0|4.99e-09|1.58e-06|3.1|4.6481|-1050.506509|892.61|266.74|0.3101|-1050.413506|-1050.462425|4.3687|59.0|7.2291
