molecula|NaaNH|n9FaRing|SssssC|NaasN|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|PPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
18_a3|1|0|0.0|0|0|0|-0.256375952|-0.003487792|4.59511985|-0.021283637|-0.122072724|0.042606196|10.96965878|-0.025890816|1|0.005799063|0.150826737|-0.035611069|-0.064953613|-0.2495754869999999|3|0.7226687409999999|0.714658751|0.0355413979999999|0.784960175|0.6858831809999999|1|-0.069839069|-0.0846755|0.217881538|0.013796397|-31.07331853|-37.67445366|6.1383958|160.9514039|70.31739201|-0.031753312|-16.76239841|2.73114076|0.682492203|-1.016105994|48.19055867|0.483376636|374.610053|703.8534116000001|-6.285899403999999|5.293627315|141.2679329|270.539096|10.51610501|0.0|1.0|1.0|2.62|1.81|0.0|21.0|-6.83|67.35|0.93|0.0|0.0|1.0|-2.82|21.0|4.0|-6.7|0.0|1.0|1.0|-3.27|0.0015|0.000537|147.0|0.0|4.07e-05|-0.05769|3.9765|1.85|-889.9619321|-889.9402005000001|482.41|784.04|311.79|0.3326|311.79|0.6671699999999999|0.6671699999999999|0.3326|-0.1641099999999999|-0.2218|0.02173162|-889.894728|3.3664|0.03|7.5229|7.5229
3m_a32|1|1|0.0|0|0|1|0.013867955|-0.006290106|5.733341277|-0.017268778|-0.3082152019999999|-0.084132138|10.31100268|-0.078038283|3|0.000822186|-0.065422345|-0.04918838|-0.086806406|-0.49476131|0|0.6943636479999999|0.817967125|-0.0067207069999999|0.872498916|0.6672533589999999|1|-0.084626325|-0.09390309|0.317009723|0.013428623|-50.60363458|-56.15082133|8.029854976000001|92.61088121|120.7751424|-0.027127559|-33.57626169|4.801577352|0.674468222|-1.220740175|67.1606709|0.4687361229999999|477.1904954|2363.601309|-9.699808932|7.0752395770000005|194.65681730000003|554.9424306|11.00984957|1.0|1.0|1.0|3.51|2.93|0.3|19.0|-7.38|128.01|1.74|2.0|0.0|1.0|-5.94|27.0|4.0|-6.17|0.0|0.0|1.0|-4.86|1.14e-06|1.39e-05|0.00547|0.0|1.65e-05|-0.05731|3.5749|5.1|-1863.502681|-1863.46877|641.52|1073.31|346.82|0.2952|346.82|0.7026600000000001|0.7026600000000001|0.2952|-0.14835|-0.2056599999999999|0.0339106999999999|-1863.337677|8.0755|23.0|7.6383|7.6383
LY364947_a10|1|0|0.0|0|0|0|-0.278922508|-0.00235945|4.59511985|-0.00390904|-0.084940213|0.010202602|10.9303125|-0.006198347|1|0.006909045|0.1625645369999999|0.04209715|0.072909639|-0.204644982|2|0.706034038|0.711607778|-0.072740964|0.7792035190000001|0.681525895|1|-0.076999385|-0.075303751|0.449473391|0.009678082|-34.01613475|-33.26705198|4.275500834|144.7228349|69.31194102|-0.029665114|-14.69643595|1.88879448|0.7234846559999999|-0.978948758|41.53157099|0.486715511|372.4595738|839.5356408|-5.78950507|4.702575386|122.1566022|287.99188260000005|8.264519015|1.0|1.0|1.0|2.46|1.88|0.0|21.0|-7.2|54.46|1.74|0.0|0.0|1.0|-3.54|21.0|3.0|-6.02|0.0|1.0|1.0|-3.86|0.00029|0.000137|0.0374|0.0|1.7199999999999998e-05|||||||||||||||||||59.0|7.2291|7.2291
9d_a40|0|0|0.0|1|0|0|0.007834411|-0.003961493|5.4161004020000005|-0.022152094|-0.146575228|0.15723868|10.3119722|-0.137738587|2|0.010101686|0.259969752|0.0116099239999999|0.019621984|-0.4887998529999999|0|0.601831605|0.7572844040000001|-0.3969541689999999|0.8221990920000001|0.55759121|1|-0.060319196|-0.071656839|0.002088915|0.010749826|-31.08478865|-36.92750973|5.539796446|108.1468558|30.08152399|-0.031613312|-19.03015798|2.854868966|0.8664205709999999|-1.074852592|41.42218692|0.467275972|485.2567189|336.6614768|-8.395657932|8.023385851|68.83858806|346.9019309|4.49467719|1.0|0.0|0.0|3.25|3.63|0.06|20.0|-7.0|58.43|4.07|1.0|0.0|1.0|-6.13|22.0|2.0|-4.62|0.0|1.0|1.0|-5.65|7.37e-07|2.23e-06|0.000727|0.0|3.3e-05|-0.06906|4.6073|4.7|-1677.551678|-1677.540538|542.19|892.69|370.51|0.4888|269.1|0.4557199999999999|0.69986|0.4025|-0.13875|-0.20781|0.01113991|-1677.48058|7.9502|107.0|6.9706|6.9706
7e_a8|1|0|0.0|1|0|0|-0.150447714|-0.006027596|4.844187086|-0.052939815|-0.289324602|-0.11032771|10.94332434|-0.0446343779999999|1|0.002669179|-0.075638618|0.034227147|0.07125309|-0.341022848|0|0.5897105770000001|0.732001738|-0.023521398|0.790500031|0.577394732|0|-0.08608941|-0.0886889709999999|0.286669793|0.0215993429999999|-51.4880895|-53.04282692|12.91806855|86.03149870000001|102.177831|-0.037446454|-31.72369068|7.725998682999999|0.776001552|-1.6850904519999998|64.23177694|0.4742828629999999|495.8990914|2032.501296|-13.39444718|7.70387217|133.9683023|519.5762494|11.18895001|1.0|0.0|1.0|3.2|3.38|0.04|23.0|-8.29|70.81|3.54|2.0|0.0|1.0|-5.75|29.0|4.0|-5.43|0.0|0.0|1.0|-5.41|1.78e-06|3.87e-06|0.00149|0.0|1.95e-06|-0.0697|3.8142|6.32|-1300.495519|-1300.467069|622.23|1060.05|383.1|0.3461|325.06|0.6998300000000001|0.70177|0.1522|-0.13577|-0.2054699999999999|0.02845071|-1300.327213|11.4436|35.1|4.4547|4.4547
19a_a22|0|0|0.0|1|0|0|-0.000989685|-0.009145283|4.727387819|-0.144269652|-0.548716971|-0.011513343|10.9464374|0.016501913|1|-0.001355145|-0.03516233|-0.035723406|-0.0611158559999999|-0.496053375|2|0.72808001|0.777600172|-0.155892259|0.834033833|0.699744887|1|-0.090145161|-0.09370213|0.51561501|0.024839714|-67.26339083|-69.91748544|18.53458775|373.8201781|190.7541925|-0.035138299|-52.17015658|13.82990734|0.684706189|-1.967744721|89.23486638|0.4347718229999999|555.4133255|2607.322873|-19.56380872|8.648671382|235.2620007|781.8210659|19.31738094|1.0|1.0|2.0|3.61|2.27|0.08|27.0|-8.76|128.68|0.98|1.0|0.0|1.0|-4.38|35.0|6.0|-7.67|0.0|0.0|0.0|-4.11|4.16e-05|7.69e-05|0.0356|0.0|8e-07|-0.06398|5.0397|5.69|-1537.071348|-1537.0241640000002|740.07|1277.14|346.24|0.2218|246.01|0.34556|0.66605|0.0623|-0.1508|-0.21478|0.04718381|-1536.823574|6.5658|48.0|7.3188|7.3188
13d_a5 (GW788388)|1|0|0.0|0|1|1|-0.0959854909999999|-0.005668173|4.59511985|-0.009710199|-0.33442223|-0.086484275|10.94530363|0.024793388|1|0.003668464|-0.14893897|-0.010147323|-0.016337128|-0.3706975529999999|2|0.7333482170000001|0.78479342|0.024905619|0.834800344|0.71006207|0|-0.086824482|-0.0844793|0.54169129|0.014571846|-57.42492153|-55.87383979|9.637686167|151.3669372|149.40573999999998|-0.0291837579999999|-36.95444874|6.374277851|0.669182121|-1.605106706|70.45205183|0.488398052|511.985152|1377.863026|-12.76608229|8.077599766|218.7999323|723.0631751|14.57821204|0.0|1.0|2.0|3.21|2.74|0.2|23.0|-8.84|92.79|1.37|1.0|0.0|1.0|-4.35|32.0|5.0|-6.94|0.0|0.0|1.0|-4.35|4.429999999999999e-05|4.5e-05|0.0192|0.0|6.16e-07|-0.05542|4.6091|3.81|-1390.589662|-1390.548362|707.09|1206.73|297.28|0.5251|269.0|0.42515|0.48848|0.1549|-0.17299|-0.22841|0.04130059|-1390.355751|3355.0|18.0|7.7447|7.7447
15c_a10|0|0|0.0|1|2|2|-0.236118846|-0.002218445|5.4161004020000005|0.040869377|-0.153072705|-0.1036030219999999|10.92970798|0.0123939039999999|1|0.012271987|-0.101214571|-0.226679901|-0.35845963|-0.1742732839999999|2|0.7655272009999999|0.7351096359999999|-0.03167553|0.772328328|0.733973277|1|-0.046967376|-0.072537853|0.418835517|0.014703076|-32.5870313|-50.32840842|10.2013281|65.41494073|66.28884934|-0.019267867|-34.91899195|7.077912953999999|0.528228415|-1.233143495|66.5866765|0.449308156|627.5338454|1817.047455|-9.275357237|8.639636218|327.3258326|924.9341455|16.25826809|0.0|1.0|0.0|3.85|4.09|0.37|21.0|-7.79|59.31|1.74|1.0|0.0|1.0|-3.85|34.0|6.0|-6.99|0.0|1.0|0.0|-4.57|0.0001419999999999|2.68e-05|0.0122|0.0|7.3e-06|-0.04724|5.5913|2.2|-1450.241475|-1450.500669|762.21|1318.35|337.75|0.3939999999999999|221.75|-0.26999|0.70511|0.0|-0.14739|-0.19463|-0.25919486|-1450.201574|4.8283|0.1|7.0|7.0
13b_a50|0|1|0.0|2|2|2|-0.067327798|-0.003876697|5.82008293|0.010464577|-0.263615417|-0.042022102|10.94500743|-0.054716607|2|0.011379776|-0.03182432|-0.173463805|-0.269353185|-0.319215353|1|0.749187803|0.788327682|-0.041506802|0.828965118|0.71935296|1|-0.051509874|-0.080785633|0.435064196|0.019899348|-36.81915624|-57.74541064|14.22401427|104.0753113|67.07377798|-0.026928544|-41.27630533|10.16729727|0.700410304|-1.696498291|70.09526468|0.4321103879999999|647.7242444|2147.355856|-13.75876844|9.514897025|214.1461224|900.2031356000001|12.34985404|1.0|1.0|0.0|4.78|4.17|0.37|20.0|-7.23|66.99|2.52|2.0|0.0|1.0|-5.02|34.0|5.0|-6.3|0.0|0.0|0.0|-5.1|9.65e-06|7.92e-06|0.00361|0.0|2.68e-05|-0.02606|4.2315|3.63|-1470.401544|-1470.3699789999998|780.4|1339.39|301.22|0.1589|293.0|0.65332|0.63872|0.1553|-0.1701599999999999|-0.19622|0.03156473|1470.104535|7.1645|1.83|5.7375|5.7375
14n_a23|0|1|0.0|2|0|0|0.009802461|-0.0068536419999999|5.351858133|-0.027380305|-0.376950283|-0.049694913|10.3132176|-0.059870135|2|0.010508236|0.144230149|-0.110069159|-0.199540201|-0.404569286|2|0.756252127|0.802854174|0.219354173|0.861597051|0.71381683|1|-0.058928845|-0.082430028|0.209387766|0.027028617|-39.82324087|-55.70499288|18.26553926|97.93357279|72.12361433|-0.032325501|-37.64460956|12.34358104|0.6868205409999999|-1.648600566|72.09248208|0.469606631|603.6615822000001|2195.877777|-14.76259199|8.662092555|211.642042|683.7405759|16.3874892|0.0|1.0|1.0|3.53|3.66|0.09|26.0|-7.51|114.25|2.72|2.0|1.0|1.0|-5.63|32.0|5.0|-6.47|0.0|0.0|0.0|-5.02|2.32e-06|9.57e-06|0.0042299999999999|0.0|1.3699999999999998e-05|-0.06951|3.4217|3.23|-1744.450916|-1744.42791|710.48|1209.95|362.35|0.4229|362.35|0.6955|0.6955|0.4229|-0.1382|-0.2077099999999999|0.02300614|-1744.244532|7.2975|1.0|9.2441|9.2441
