molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC1i|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
11_a3|0.0|0|0|0.0|0.0|0|0|0.0|0.119431379|-0.01008647|4.727387819|-0.127546771|0.042795699|1.710245969|-0.363112913|-0.008037672|0.044912659|-0.023103765|1|-0.005959152|-0.0947326669999999|-0.04179402|0.793311683|0.834020779|1|-0.099420732|0.014376713|-45.19136777|6.800350988|253.1353625|105.101718|-0.0391657429999999|80.34769756|-1.292469516|-21.37603754|-18.52584757|51.99171876|0.4680759679999999|2097.896727|367.9098016|-611.3529698|1105.41974|0.2475152639999999|5.475372235|10.29352296|0.8799677029999999|4487.967272999999|117.0775712|24.61956593|0.021256639|-238.8563772|812.4456757999999|311.6695405|10.0546353|0.0|1.0|1.0|1.0|1.0|3.19|2.07|0.0|-6.51|3.79|0.8|0.0|88.28|0.0|2.0|-4.08|4.0|-6.59|305.36|0.0|1.0|0.0256|0.000197|0.0601|2.22|3.06e-07|9.35e-05|-69.0|3.2232|508.58|834.82|384.66|346.18|0.6966600000000001|0.6966600000000001|-1288.058926|0.4441|-0.13118|3.3694|-1288.10577|4.4522|0.04|7.3979
9h_a40|0.0|0|0|0.0|0.0|1|0|1.7679629630000002|0.014753178|-0.009041931|5.4161004020000005|-0.126968715|0.039444444|0.814591837|-0.343593366|0.003782277|0.133376308|-185.0|2|0.003099029|0.08305063|-0.299768519|0.8022014000000001|0.7528137909999999|1|-0.095803029|0.012390387|-46.04148264|6.199629554|132.6583116|67.89350333|-0.041058441|0.0|-1.437045429|-23.03722449|-20.54391962|52.2411122|0.482124665|2073.354193|432.46450360000006|-719.0371868|418.2915223|0.136115065|6.922257828999999|13.366649|0.930966649|4322.734135|68.10626265|23.78085181|0.011321157|-364.1454816|832.3298135|336.23227030000004|5.664631335|1.0|1.0|0.0|1.0|0.0|3.3|3.55|0.11|-6.51|4.59|3.22|1.0|93.19|0.0|3.0|-5.65|3.0|-5.06|321.4|1.0|1.0|0.000716|7.6e-06|0.00244|4.51|3.09e-07|9.93e-05|-0.05991|3.3675|526.38|868.84|368.18|410.18|0.64952|0.69809|-1293.033723|0.2721|-0.14047|2.1413|-1293.083512|2841.0|3.98|5.4001
4b_a46|0.0|0|0|0.0|0.206072846|1|1|2.189591837|-0.155670183|-0.00113356|5.587248657999999|-0.022119857|0.047736111|0.0|-0.058945144|0.012332859|-0.135121207|-0.111103941|1|0.011806162|-0.123416853|-0.153841155|0.768651645|0.69830739|0|-0.070236212|0.007568202|-28.58477842|4.127907383|7.986637869|35.31914031|-0.0229342729999999|56.7922535|-1.123779397|-15.59093155|-12.50898928|32.7126858|0.428987199|2105.172229|510.1086157|-612.9404746|1750.333702|0.189531974|5.76401157|10.09436488|0.751274223|4681.895329999999|103.3759991|15.43427855|0.007963679|-338.6757579|756.2796491|538.4165208|4.343611349|1.0|0.0|1.0|1.0|0.0|3.9|3.03|0.38|-7.2|4.69|2.58|1.0|101.7|0.0|2.0|-4.35|3.0|-5.67|332.44|1.0|1.0|0.0149|2.35e-05|0.00782|3.74|6.38e-08|2.12e-05|-0.02729|4.5515|588.79|1020.9|272.4|508.79|0.68682|0.68682|-1033.3243619999998|0.1784|-0.19082|3127.0|-1033.378455|3.7571|548.0|6.2612
4o_a46|0.0|0|0|0.0|0.160026534|1|1|2.138144369|-0.24479566|-0.000627744|5.587248657999999|0.042766097|0.043320988|0.0|-0.032014955|0.010870588|-0.203025042|-0.06855792|1|0.010144781|-0.028735607|-0.09492635|0.8176134690000001|0.6418406720000001|0|-0.06570509|0.00972341|-35.54402423|5.332434441|5.821925821000001|27.01882145|-0.021901697|31.19780621|-1.051281434|-19.49276784|-12.01115223|40.87645867|0.460981009|2195.436986|521.3931342|-576.535307|1705.3950960000002|0.248979351|5.527567399|10.25486577|0.855222204|4966.476822|136.5432529|15.99310518|0.0108913189999999|-275.3254498|767.6690487000001|544.7877262000001|5.972929428|1.0|0.0|1.0|1.0|0.0|3.73|3.12|0.32|-7.26|4.77|2.72|1.0|103.66|0.0|2.0|-4.91|3.0|-5.51|342.44|1.0|1.0|0.00422|1.34e-05|0.0045899999999999|4.06|5.5e-08|1.88e-05|-0.04627|4.3255|581.59|1022.29|286.64|501.08|0.6843|0.6843|-1070.223416|0.1598|-0.18282|3.4494|-1070.276387|4.8244|162.0|6.7905
IN1233_a59|0.0|0|0|3.463603867|0.0|0|0|0.0|0.1160337319999999|-0.008841844|4.727387819|-0.12050413|0.0396875|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|-0.054458882|1|-0.004071701|0.003282792|-0.090732503|0.80310139|0.778639593|1|-0.095213818|0.010831674|-61.73167061|7.208329477|318.5587088|158.8351574|-0.035929742|83.1557517|-1.904276352|-41.08157616|-23.91074854|68.94000009|0.483639625|2809.840422|506.6510632|-1267.269673|1822.396842|0.1892041019999999|8.011984402000001|15.51626497|0.936631949|6206.818668|125.91272279999998|29.49046561|0.0134658889999999|-413.6607749|1562.994677|712.1606951|8.961363774|1.0|1.0|1.0|1.0|2.0|3.48|2.76|0.08|-10.0|5.54|2.06|2.0|125.07|0.0|5.0|-5.59|4.0|-6.13|419.48|0.0|1.0|0.00107|6.91e-06|0.0029|3.85|9.93e-11|4.17e-08|-0.05605|3.5355|703.47|1204.16|350.69|531.14|0.51285|0.6953699999999999|-1352.073755|0.2011|-0.14684|5.4004|-1352.135303|7.6059|34.0|7.4685
32_a47|0.0|1|1|0.0|0.0|1|1|1.998170616|-0.1746026239999999|-0.003573735|4.727387819|0.000921003|0.035568182|1.6507707980000002|-0.2037028839999999|0.001861676|-0.026022099|-0.044598914|1|0.002350172|-0.157688306|-0.078006445|0.858292442|0.634406338|1|-0.0726950079999999|0.019295804|-41.57905445|13.90468487|28.55112477|106.9180086|-0.026060474|44.50423685|-1.381205148|-29.9621436|-18.77935151|55.48373932|0.44289006|2808.210157|613.6886524|-995.3056298|2255.632049|0.35883878|8.656942728999999|15.53902041|0.794977846|6235.398576|258.5816152|29.28959351|0.022735861|-203.4434306|1552.348456|682.9868225|16.38361254|1.0|1.0|1.0|1.0|2.0|3.35|3.67|0.26|-8.82|4.18|3.11|2.0|125.17|0.0|5.0|-4.81|5.0|-6.34|436.91|0.0|1.0|0.00674|8.89e-06|0.0038799999999999|3.7|1.5e-09|6.55e-07|-0.05682|3.6829|692.49|1184.76|336.65|548.86|0.48011|0.68986|-1777.843462|0.2839|-0.1509599999999999|4.8234|-1777.90286|6.3139|0.1|7.0
27c_a34|0.0|0|0|0.0|0.0|1|1|1.996958431|0.02583752|-0.014036512|5.351858133|-0.1450543259999999|0.041728395|0.0|-0.80008116|-0.008017781|-0.028344637|-0.014364543|1|-0.004694534|-0.2077985889999999|-0.0239323839999999|0.8353837409999999|0.804740647|0|-0.12597014|0.0304948179999999|-76.84420762|20.51361454|176.7076265|248.17931940000005|-0.042782312|119.8660257|-2.26746252|-51.69246989|-28.77931113|97.35782216|0.424716257|2921.328444|424.51250080000005|-1525.30349|2477.818875|0.261802571|8.808655321|15.31184469|0.738272657|6308.331369|176.1124482|38.98592708|0.022975949|-320.4669239|2066.254135|673.8038326000001|15.45573273|1.0|1.0|1.0|1.0|2.0|3.55|3.11|0.12|-7.67|3.11|1.71|1.0|119.71|0.0|6.0|-4.75|5.0|-6.85|427.46|0.0|1.0|0.00759|3.52e-05|0.0151|2.9|2.13e-08|9.1e-06|-0.03792|3.9186|709.72|1203.69|316.4|558.04|0.68683|0.70336|-1426.246896|0.0093|-0.1589|7.6204|-1426.31053|9.6148|0.8|6.0969
47t_a18|0.0|0|0|0.0|0.0|0|1|0.0|0.1115820769999999|-0.0128248239999999|4.844187086|-0.161517185|0.03672956|0.0|-0.756664598|-0.006573438|-0.011641394|-0.04785474|0|-0.004985656|-0.104274108|-0.074774521|0.796935152|0.688453085|0|-0.103295568|0.014067024|-79.78154029|9.415011332|280.622476|219.5070758|-0.040580402|78.43695402|-2.272502492|-53.39751484|-27.16032544|89.19655162|0.49779009|2872.533415|449.789539|-1520.978225|1326.524873|0.195468477|8.780037801|17.48280476|0.991199259|6603.597038|130.8263901|33.75918118|0.016238994|-407.6438346000001|1890.514146|747.6927426|10.86870356|0.0|0.0|1.0|0.0|3.0|3.86|0.0|0.15|-7.51|2.6|1.64|2.0|129.21|0.0|7.0|-5.58|4.0|-6.46|441.48|0.0|0.0|0.00117|1.7100000000000002e-05|0.0075299999999999|3.57|3.09e-08|1.36e-05|-0.06822|3.1164|703.76|1218.95|397.84|601.36|0.6895100000000001|0.6895100000000001|-1470.528808|0.5502|-0.12692|7.7656|-1470.593659|9.6938|782.0|6.1068
9s_a24|0.0|0|0|2.9568988810000003|0.0|0|1|0.0|-0.222173285|-0.003599664|4.59511985|-0.00570386|0.023585859|0.0|-0.190782186|0.006748865|-0.060407836|0.013901071|1|0.007695726|-0.359715589|0.0256742079999999|0.8327425070000001|0.748077475|0|-0.063587778|0.016792118|-30.93968263|10.42725806|33.24649431|72.43525688|-0.019465646|0.695462853|-0.953816666|-19.21235005|-12.08741583|41.36694069|0.47085169|2747.809842|548.5261887|-592.2833757999999|969.5210193|0.554839231|9.124394347|17.24354813|0.889829339|5767.9102490000005|344.5337711|27.15292246|0.03496522|68.10609672|1330.4932|604.8829955|21.71205366|0.0|1.0|1.0|1.0|1.0|3.43|2.78|0.04|-8.11|3.15|0.81|1.0|115.67|0.0|4.0|-3.36|4.0|-7.2|393.44|0.0|0.0|171.0|8.71e-05|0.0343|2.11|7.73e-09|3.04e-06|-0.03597|2.6707|654.28|1121.42|464.24|521.4|0.69475|0.6907300000000001|-1270.738032|0.0839|-0.10865|4.6141|-1270.796154|7.0312|32.0|7.4949
14aa_a23|0.0|1|1|0.0|0.0|2|0|3.4143268310000003|0.066582026|-0.005050361|5.351858133|-0.026892547|0.046678487|0.758549568|-0.287870566|0.013012022|-0.029037128|-0.044957534|2|0.012103325|-0.13397874|-0.070471939|0.8072028240000001|0.693959193|1|-0.076107469|0.018016316|-35.51947393|12.26959478|40.49537336|51.68445972|-0.03159178|83.27171526|-1.6743643259999998|-24.18971469|-21.51484958|47.78906871|0.4930525229999999|2941.302235|629.3423691|-1140.287028|2263.821505|0.203340553|8.000512184|15.78173785|0.972590939|6651.23042|138.4803717|27.00633206|0.013786041|-404.0660854|1431.335599|733.3886349999999|9.388663605|0.0|0.0|1.0|1.0|1.0|3.63|3.68|0.12|-8.16|4.4|3.45|2.0|130.22|0.0|5.0|-6.23|4.0|-5.92|439.54|0.0|0.0|0.000259|2.81e-06|0.00123|4.31|6.9799999999999995e-09|3.07e-06|-0.0708299999999999|3.5934|715.57|1231.11|345.03|588.45|0.6805899999999999|0.6805899999999999|-1708.276011|0.4157|-0.1449|5.8286|-1708.338059|8.3532|4.0|8451.0
9g_a40|0.0|0|0|0.0|0.0|1|0|1.849105962|-0.058811055|-0.0054957819999999|5.4161004020000005|-0.0220464379999999|0.043730159|0.895670535|-0.225327061|0.011921308|0.139758613|-0.145879501|2|0.0115573539999999|-0.062672355|-0.242405063|0.821935848|0.665414608|1|-0.079033043|0.021367335|-33.47455057|11.25704374|65.74631496|50.29077056|-0.031197254|64.08637519|-1.185495647|-17.63553984|-16.43578193|44.73159432|0.476386801|2169.234651|476.5434822|-624.5597134|349.4421673|0.259759794|8.180261533|15.62271835|0.909806709|4435.743087|136.8503571|22.20330888|0.018087202|-253.1335385|843.7257374|384.6422631|9.528957565|0.0|1.0|1.0|1.0|1.0|2.8|1.78|0.06|-6.43|2.91|0.64|0.0|87.53|0.0|3.0|-2.49|4.0|-7.17|302.33|1.0|0.0|977.0|0.0008179999999999|247.0|1.37|3.720000000000001e-07|0.000113|-0.0624|3.0778|559.04|923.42|402.84|469.6|0.70233|0.70233|-1332.31775|0.3563|-0.12765|3.4787|-1332.369643|5063.0|3548.0|5.45
47l_a18|0.0|0|0|0.0|0.0|0|1|0.0|0.0340353029999999|-0.006400878|4.844187086|-0.0603838109999999|0.035308642|0.0|-0.428858819|-0.00046896|-0.010426981|-0.056270425|0|0.000787517|-0.156998637|-0.0973326269999999|0.781148177|0.733228144|0|-0.083884237|0.009199889|-57.15119372|6.543729374|11.54768766|139.7861865|-0.031456589|51.44279524|-2.0132216990000003|-40.65070014|-22.37455223|63.6949231|0.4897655489999999|2852.093627|571.4972966|-1431.971342|1427.032023|0.203890653|9.423637134|18.46922943|0.959883341|6572.90106|145.02405359999997|28.10487315|0.012890098|-421.235376|1798.711882|931.8364349|9.168513486|1.0|1.0|1.0|1.0|3.0|4.17|0.0|0.25|-9.37|3.69|2.94|3.0|139.63|0.0|9.0|-5.26|3.0|-6.39|454.56|0.0|0.0|0.00247|1.4499999999999998e-05|0.0066099999999999|3.78|4.26e-10|1.93e-07|-0.0520399999999999|3.2026|764.74|1334.6|387.13|667.5|0.69291|0.69291|-1455.165122|0.5019|-0.1314|2.4594|-1455.233431|3.3864|32.0|7.4949
8g_a8|0.0|0|0|3.073183107|0.0|1|1|1.298078704|-0.000475415|-0.014340328|5.4161004020000005|-0.222784884|0.0438779959999999|0.0|-0.731356723|-0.009140059|-0.025002199|-0.03728368|1|-0.007047583|0.162134281|-0.0571942009999999|0.790058057|0.656457444|0|-0.129695841|0.031118325|-83.78686741|19.06725815|171.26571059999998|285.5736014|-0.052430233|67.54104396|-2.464220973|-51.33906829|-32.12579035|102.8541256|0.479218966|2889.141422|327.1604688|-1509.912147|2148.49832|0.166939179|7.440878437999999|14.28792131|0.920192814|6581.432140999999|102.2893227|38.56355928|0.017636126|-408.1554248|1812.487286|551.1746801|10.80625499|0.0|0.0|1.0|0.0|2.0|3.31|2.96|0.04|-7.4|4.11|3.01|2.0|111.38|0.0|4.0|-5.3|5.0|-6.34|417.39|0.0|0.0|0.00209|1.16e-05|0.00483|3.53|4.01e-08|1.67e-05|-0.05849|3.7495|635.27|1083.78|330.67|489.97|0.69221|0.69221|-1450.728709|0.3904|-0.15542|6.0697|-1450.787398|7.5762|4.2|5.3768
19i_a38|0.0|0|0|3.169368622|0.0|0|2|0.0|-0.125335237|-0.008447598|5.351858133|-0.115864198|0.043197531|0.0|-0.4561702689999999|-0.006877664|-0.074033381|-0.053762162|1|-0.004358975|-0.250781298|-0.087904124|0.892249657|0.632625562|0|-0.113250303|0.022576308|-51.15830416|13.83587388|137.7658863|154.953787|-0.040770109|10.71501217|-2.038505453|-31.35232957|-24.98593175|64.99417804|0.444551315|2896.470706|457.89548719999993|-1249.2965869999998|2335.0953870000003|0.258076158|6.690507557999999|12.04523072|0.800346329|6744.7785650000005|158.161786|33.67721904|0.022159015|-296.5257022|1683.860952|593.6088758|13.5801364|1.0|1.0|1.0|1.0|3.0|4.8|2.88|0.14|-7.12|3.55|2.78|1.0|125.65|0.0|5.0|-4.25|5.0|-6.81|419.43|0.0|1.0|0.0238|4.67e-05|0.0196|2.88|7.599999999999999e-08|3.19e-05|-0.0564799999999999|3.6129|641.31|1101.03|343.17|457.26|0.4342|0.69267|-1431.181148|0.1886|-0.14872|6.6636|-1431.239177|8.6365|13.0|7.9031
11f_a5|0.0|0|0|2.967866825|0.0|0|1|0.0|-0.251797205|-0.0037371509999999|4.59511985|0.022233547|0.021060606|0.0|-0.227966183|0.00722997|-0.178881726|-0.0080939669999999|1|0.008309782|-0.203228986|-0.016518403|0.800575032|0.750555185|0|-0.074612137|0.0221464629999999|-47.57801621|15.41338844|70.39517801|106.23633909999998|-0.022252743|13.29510896|-1.268406334|-33.11311829|-15.48735657|62.99140465|0.463183664|2853.401015|589.7388387999999|-882.7793242999999|1125.122028|0.489052404|9.683662007|18.03905985|0.8628345190000001|5969.213977|340.3683339|30.31104695|0.030351311|-15.23851001|1727.7296760000002|753.9168511|21.12375879|0.0|1.0|1.0|1.0|1.0|3.35|2.87|0.24|-8.67|4.61|1.03|1.0|126.79|0.0|7.0|-3.95|6.0|-6.99|427.5|1.0|0.0|0.0477|5.479999999999999e-05|0.0234|2.7|2.12e-09|9.06e-07|-0.03862|4.1356|729.96|1239.35|299.8|579.1|0.6593600000000001|0.64937|-1391.444853|0.1834|-0.1691|2.1313|-1391.50739|2.9697|12.0|7.9208
10_a15|0.0|0|0|0.0|0.0|0|0|0.0|-0.137104477|-0.006872984|0.0|-0.0435725659999999|0.037209302|0.0|-0.384887119|0.001740635|-0.077096984|0.010152859|0|0.0034254209999999|-0.184255041|0.018211609|0.7585998270000001|0.7933685340000001|0|-0.101494566|0.010485777|-30.73805622|6.101312009|6.497096666|38.90530741|-0.036384844|0.0|-1.928396745|-17.88541558|-21.17108692|36.83936823|0.449323734|2605.82709|542.9602292000001|-1122.067607|2305.991259|0.169827351|5.555044294|10.08767698|0.815948972|6204.37804|98.81668286|25.50202895|0.0116026369999999|-384.2321709|1351.607534|673.7288405|6.751174337|1.0|1.0|1.0|1.0|1.0|3.58|3.64|0.12|-9.82|5.32|2.87|2.0|119.95|0.0|6.0|-6.22|4.0|-4.97|397.47|0.0|1.0|0.0002379999999999|1.47e-06|0.000584|5.29|1.51e-10|5.99e-08|-0.03581|3.6448|631.2|1136.48|340.17|487.16|0.66799|0.70313|-1280.804272|0.0042|-0.15377|1.6654|-1280.862627|3.1460000000000004|7.0|8.1549
14k_a23|0.0|1|1|0.0|0.0|2|0|3.358995671|0.070940371|-0.005866159|5.351858133|-0.024758731|0.046283951|0.74561778|-0.299174093|0.010682694|-0.055500851|-0.055708465|2|0.009263715|-0.13187015|-0.091426449|0.864845456|0.659570836|1|-0.079899943|0.018829201|-37.43135588|12.53019305|38.76597615|51.64167457|-0.033999976|80.31548917|-1.597998852|-24.9092952|-22.62582822|49.96154892|0.486654314|2955.4566170000003|613.8243395|-1063.413926|2174.886074|0.216437606|8.21201115|15.99703938|0.948005074|6715.186162999999|144.0318708|28.87559227|0.016348271|-377.4022725|1357.152837|633.3278634|10.87921891|0.0|0.0|0.0|1.0|1.0|3.39|3.56|0.05|-7.99|4.0|3.51|2.0|125.29|0.0|5.0|-6.13|4.0|-6.03|445.93|0.0|0.0|0.000334|2.83e-06|0.00126|4.21|1.02e-08|4.55e-06|-0.07933|3.6421|691.9|1179.17|340.42|552.65|0.63765|0.63765|-2089.293765|0.4694|-0.14784|5.8718|-2089.354026|8.3627|4.0|8.4123
13a_a30|0.0|0|0|0.0|0.0|0|2|0.0|0.113424769|-0.011002918|5.351858133|-0.118776867|0.042560386|0.0|-0.627166322|-0.003436924|0.0317047379999999|-0.0351777|1|-0.002215642|0.006103754|-0.058608635|0.885516463|0.802578397|0|-0.113507021|0.01856512|-74.02777574|12.53013554|381.9643801|204.9120824|-0.042832838|102.6479456|-2.27014041|-49.96348386|-28.90911938|86.55791128|0.4661332179999999|3002.811441|470.0167988|-1532.183327|2520.165025|0.2001375339999999|8.066980235|15.1104742|0.873126469|6675.344631|135.07860209999998|36.14261279|0.017212819|-404.771677|1915.558478|713.7769663|11.6174288|1.0|0.0|1.0|0.0|2.0|4.76|0.0|0.13|-6.19|3.04|2.06|1.0|135.37|0.0|6.0|-5.01|5.0|-7.05|441.51|0.0|0.0|0.00427|5e-05|0.0221|2.74|6.520000000000001e-07|0.000288|-0.0555|3.5288|721.66|1211.54|351.35|541.59|0.26119|0.6845600000000001|-1744.217986|0.1603|-0.14953|0.7158|-1744.281248|1.4855|14.0|7.8665
18_a15|0.0|0|0|0.0|0.0|0|0|0.0|-0.020185809|-0.006149666|0.0|-0.090130715|0.037948718|0.0|-0.319782642|-0.001044324|-0.066226471|0.002685285|0|0.000539978|-0.145790726|0.004699248|0.765450925|0.645117465|0|-0.090730185|0.007146033|-41.31992544|4.370403779|40.37881101|100.159876|-0.035181092|1.833724661|-1.723873519|-25.27062952|-21.51621375|45.69032922|0.415796832|2541.440611|511.4247108|-1054.294474|2510.854462|0.132569119|5.990767063|10.2545953|0.711733271|5705.360332|81.07723009|24.80452821|0.008781964|-449.4301265|1215.421882|590.2470602999999|5.370913621000001|1.0|1.0|1.0|1.0|1.0|3.37|3.75|0.08|-9.98|5.68|3.6|2.0|113.42|0.0|5.0|-6.16|4.0|-4.8|385.43|0.0|1.0|0.000265|1.18e-06|0.0004559999999999|5.42|1.0399999999999999e-10|4.01e-08|-0.03581|3.8232|650.53|1110.18|324.29|535.02|0.6074|0.70427|-1265.556558|0.0066|-0.1579|4.2476|-1265.614679|6.5864|129.0|6.8894
12m_a30|0.0|0|0|0.0|0.0|0|2|0.0|0.096631895|-0.01047558|5.351858133|0.024086432|0.040839506|0.0|-0.57615692|0.001371944|0.0488832779999999|-0.0547272029999999|1|0.0026474159999999|-0.152855196|-0.0974968869999999|0.893689741|0.770326886|0|-0.103359773|0.027352277|-57.96147772|18.55926485|133.774348|147.06395700000002|-0.0405332439999999|237.0982213|-2.067195455|-39.32844052|-27.50290965|76.52074257|0.44976016|3058.3084710000003|531.4632661|-1402.648392|2370.879718|0.226267233|9.025816604|16.40342255|0.8173893040000001|6658.711303|153.52847759999997|35.54574762|0.019500715|-371.4702679|1812.833129|683.7405759|13.2317657|1.0|0.0|1.0|0.0|1.0|4.66|0.0|0.13|-6.42|3.4|2.06|2.0|133.52|0.0|6.0|-6.0|6.0|-6.22|439.49|0.0|0.0|0.000444|9.71e-06|0.00427|3.89|3.7600000000000003e-07|0.000165|-57.0|3.5496|714.92|1204.39|349.29|578.87|0.33392|0.68404|-1742.965888|0.1615|-0.15042|3.6891|-1743.030004|5.1279|31.0|7.5114
17a_a25|0.0|0|0|0.0|0.0|1|0|1.826085128|0.0055894319999999|-0.004137083|4.727387819|-0.036457743|0.043274232|2.008884939|-0.248224991|0.0063846319999999|-0.0688716509999999|0.006360768|1|0.006423059|-0.07654898|0.0114970419999999|0.8005589320000001|0.659740852|1|-0.079378741|0.012665055|-44.46905084|9.033070252|93.75234138|89.44809639|-0.0297670279999999|80.30332825|-1.666953566|-31.71656603|-21.2306737|53.50212109|0.468791604|2907.309477|623.7797651000001|-1188.917727|2432.071525|0.244019498|8.996672966|16.93624014|0.882500365|6250.571217000001|174.0415044|28.08362601|0.015373381|-365.1448527|1572.683056|781.7487682|10.96472369|1.0|1.0|1.0|1.0|1.0|3.48|3.47|0.11|-9.98|4.83|2.67|2.0|131.06|0.0|7.0|-5.12|4.0|-6.18|433.5|0.0|1.0|0.00325|7.44e-06|0.00323|3.9|1.05e-10|4.54e-08|-0.05255|3.9347|747.06|1271.9|315.11|598.67|0.35172|0.6722|-1391.321455|0.1735|-0.16304|3.4677|-1391.385492|5.1401|25.0|7.6021
5f_a40|0.0|0|0|0.0|0.0|1|1|1.656591081|-0.004886759|-0.008387329|6.167516491000001|-0.0468504759999999|0.042936508|0.769837491|-0.293556526|0.000663516|0.166865076|0.062183277|2|0.000706205|0.18254908|0.095322868|875.0|0.680674762|1|-0.10969397|0.020236763|-52.44868801|9.349692674|222.1847349|119.4441339|-0.041135239|63.48466425|-1.316327637|-24.23209217|-19.00510637|61.79838068|0.484099946|1932.388838|342.5710869|-608.163404|599.1117195|0.185606315|5.780627322000001|11.20493646|0.938359946|3963.475837|85.75294257|23.33651|0.015000038|-290.5093357|746.7683199|269.0442248|6.930245797|1.0|0.0|1.0|1.0|1.0|3.08|2.05|0.21|-3.69|2.94|1.29|0.0|78.56|0.0|3.0|-3.97|3.0|-6.47|284.34|0.0|1.0|0.0307|0.000491|0.14|2.2|0.000207|0.0587|-0.06227|3.0611|487.57|793.54|405.03|361.03|0.56507|0.69727|-1232.851443|0.0415|-0.13057|5.5961|-1232.898044|7.6183|112.0|6.9508
19a_a22|0.0|0|0|0.0|0.0|1|0|1.572240489|-0.000989685|-0.009145283|4.727387819|-0.144269652|0.0389622639999999|1.545757986|-0.548716971|-0.002607064|-0.011513343|0.016501913|1|-0.001355145|-0.0611158559999999|0.0271939039999999|0.834033833|0.699744887|1|-0.09370213|0.024839714|-67.26339083|18.53458775|373.8201781|190.7541925|-0.035138299|106.645364|-1.967744721|-50.18975739|-26.21905704|85.79797858|0.4347718229999999|3167.140147|555.4133255|-1468.267194|2607.322873|0.315293811|8.648671382|15.30120355|0.76919701|7095.27723|235.2620007|38.29242013|0.025888799|-275.6435167|2144.375527|781.8210659|19.31738094|1.0|1.0|1.0|1.0|2.0|3.61|2.27|0.08|-8.76|3.08|0.98|1.0|132.15|0.0|7.0|-4.38|6.0|-7.67|463.49|0.0|0.0|0.0193|7.69e-05|0.0356|2.05|1.73e-09|8e-07|-0.06398|3.5809|740.07|1277.14|346.24|567.03|0.34556|0.66605|-1536.756515|0.0623|-0.1508|4.5288|-1536.823574|6.5658|48.0|7.3188
13_a12|0.0|0|0|0.0|0.0|0|0|0.0|0.202052156|-0.0069874069999999|0.0|-0.0619247109999999|0.037948718|0.0|-0.272508888|0.000830398|-0.083760082|0.021322992|0|0.002279068|-0.281096572|0.039235452|0.7300173240000001|0.804066411|0|-0.092483398|0.008188151|-28.51381164|4.01385817|64.74666684|48.98899535|-0.034993718|66.2289548|-1.2947675790000002|-13.97756285|-17.15403411|32.52766981|0.466560112|1812.788134|441.2142447|-634.6992622|664.9830294|0.117007826|6.06407675|11.36787272|0.874625469|3647.657976|57.35761558|19.42716439|0.0074597119999999|-375.4880089|718.8050825|327.9594923|3.656774794|1.0|1.0|0.0|1.0|1.0|2.7|2.64|0.12|-7.14|3.63|2.42|1.0|84.74|0.0|3.0|-4.26|3.0|-5.49|276.34|1.0|1.0|0.0152|6.3e-05|0.0174|3.51|7.26e-08|2.01e-05|-0.04445|3.9329|532.86|867.79|315.25|437.91|0.6622399999999999|0.64974|-876.209109|0.0155|-0.16458|1.3023|-876.258343|1.5686|93.0|7.0315
