molecula|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|BCUTs-1l|E solv. Water  (Hartree)|MATS2c|SIC2|RASA|PBF|FNSA4|FNSA2|GRAVp|WNSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|pIC50
1h_a5|-990.472129|0.1754|1.427564094|0.031392033|-0.259241577|0.8436458929999999|0.8806402259999999|0.39793593|-0.027798699|-1.111947978|2107.271793|-302.4687931|409.0289917|1.0|1.0|4.99|2.13|0.0|-4.25|3.0|-5.77|312.37|1.0|5.5700000000000005e-05|3.43|1.21e-06|-0.04124|7.5528
12i _a30|-2035.141693|0.1577|0.604984133|0.03436093|0.04580336|0.888213143|0.8434291340000001|0.356921662|-0.037414255|-1.833298476|2860.704198|-781.648379|652.8825454|1.0|1.0|4.47|3.31|2.0|-5.93|4.0|-5.75|432.93|0.0|1.19e-06|4.49|2.61e-05|-0.05465|7.8013
8_a10|-1257.59269|0.0916|1.3430438530000002|0.02243902|-0.075368755|0.864927472|0.874843982|0.597912185|-0.029917593|-1.465962037|2612.274447|-438.6216583|583.7217118|0.0|1.0|4.46|2.46|1.0|-4.52|5.0|-6.25|384.43|1.0|3.05e-05|3.37|9.59e-06|-0.0623299999999999|6279.0
16_a15|-1770.217907|0.1409|0.300207157|0.06079704|0.072882981|0.77948108|0.723597405|0.7427725270000001|-0.039472502|-2.131515106|3173.773379|-996.0668068|728.353441|1.0|0.0|3.37|1.72|2.0|-6.0|6.0|-6.27|446.52|0.0|9.89e-07|3.88|2.72e-07|-0.04082|7.6778
12j_a30|-1614.831741|0.1516|0.604984421|0.03201935|0.04148877|0.846470093|0.842199041|0.328405591|-0.036204884|-1.882653966|2784.7999170000003|-786.2626307999999|686.039456|1.0|1.0|4.35|3.04|2.0|-5.66|4.0|-5.81|412.51|0.0|2.21e-06|4.23|4.02e-05|-0.05106|8058.0
7f_a10|-1442.001311|0.0191|1.240141822|0.01616879|0.103083789|0.8499946070000001|0.931773786|0.7359022890000001|-0.03645808|-1.713529756|2803.359424|-531.6277179|527.8079877|1.0|1.0|5.07|2.64|2.0|-5.54|7.0|-5.47|410.39|0.0|2.9e-06|4.7|3.03e-06|-0.0613|6.8508
18a_a30|-1575.54671|0.3781|0.604987543|0.03180853|0.045071414|0.842671963|0.85918121|0.294303776|-0.036990859|-1.812552105|2721.874248|-702.4886239|620.9195447000001|1.0|1.0|3.84|2.82|2.0|-5.28|4.0|-5.98|398.48|0.0|5.23e-06|3.87|9.21e-05|-0.05605|7.6108
12h_a36|-1347.199963|0.0056|1.297043828|0.02925492|-0.128701804|0.87043328|0.819614525|0.3726296|-0.035734517|-1.929663894|2845.467486|-827.4010477|679.7230552999999|1.0|1.0|2.77|1.72|1.0|-3.95|5.0|-6.93|411.46|0.0|0.000113|2.65|8.340000000000001e-05|-0.05013|7.8539
9n_a24|-1238.856882|0.0334|1.388847168|0.03188309|-0.2452954769999999|0.804201677|0.904556598|0.331008994|-0.026905672|-1.399094961|2542.730334|-639.0250449|631.9206508|1.0|1.0|4.41|1.42|1.0|-4.14|5.0|-6.47|385.46|1.0|7.2e-05|3.07|8.909999999999999e-07|-0.03818|7.7212
8k_a46|-1844.970617|0.1166|0.300205953|0.04718819|0.1436554669999999|0.8341090329999999|0.7381768390000001|0.400181795|-0.033099828|-1.985989657|3351.548891|-1022.446432|865.6610153999999|1.0|1.0|2.94|1.86|1.0|-5.74|6.0|-6.75|474.58|0.0|1.82e-06|3.45|1.03e-06|-0.0398699999999999|6.8327
18_a47|-1353.979194|0.0516|1.414391819|0.04031146|-0.141396999|0.851462739|0.777824025|0.454324931|-0.0303894239999999|-1.5194711930000002|2800.3745940000003|-596.2708299|628.5247532999999|1.0|1.0|5.53|2.63|2.0|-5.5|5.0|-5.87|410.45|0.0|3.13e-06|4.13|1.78e-08|-0.04964|8.6
11d_a31|-1598.4848980000002|0.2642|0.610136352|0.04390452|0.064475882|0.868115289|0.585212816|0.197166451|-0.040797245|-1.87667327|2532.447962|-703.3714074|505.4234462|1.0|1.0|5.43|1.26|1.0|-5.48|6.0|-6.4|385.44|0.0|3.33e-06|3.17|0.000225|-0.03404|7.5229
14b_a3|-1327.349444|0.2276|0.605016869|0.02844675|0.143500839|0.848135222|0.786476513|0.379746504|-0.036469822|-1.312913604|2160.565755|-313.9702941|358.3503513|0.0|1.0|4.28|1.04|0.0|-4.45|4.0|-6.42|319.38|0.0|3.54e-05|2.58|4.08e-05|-0.06676|6.4202
12c_a30|-2035.141497|0.1568|0.604984133|0.03433522|0.045997203|0.880943609|0.8439327120000001|0.39541773|-0.037411484|-1.833162702|2860.640481|-781.3839879|652.8825454|1.0|1.0|4.47|3.31|2.0|-5.93|4.0|-5.75|432.93|0.0|1.19e-06|4.49|2.61e-05|-0.0542299999999999|7.9914
16_a47|-1166.901251|0.0909|1.417579067|0.03384512|-0.134455235|0.87782381|0.691860453|0.421094692|-0.034261359|-1.301931629|2315.178558|-349.69668310000003|357.35851410000004|1.0|1.0|4.47|2.72|0.0|-4.34|5.0|-6.04|337.33|0.0|4.56e-05|3.27|2.3e-06|-0.05717|9.0
13g_a6|-1386.3020800000002|0.0105|1.424099171|0.03802398|-0.0961994219999999|0.832753533|0.871972049|0.2141642839999999|-0.0323525729999999|-1.747038966|2929.039254|-846.9662551000001|744.1359788|1.0|1.0|5.41|1.13|2.0|-5.56|5.0|-6.31|431.49|0.0|2.77e-06|3.7|1.15e-08|-0.07536|6.9245
22_a4|-934.12356|0.1293|1.399866564|0.030263407|-0.043165663|0.8404413829999999|0.8612031509999999|0.242642229|-0.036468635|-1.349339509|1950.173729|-311.62631919999995|338.71903330000004|1.0|1.0|3.19|2.09|0.0|-3.77|3.0|-5.91|289.33|1.0|0.000172|3.03|0.0016699999999999|-0.03046|7.3279
6_a4|-1108.338577|0.0772|1.271761557|0.02244097|-0.19701009|0.810030118|0.945545838|0.417868437|-0.024618083|-1.206286076|2342.371538|-374.340411|578.2065561000001|0.0|1.0|5.1|3.09|2.0|-4.91|3.0|-5.42|354.45|1.0|1.24e-05|4.28|3.67e-06|-0.04867|5.8861
15_a4|-958.147682|0.0969999999999999|1.399867493|0.018092091|-0.159419214|0.8347553529999999|0.867716376|0.2517542889999999|-0.030724393|-1.106078158|1973.978183|-254.3670787|324.5687005|1.0|1.0|4.09|3.05|0.0|-3.82|3.0|-5.6|291.32|1.0|0.000152|3.49|0.000235|-0.03539|6757.0
12aj_a36|-1271.9998859999998|0.0082|1.29704406|0.03225532|-0.056210607|0.8632656809999999|0.8269863129999999|0.251263868|-0.0368515929999999|-1.953134451|2710.647462|-802.4672307|662.0530478999999|1.0|1.0|3.24|2.24|1.0|-4.16|4.0|-6.55|395.46|1.0|6.929999999999999e-05|3.04|4.270000000000001e-05|-0.05275|7.7696
3q_a32|-1919.821707|0.2897|0.609420748|0.02381444|-0.017280695|0.901790225|0.84993799|0.34156046|-0.027989085|-1.371465184|2649.276311|-522.4852655000001|618.9134881|1.0|1.0|6.43|1.33|1.0|-5.91|4.0|-6.35|411.54|0.0|1.24e-06|3.47|2.01e-05|-0.04968|7.5528
14c_a23|-2089.293299|356.0|1.197962449|0.02236136|0.06596946|0.857184548|0.922935039|0.2273163289999999|-0.034046252|-1.600173862|2955.304496|-706.6878684999999|633.3278634|0.0|0.0|4.0|3.51|2.0|-6.13|4.0|-6.03|445.93|0.0|7.49e-07|4.21|4.55e-06|-0.0795299999999999|8.6253
4R4k_a46|-1053.202129|0.1008|1.134637098|0.0257622|-0.050636784|0.787615341|0.890625164|0.237621572|-0.030434186|-1.4608409080000002|2105.035168|-413.632783|519.5743695|1.0|1.0|4.26|2.84|1.0|-4.82|3.0|-5.46|333.43|1.0|1.5e-05|4.05|8.28e-05|-0.02045|7.0132
6_a27|-1043.678244|163.0|1.404458667|0.02494141|0.1718757239999999|0.849515128|0.785047616|0.344065059|-0.034625042|-1.35037664|2196.1151210000003|-330.96463430000006|373.9912084|0.0|0.0|3.48|2.42|0.0|-3.62|4.0|-6.55|317.34|1.0|0.000242|2.37|6.86e-05|-0.04793|9.0
5d_a40|-1276.751174|0.4493|0.6049133329999999|0.01667985|-0.071479892|0.877722972|0.754010052|0.049855551|-0.0377110779999999|-1.131332331|1974.583878|-238.2540642|243.4287716|1.0|0.0|4.08|2.25|0.0|-4.23|4.0|-5.94|287.31|1.0|5.9e-05|2.98|0.0137|-0.06796|7.7212
19c_a38|-1424.1880119999998|0.1417|1.297043851|0.03740877|-0.085545751|0.908721232|0.7591916240000001|0.396635872|-0.038224114|-1.949429829|2967.98627|-772.7394084|640.025745|1.0|1.0|3.17|1.76|1.0|-4.35|5.0|-7.13|426.45|0.0|4.46e-05|2.5|5.14e-05|-0.05691|8.0348
17a_a10|-1524.187115|0.0867|1.3438501040000002|0.03725238|-0.218519541|0.8044827790000001|0.8538249840000001|0.463842217|-0.023625536|-1.488408763|3154.628148|-743.9958084|911.2106544|0.0|1.0|3.31|1.29|1.0|-3.68|6.0|-7.43|468.55|1.0|0.00021|2.43|2.22e-05|-0.04641|7.3098
4f_a46|-1033.315821|0.1719|1.134637108|0.02238723|-0.2265364489999999|0.7796270059999999|0.934973206|0.296072934|-0.022035297|-1.079729539|2103.214727|-317.7588874|538.4165208|1.0|1.0|4.56|2.58|1.0|-4.38|3.0|-5.65|332.44|1.0|4.18e-05|3.77|2.04e-05|-0.02947|6.7375
6e_a40|-2830.986514|0.3625|0.604892975|0.03482243|0.128035402|0.8988141140000001|0.74620476|0.376602018|-0.04873174|-2.095464821|3075.060648|-904.9148811|587.7345677999999|1.0|0.0|5.02|2.12|2.0|-7.76|5.0|-6.09|476.98|0.0|1.74e-08|4.4|0.0112|-0.09682|7.7447
12k_a30|-1690.031103|0.1512|0.604984231|0.03357755|-0.001755273|0.883029843|0.815083558|0.340031035|-0.035199567|-1.865577056|2920.279667|-818.7944715|704.0353382000001|1.0|1.0|3.89|2.51|2.0|-5.44|5.0|-6.19|428.51|0.0|3.59e-06|3.84|7.87e-05|-0.05055|7.6144
33_a47|-1122.992964|0.2566|1.409403453|0.02924367|-0.229935275|0.8913954909999999|0.8197001309999999|0.404334141|-0.0272154529999999|-1.088618103|2311.28828|-311.85503880000005|388.178924|0.0|1.0|2.96|1.52|0.0|-3.26|5.0|-6.78|334.35|1.0|0.000546|2.19|2.79e-05|-0.05462|8.4
14l_a23|-1668.983787|0.4239|1.1979636809999998|0.01168219|0.060717916|0.836852328|0.921267667|0.215920645|-0.0328459689999999|-1.642298442|2879.181064|-714.7749208|666.0036144999999|0.0|1.0|3.88|3.24|2.0|-5.85|4.0|-6.1|425.51|0.0|1.43e-06|3.94|7.03e-06|-0.07191|8.1798
3_a20 (SB-525334)|-1086.329436|0.1171|1.183765089|0.02096048|-0.048050965|0.76423988|0.8756647679999999|0.246005838|-0.029269046|-1.375645142|2243.481559|-438.9205046|520.6749407|1.0|1.0|5.2|1.69|1.0|-4.85|4.0|-5.74|343.42|1.0|1.42e-05|3.74|1.4e-06|-0.0671399999999999|6.7905
8_a1 (SB-202620)|-1222.9606720000002|0.5339|1.4323973840000002|0.16177304|0.106916453|0.805476065|0.648967503|0.174628594|-0.041081545|-1.684343335|2431.842132|-542.1742393|433.2550452|1.0|1.0|4.86|2.78|2.0|-4.94|5.0|-5.94|359.35|0.0|1.14e-05|3.6|3.42e-06|-0.0736899999999999|6.3979
47u_a18|-1509.771642|0.5849|1.251177393|0.02892505|0.039883149|0.7960273840000001|0.741066474|0.33777918|-0.0344062|-2.029965788|2965.254516|-986.6355633|818.9389171|0.0|1.0|3.15|2.95|3.0|-5.69|4.0|-6.31|455.51|0.0|2.05e-06|3.9|2.89e-06|-0.06392|5.7055
16d_a32|-1877.185022|0.2915|0.609420775|0.02818209|0.170838661|0.916850163|0.7554930740000001|0.41654798|-0.036437402|-1.493933474|2588.214866|-508.962859|457.7130665|1.0|1.0|5.26|0.65|1.0|-5.65|5.0|-6.62|385.46|0.0|2.22e-06|2.86|9.84e-05|-0.05068|8.1135
12g_a36|-1350.571683|45.0|1.2678464|0.0255597|-0.063344124|0.847239339|0.854238488|0.374686587|-0.034549379|-2.038413337|2829.45056|-963.3107298|799.5563855|1.0|1.0|3.85|2.66|2.0|-4.95|4.0|-6.19|423.51|1.0|1.13e-05|3.8|1.7800000000000002e-05|-0.0505199999999999|7.8539
7_a4|-1089705.0|0.0697|1.343865525|0.02317758|-0.237954652|0.87010589|0.825830607|0.470973822|-0.026733161|-1.06932642|2286.169166|-270.9415659|407.1471338|1.0|1.0|4.42|2.82|0.0|-3.81|4.0|-6.03|330.36|1.0|0.000156|3.22|1.15e-05|-0.05217|6821.0
1o_a5|-1043.422345|0.0071|1.427566509|0.04126499|-0.266637757|0.85693939|0.88430372|0.447318682|-0.028770932|-1.093295425|2238.291862|-315.657463|393.5487205|1.0|1.0|4.48|1.23|0.0|-4.08|4.0|-6.3|323.35|0.0|8.329999999999999e-05|2.78|2.54e-06|-0.07037|7.4559
4k_a46|-1053.196897|0.1505|1.134637098|0.03653474|-0.050636784|0.787615341|0.8789113709999999|0.260665072|-0.0306644389999999|-1.471893066|2104.876032|-429.3190666|519.5743695|1.0|1.0|4.26|2.84|1.0|-4.82|3.0|-5.46|333.43|1.0|1.5e-05|4.05|8.28e-05|-0.01712|7.0969
3d_a12|-1006.556654|0.1583|1.28383852|0.02399772|0.092417272|0.82682708|0.8547246829999999|0.2443206489999999|-0.035063929|-1.437621096|2148.979792|-379.4799315|410.9162081|1.0|0.0|3.37|2.26|0.0|-3.52|4.0|-6.22|313.36|1.0|0.000302|2.81|9.64e-06|-0.06842|7.6021
14k_a23|-2089.293765|0.4694|1.1979621459999998|0.02271117|0.070940371|0.864845456|0.922397728|0.226547411|-0.033999976|-1.597998852|2955.4566170000003|-707.6658267999999|633.3278634|0.0|0.0|4.0|3.51|2.0|-6.13|4.0|-6.03|445.93|0.0|7.49e-07|4.21|4.55e-06|-0.07933|8.4123
19_a47|-1335.580357|0.3243|1.402889494|0.03178118|-0.038804671|0.8873627890000001|0.639642891|0.270767873|-0.037307124|-1.566899206|2612.978054|-480.9851737|428.5826478|0.0|1.0|2.49|1.67|1.0|-3.67|6.0|-7.22|380.35|0.0|0.000214|1.97|4.59e-05|-0.05326|7.3
15a_a50|-1199.572081|0.1767|1.3530592819999998|0.03314629|-0.113976703|0.8749408470000001|0.837789896|0.4349386739999999|-0.029316925|-1.436529349|2503.770258|-514.369916|569.5267957000001|0.0|1.0|3.23|1.87|1.0|-3.6|4.0|-6.78|371.44|1.0|0.000251|2.51|0.0003|-0.03255|7.3872
17_a3|-1731.6147670000005|0.4062|0.605019885|0.02878063|0.188373421|0.838125715|0.803075623|0.225087454|-0.039557272|-1.344947254|2196.728425|-348.2299886|353.7528308|1.0|1.0|4.96|2.37|1.0|-5.53|3.0|-5.61|338.81|0.0|2.96e-06|3.88|1.11e-05|-0.0720399999999999|7.6383
5_a47|-1569.20723|0.2108|1.304329328|0.03591467|0.019688132|0.861595935|0.807957755|0.526509524|-0.038537768|-1.502972943|2368.870941|-418.9977997|416.1194472|1.0|1.0|4.73|3.26|2.0|-5.65|4.0|-5.19|365.79|0.0|2.25e-06|4.7|7.590000000000001e-07|-0.05535|7.7
10_a3|-1288.050987|0.0463|0.605017375|0.04080931|0.190318474|0.8136572320000001|0.747406318|0.518341632|-0.0359752729999999|-1.187184014|2098.79955|-254.5987025|311.6695405|0.0|1.0|3.79|1.2|0.0|-4.3|4.0|-6.44|305.36|0.0|5.07e-05|2.43|9.35e-05|-0.06238|5.1
7c_a10|-1258.744382|0.0921|1.343178184|0.02659395|-0.152261681|0.84177174|0.906276489|0.487148112|-0.0223398779999999|-1.139333798|2616.8970870000003|-389.4200163|611.4957509|1.0|1.0|4.59|1.99|1.0|-4.44|5.0|-6.2|386.45|1.0|3.59e-05|3.46|6.4e-06|-0.04004|5.4191
21_a47|-1374.858663|0.2249|1.408713027|0.03299607|0.072733799|0.8856299320000001|0.70582155|0.3188717339999999|-0.033866638|-1.5239986980000002|2691.697803|-485.55711339999993|482.9384172|0.0|1.0|2.94|2.97|1.0|-4.44|6.0|-6.58|394.38|0.0|3.6e-05|3.0|7.8e-06|-0.06339|8.3
34_a20|-1352.041015|0.0766|1.416932073|0.03558836|0.0305860929999999|0.80310139|0.7966571459999999|0.408491116|-0.032248904|-1.709191893|2825.042137|-773.7338361000001|712.1606951|1.0|1.0|4.5|2.47|2.0|-5.14|4.0|-6.28|419.48|0.0|7.27e-06|3.63|2.780000000000001e-07|-0.05181|7.2147
3b_a12|-1410.826913|0.2418|1.283824445|0.02444371|0.156777705|0.82914101|0.903204699|0.073824142|-0.034016616|-1.326648015|2186.64676|-360.6028438|406.0361621|1.0|0.0|4.05|3.99|1.0|-4.26|3.0|-5.65|332.79|1.0|5.539999999999999e-05|3.78|2.63e-06|-0.07091|7.3098
1a_a18 (SB-431542)|-1292.358966|0.3347|1.430935835|0.03494548|0.043282217|0.805877431|0.5940412860000001|0.210046675|-0.0462988229999999|-2.083447046|2678.82389|-733.0587287000001|513.4628663999999|1.0|1.0|4.04|1.54|1.0|-4.52|5.0|-6.73|384.39|0.0|3.03e-05|2.7|7.81e-06|-0.05971|6.9031
16e_a32|-1955.766505|0.2858|0.609420752|0.02792775|0.180914799|0.91471624|0.7903051590000001|0.504569498|-0.037448344|-1.760072163|2710.157931|-726.1554308999999|573.3529948|1.0|1.0|6.03|1.12|3.0|-6.59|5.0|-6.15|413.52|0.0|2.58e-07|3.76|1.73e-05|-0.0505899999999999|8.1367
17b_a6|-1349.830814|0.0033|1.425925343|0.02458322|0.1012747369999999|0.8370824240000001|0.753949098|0.318652397|-0.041494349|-2.074717455|2816.0632920000003|-893.2853154999999|627.4287311|1.0|1.0|4.98|1.7|2.0|-5.81|5.0|-5.89|409.44|0.0|1.56e-06|4.09|4e-07|-0.05736|6.8153
4_a38 (LY-2157299)|-1198.442536|0.06|1.343847059|0.03652312|0.050460026|0.868207983|0.754313773|0.459041332|-0.03235283|-1.520583011|2501.945802|-496.5871888|542.7276591|0.0|1.0|3.69|1.84|1.0|-3.85|4.0|-6.86|369.42|0.0|0.0001409999999999|2.39|2.75e-05|-0.06|7.1586
12av_a36|-1440.67411|0.0027|1.297042752|0.04308001|0.049150854|0.8571025990000001|0.752447733|0.277834652|-0.035197712|-2.006269572|3011.024457|-973.4610746|757.7532208|0.0|1.0|2.38|1.49|1.0|-3.54|5.0|-7.66|438.48|0.0|0.000292|1.85|5.18e-05|-0.05307|7.4089
12b_a40|-3016.927883|306.0|0.604989475|0.01251873|0.084915315|0.7818091140000001|0.955647156|0.2160572999999999|-0.0338355829999999|-1.048903063|2462.878448|-340.29531769999994|370.3261123|0.0|1.0|6.58|5.07|2.0|-7.71|2.0|-4.09|415.12|0.0|1.95e-08|6.68|1.7e-06|-0.08279|7.3979
10_a4|-1183.54701|0.0176|1.343863662|0.02232068|-0.180140166|0.861225169|0.921653019|0.43000216|-0.027007048|-1.350352423|2480.063587|-452.3357957|594.7358385|1.0|1.0|4.93|2.53|2.0|-4.66|4.0|-5.83|370.45|1.0|2.21e-05|3.85|3.15e-06|-0.04689|7.0555
17_a20|-1291.692325|0.2977|1.4012598180000002|0.03030655|-0.064380628|0.812578598|0.912053544|0.3874475579999999|-0.0315649079999999|-1.5466805119999998|2761.976599|-665.1656349|637.7803874|0.0|1.0|5.8|1.45|2.0|-5.36|5.0|-6.09|402.45|0.0|4.4e-06|3.75|2.9e-08|-0.0706799999999999|5.6478
16b_a23|-1877.270284|0.3456|1.197960988|0.03978022|0.031073244|0.830577373|0.928579764|0.2256448969999999|-0.031407956|-1.821661419|3370.826124|-1000.346801|896.9989312000001|1.0|1.0|3.02|3.14|2.0|-6.19|4.0|-6.3|489.57|0.0|6.41e-07|4.21|2.26e-05|-0.07352|7.0191
12y_a36|-1310.077567|0.4358|1.29704385|0.03583863|-0.061103469|0.873588247|0.83704133|0.424572485|-0.036493654|-1.970657299|2793.629988|-890.6187094000001|698.847203|1.0|1.0|3.62|2.38|1.0|-4.58|4.0|-6.34|407.47|1.0|2.6e-05|3.45|3.94e-05|-0.05002|7.9208
12g_a30|-1742.965961|0.1613|0.6049842529999999|0.04012224|0.096186205|0.886776351|0.783662781|0.487608738|-0.040568357|-2.068986201|3058.2873170000003|-950.3862054|683.7405759|1.0|1.0|3.4|2.06|2.0|-6.0|6.0|-6.22|439.49|0.0|1.01e-06|3.89|0.000165|-0.0576|8.0334
14x_a23|-1828.168422|0.3057|1.197963189|0.02165405|0.0944818319999999|0.8668730109999999|0.7768288609999999|0.229141189|-0.034056109|-1.6006371069999998|3071.48868|-703.0042792|597.2903597999999|0.0|1.0|4.2|3.78|2.0|-5.68|6.0|-6.35|447.46|0.0|2.09e-06|3.78|5.23e-06|-0.08216|8.4949
12ax_a36|-2151.910753|0.4167|1.280791885|0.03044421|-0.0943348109999999|0.892249657|0.846837721|0.375647684|-0.038813619|-1.940680931|2926.929456|-868.2929481000001|661.6709012|1.0|1.0|3.99|2.99|2.0|-5.08|4.0|-6.26|450.32|1.0|8.27e-06|3.93|7.83e-06|-0.05596|7.9208
15_a3|-1328.531138|0.0173|0.619596467|0.0228507|0.079167398|0.866559772|0.7789088340000001|0.451058529|-0.037667|-1.50667999|2116.88728|-394.7441342|402.781061|1.0|1.0|2.21|0.96|0.0|-2.77|5.0|-7.35|321.4|0.0|0.0017|1.28|0.000535|-0.06319|7.6021
9r_a24|-1294.201456|0.0029|1.353642494|0.03426339|-0.134192489|0.841805128|0.8417158379999999|0.32720212|-0.025821921|-1.394383716|2644.462265|-626.7383196000001|670.2247423|1.0|1.0|4.23|1.02|2.0|-4.02|6.0|-6.83|400.48|0.0|9.58e-05|2.69|8.84e-07|-0.04313|7.9586
13d_a5 (GW788388)|-1390.294368|0.1549|1.236844097|0.04130059|-0.0959854909999999|0.834800344|0.774103723|0.54169129|-0.0291837579999999|-1.605106706|2834.036315|-702.1345259999999|723.0631751|0.0|1.0|4.56|1.37|1.0|-4.35|5.0|-6.94|425.48|0.0|4.429999999999999e-05|2.75|6.16e-07|-0.05542|7.7447
13c_a6|-1389.122252|0.28|1.424213869|0.0276450999999999|-0.046663393|0.8353837409999999|0.786809832|0.22875443|-0.039875482|-2.11340057|2880.850692|-979.308309|692.8471883999999|1.0|1.0|5.38|1.5|2.0|-5.95|5.0|-5.88|423.47|0.0|1.11e-06|4.23|1.68e-07|-0.05015|7.1367
19h_a38|-1331.941646|88.0|1.297044177|0.03396934|-0.088176988|0.8741648479999999|0.7746288020000001|0.3263113569999999|-0.03959525|-1.979762478|2774.611523|-687.1237247|595.8790650000001|1.0|1.0|3.13|2.4|1.0|-4.14|4.0|-6.77|401.44|0.0|7.209999999999999e-05|2.78|5.610000000000001e-05|-0.05708|8.0348
12i_a36|-1644.954647|0.1516|1.2401347459999998|0.03165678|0.043792895|0.87043328|0.830964232|0.332782117|-0.045665229|-2.46592234|3231.030388|-1023.755049|672.4630346|1.0|1.0|3.31|2.04|2.0|-5.2|8.0|-6.4|465.43|0.0|6.26e-06|3.86|3.37e-05|-0.05065|7.9208
18_a31|-1465.300904|0.2457|0.610137226|0.04825999|0.0690370959999999|0.904870098|0.72588713|0.258135789|-0.040279446|-1.81257508|2241.561812|-624.4871824|477.1857166|1.0|1.0|4.9|0.75|1.0|-4.62|4.0|-6.72|356.44|0.0|2.42e-05|2.47|0.000104|-0.03702|6.8861
3f_a32|-1711.863611|293.0|0.6094207770000001|0.02606687|0.0067550119999999|0.871865543|0.874026684|0.3217719189999999|-0.030139709|-1.265867765|2273.466801|-402.3773138|475.3634141|1.0|1.0|7.18|2.18|2.0|-6.89|3.0|-5.03|354.49|0.0|1.28e-07|4.83|1.73e-05|-0.05315|8.0458
3t_a32|-1864.472646|0.2906|0.609420752|0.03020622|0.028840888|0.870628579|0.828676243|0.217914628|-0.026967947|-1.267493496|2530.60497|-505.632194|582.0730423|1.0|1.0|7.65|1.74|2.0|-6.48|4.0|-5.81|396.53|0.0|3.28e-07|4.09|3.91e-06|-0.05507|8.0458
47s_a18|-1533.737579|0.5203|1.251176205|0.02195039|0.026229332|0.745196689|0.84543779|0.306379663|-0.030108416|-2.107589125|2992.734821|-1207.784866|1093.725912|1.0|1.0|4.06|3.33|3.0|-5.95|3.0|-5.96|482.62|1.0|1.12e-06|4.62|1.84e-07|-0.0491399999999999|6.2104
12w_a30|-2494.743475|0.1614|0.604983445|0.0345723|0.063514061|0.889479916|0.8522163970000001|0.4274948739999999|-0.037237182|-1.824621925|2999.810425|-857.9327732|685.6665849999999|1.0|1.0|5.11|3.79|2.0|-6.58|4.0|-5.52|467.37|0.0|2.64e-07|5.12|7.39e-06|-0.05682|7821.0
7e_a8|-1300.271093|0.1522|1.394799915|0.02845071|-0.150447714|0.790500031|0.8291560379999999|0.286669793|-0.037446454|-1.6850904519999998|2605.914474|-602.7501229|519.5762494|1.0|0.0|5.16|3.54|2.0|-5.75|4.0|-5.43|385.39|0.0|1.78e-06|4.54|1.95e-06|-0.0697|4.4547
13m_a6|-1423.448957|0.1924|1.429020166|0.04955777|0.031719435|0.832753533|0.715612461|0.429009107|-0.0378750189999999|-2.045251|2951.567781|-994.4232282|724.3873672999999|1.0|1.0|4.19|0.81|1.0|-4.64|5.0|-7.23|435.48|0.0|2.27e-05|2.43|9.35e-08|-0.07137|8.0
14ab_a23|-1708.277193|0.3893|1.197962873|0.02013145|0.065530542|0.8072028240000001|0.92422233|0.20155691|-0.031648261|-1.677357849|2941.47118|-786.7756682999999|733.3886349999999|0.0|1.0|4.4|3.45|2.0|-6.23|4.0|-5.92|439.54|0.0|5.9e-07|4.31|3.07e-06|-0.07146|8.4012
13f_a6|-1347.018087|0.0048|1.429020649|0.03437105|-0.088329567|0.834167942|0.863222493|0.176745407|-0.032802223|-1.672913351|2869.925064|-754.5608419|676.2770877|1.0|1.0|5.01|0.92|1.0|-5.11|5.0|-6.52|417.47|0.0|7.74e-06|3.27|2.75e-08|-0.07786|7.3768
8g_a8|-1450.728709|0.3904|1.39137364|0.04147516|-0.000475415|0.790058057|0.533935495|0.298992226|-0.052430233|-2.464220973|2889.141422|-925.1746152|551.1746801|0.0|1.0|4.11|3.01|2.0|-5.3|5.0|-6.34|417.39|0.0|5.01e-06|3.53|1.67e-05|-0.05849|5.3768
12b_a30|-1674.7778119999998|0.1525|0.604984682|0.03351603|0.047132642|0.880943609|0.764737577|0.383979687|-0.038448551|-1.883979001|2849.095245|-759.7264385|618.6004214|1.0|1.0|4.25|3.2|2.0|-5.39|5.0|-6.02|416.47|0.0|4.12e-06|3.97|5.260000000000001e-05|-0.05351|8.1543
4q_a46|-1108.511662|0.1432|1.131262631|0.02185677|-0.2520920439999999|0.848935944|0.913550004|0.258420996|-0.021010627|-1.050531344|2234.596293|-327.2939568|554.3688216|1.0|1.0|4.09|1.75|0.0|-3.41|4.0|-6.54|348.44|1.0|0.000389|2.65|3.97e-05|-0.03042|6129.0
18d_a30|-1674.785879|0.3788|0.6049874|0.03258724|0.041146136|0.870930234|0.803280262|0.346980269|-0.037906966|-1.85744132|2848.574353|-744.0011548|618.6004214|1.0|1.0|4.25|3.2|2.0|-5.39|5.0|-6.02|416.47|0.0|4.12e-06|3.97|5.260000000000001e-05|-0.05506|7.6737
