molecula|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|BCUTs-1l|E solv. Water  (Hartree)|MATS2c|SIC2|RASA|PBF|FNSA4|FNSA2|GRAVp|WNSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|pIC50
13a_a6|-1349.834826|0.2697|1.430639975|0.02818646|-0.042110772|0.8299950709999999|0.77450544|0.22670695|-0.040840697|-2.042034827|2820.31296|-873.2309916000002|627.4287311|1.0|1.0|4.98|1.29|2.0|-5.51|5.0|-6.1|409.44|0.0|3.11e-06|3.8|4e-07|-0.05018|7.3372
12be_a36|-1461.68274|0.0018|1.297042758|0.03245204|-0.148313814|0.858971809|0.798015877|0.330453338|-0.031937334|-1.852365352|3039.9167260000004|-891.645944|766.4854363|1.0|1.0|2.83|1.42|1.0|-4.11|6.0|-7.13|441.49|0.0|7.75e-05|2.62|7.11e-05|-0.0518799999999999|7.3565
47i_a18|-1415.875678|0.5085|1.251177255|0.02671774|0.053794607|0.7842882870000001|0.8030751740000001|0.279553995|-0.035256027|-2.150617629|2795.907966|-1043.251367|855.7438937000001|1.0|1.0|3.28|2.74|3.0|-5.18|3.0|-6.36|440.54|0.0|6.58e-06|3.7|4.6e-07|-0.05062|7.7212
9b_a36|-1575.557248|0.5392|0.62670079|0.02803905|-0.053019801|0.842671963|0.8453794609999999|0.2602997|-0.036110824|-1.769430355|2715.020034|-697.8234711|620.9195447000001|1.0|1.0|3.6|2.82|1.0|-4.6|4.0|-6.46|398.48|0.0|2.49e-05|3.2|9.21e-05|-0.05146|7.6778
14aa_a23|-1708.276011|0.4157|1.19796312|0.02033777|0.066582026|0.8072028240000001|0.924108042|0.204831806|-0.03159178|-1.6743643259999998|2941.302235|-776.5660584|733.3886349999999|0.0|1.0|4.4|3.45|2.0|-6.23|4.0|-5.92|439.54|0.0|5.9e-07|4.31|3.07e-06|-0.0708299999999999|8451.0
12ap_a36|-1324.95298|0.3982|1.2970441659999998|0.04039655|-0.06398791|0.893689741|0.830587483|0.27547717|-0.037473093|-1.91112774|2843.18721|-822.7409526|642.3830552000001|1.0|1.0|2.75|1.38|1.0|-3.99|5.0|-7.08|406.44|0.0|0.000101|2.4|8.97e-05|-0.06084|7.4949
3d_a32|-1672.585902|0.5031|0.609420786|0.02457348|0.0181036519999999|0.90169022|0.892845502|0.2214902789999999|-0.02867299|-1.118246623|2213.978384|-327.8100438|421.3548777|1.0|1.0|6.97|1.94|1.0|-6.55|3.0|-5.18|340.47|0.0|2.81e-07|4.5|1.75e-05|-0.05482|8.0915
1f_a5|-1288.209882|0.0228|1.218960329|0.03370206|-0.139907335|0.834250802|0.888073448|0.45528118|-0.035639589|-1.425583552|2482.949545|-443.4913802|403.396385|1.0|1.0|5.48|2.73|2.0|-4.79|6.0|-5.73|366.34|0.0|1.6100000000000002e-05|3.95|4.86e-07|-0.05346|6.6198
8j_a46|-1414.349865|0.1427|1.160371125|0.02408052|-0.13040237|0.837678812|0.934648421|0.308052557|-0.02566383|-1.103544698|2121.846387|-318.43516580000005|453.1959065|1.0|1.0|4.71|2.62|1.0|-4.59|3.0|-5.55|338.83|1.0|2.59e-05|3.97|1.85e-05|-0.04068|5.9108
9d_a31|-1657.1791449999998|0.2611|0.61013528|0.04331056|0.036844743|0.873955169|0.6943358040000001|0.3655337879999999|-0.033844766|-1.793772606|2654.377004|-833.8375571|647.1500428999999|1.0|1.0|6.04|1.31|2.0|-5.61|5.0|-6.36|412.51|0.0|2.48e-06|3.46|9.69e-06|-0.03457|6.2218
13b_a50|-1470.039226|0.1553|1.267593379|0.03156473|-0.067327798|0.828965118|0.906164013|0.435064196|-0.026928544|-1.696498291|3036.874979|-866.8024118999999|900.2031356000001|1.0|1.0|4.24|2.52|2.0|-5.02|5.0|-6.3|455.55|0.0|9.65e-06|3.91|2.68e-05|-0.02606|5.7375
17_a4|-1255.881628|0.2045|1.219995452|0.02636403|-0.188642713|0.8347553529999999|0.888791225|0.332034943|-0.042181562|-1.5185362180000002|2351.601697|-403.8037909|319.5521911|1.0|1.0|4.59|3.66|1.0|-4.36|6.0|-5.56|345.29|0.0|4.39e-05|4.01|9.44e-05|-0.04186|6057.0
19i_a38|-1431.181148|0.1886|1.297043925|0.03110827|-0.125335237|0.892249657|0.747158407|0.4748744179999999|-0.040770109|-2.038505453|2896.470706|-765.6305068|593.6088758|1.0|1.0|3.55|2.78|1.0|-4.25|5.0|-6.81|419.43|0.0|5.68e-05|2.88|3.19e-05|-0.0564799999999999|7.9031
6a_a31|-1613.1416|0.6404|0.610184884|0.04606915|0.038376178|0.848080284|0.57216168|0.259133072|-0.045153913|-1.896464366|2713.694431|-653.8540772999999|479.200937|1.0|1.0|4.68|1.13|1.0|-5.22|5.0|-6.69|390.42|0.0|6.09e-06|2.8|4.3200000000000007e-05|-0.05563|5.9586
6d_a40|-2470.62267|0.3518|0.604893491|0.03556489|0.12627602|0.8988141140000001|0.663670372|0.372705643|-0.050049893|-2.15214542|3063.227702|-881.3190339|555.2010623|1.0|0.0|4.8|2.01|2.0|-7.21|6.0|-6.36|460.52|0.0|6.18e-08|3.87|0.0226|-0.09462|8.9208
12aa_a36|-1401.389257|0.4446|1.297043479|0.04550032|0.033952382|0.888163057|0.688945241|0.4679233379999999|-0.04126187|-2.228140982|2928.7759760000004|-1041.942197|689.2886595|0.0|1.0|1.92|1.28|1.0|-3.52|5.0|-7.79|424.46|0.0|0.000304|1.55|0.000305|-0.05111|8.0458
8f_a8|-1361.455053|0.1659|1.394802091|0.03173623|0.024051247|0.751162751|0.5968139689999999|0.308621017|-0.048375351|-2.128515439|2622.044457|-723.7808349999999|485.8626377000001|0.0|0.0|4.69|4.11|2.0|-5.21|4.0|-5.98|391.37|0.0|6.11e-06|3.82|4.43e-06|-0.0675299999999999|4.6428
1b_a5|-1050.413506|87.0|1.4258024619999998|0.03246637|-0.250420203|0.827319059|0.808828623|0.341795323|-0.031306145|-1.158327367|2171.716467|-293.5407385|357.34245360000006|1.0|1.0|4.88|2.29|0.0|-3.97|4.0|-5.99|316.33|1.0|0.000106|3.16|1.58e-06|-0.04135|7.2291
7_a1|-1009.350293|0.2961|1.348826331|0.02860499|-0.055291895|0.862051935|0.710959153|0.289201649|-0.031040669|-1.179545431|2150.215999|-273.8080361|351.4191817|0.0|1.0|3.43|1.6|0.0|-3.16|4.0|-6.4|305.33|1.0|0.000696|2.48|0.000698|-0.02433|6.3372
21_a12|-1327.347724|0.1668|0.609915045|0.02758166|0.04375233|0.89838263|0.84827776|0.192026642|-0.036878492|-1.401382713|2185.835701|-354.8766794|380.2468615|1.0|0.0|4.01|1.82|0.0|-3.82|4.0|-6.45|319.38|0.0|0.00015|2.53|5.3200000000000006e-05|-0.0546899999999999|7.6576
16_a20|-1275.636924|0.1958|1.401259527|0.03385502|-0.014660441|0.809440795|0.915005572|0.382481746|-0.029561375|-1.47806874|2722.728332|-639.8099471|664.4562602999999|0.0|1.0|6.38|2.2|2.0|-6.06|4.0|-5.42|401.46|0.0|8.68e-07|4.69|1.22e-08|-0.05909|7585.0
