molecula|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|n6aHRing|MATS8s|RASA|FNSA3|PBF|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Gibbs Free Energy|IC50|pIC50|pIC50
21b_a23|1|0.0|0.0|2|7.525639975|0|0|1.197963051|0.094654108|5.4161004020000005|2|0.042455556|0.057405955|0.745297595|0.01055698|-0.103470358|10.31321725|-0.0490623259999999|2|2|0.107996329|-0.069382957|-0.130528352|2|0.131951284|0.930728719|-0.0596425779999999|0.224930782|41.6766724|0.0692712809999999|48.56114386|-0.034219814|-40.84133198|7.117014296|86.65837165|0.812334718|-1.745210489|-29.31080756|67.68046598|51.9633947|0.458461834|3074.083057|652.4673795|2531.041828|8.773746105|16.20152864|0.846591917|6919.229053|131.5587155|29.53101081|0.013439264|1506.081551|9.421307298|0.0|0.0|1.0|1.0|1.0|3.59|3.42|0.08|26.0|-7.84|128.81|2.6|2.0|129.97|0.0|-6.1|5.0|0.0|0.0|3.57|8.02e-07|0.000361|6.06e-06|0.00273|3.7|1.43e-08|6.45e-06|-0.08401|-1761.498874|735.65|342.15|0.2607|309.79|611.6|-1761.294175|85.0|7.0691|7.0691
16h_a32|1|3.340888605|0.0|0|7.765993078999999|0|0|0.609420754|0.217139852|5.733341277|0|0.039958333|-0.069213021|2.075726759|-0.0048042729999999|0.061727488|10.31100268|-0.022634676|3|3|-0.1234671109999999|-0.123297852|-0.219947482|0|-0.003188883|0.7991915079999999|-0.081151869|0.44308098|70.02855767|0.200808492|127.5843068|-0.038765425|-49.03221545|8.461051377999999|35.90298920000001|0.7359051059999999|-1.821974989|-32.75886858|90.15529448|64.87717961|0.459750275|2709.44587|507.7688359|3282.554439|6.710057805|12.42028916|0.850995852|6151.056721|167.7935207|33.46862873|0.020432929|1573.02555|12.98212548|1.0|0.0|1.0|1.0|2.0|3.61|3.45|0.26|19.0|-7.0|149.27|1.12|2.0|111.95|1.0|-6.48|5.0|1.0|0.0|3.74|3.28e-07|0.000136|1.7800000000000002e-05|0.0073599999999999|3.66|9.89e-08|4.09e-05|-0.05028|-1955.99895|679.82|342.67|0.2914|342.67|556.05|-1955.832545|9.0|8.0655|8.0655
5e_a40|0|0.0|0.0|1|8.149890544|0|1|0.604912776|-0.091305805|6.167516491000001|0|0.044526749|-0.106497535|0.7768055559999999|0.009890343|0.158430496|10.31198323|0.029272031|2|2|-0.184667138|0.005996234|0.010397494|0|-0.402340487|0.864422751|-0.076883794|0.0499188609999999|170.7311133|0.135577249|64.47400829|-0.035889706|-20.29110082|4.489363277|51.7148695|0.8223594679999999|-1.076691165|-17.38723451|48.81318333|46.00255248|0.47779156|1986.384601|411.0778166|512.5703164|6.533857846|12.51197289|0.914944155|4158.984115|84.47727896|20.75420252|0.012921086|622.6260756|6.144645946|1.0|0.0|1.0|0.0|0.0|3.03|2.73|0.21|14.0|-4.65|75.5|2.37|1.0|79.16|0.0|-4.78|3.0|0.0|1.0|3.33|1.66e-05|0.00505|5.56e-05|0.0169|3.51|2.23e-05|0.00678|-0.07231|-1637.197299|493.19|333.85|0.5262|333.85|390.33|-1637.162552|25.0|7.6021|7.6021
47o_a18|0|0.0|0.0|0|7.03438793|1|1|1.251177005|0.052875948|4.844187086|0|0.037484277|-0.006238734|0.0|-0.00046896|0.011121222|10.94702017|-0.038296569|0|0|-0.009467295|-0.103458566|-0.156998637|0|0.001673737|0.806872998|-0.077288013|0.261785105|77.37089184|0.193127002|140.2610102|-0.034545459|-46.6464782|4.585021184|82.54478365|0.872753077|-2.210909375|-40.76618466|70.23090572|62.44459815|0.493146875|2857.120021|586.0020642999999|1393.529823|9.808930716|19.35260972|0.972958142|6462.6049570000005|92.41474142|28.74706708|0.008265369|1839.812293|6.002832126|1.0|1.0|0.0|1.0|3.0|4.17|0.0|0.25|18.0|-9.37|85.29|2.94|3.0|139.63|0.0|-5.66|3.0|0.0|0.0|2.76|2.19e-06|0.000996|8.38e-06|0.00381|4.16|4.26e-10|1.93e-07|-0.0502|-1455.574672|783.22|385.04|0.5065|385.04|706.49|-1455.231246|47.0|7.3279|7.3279
33_a20|0|0.0|0.0|1|6.842683282|0|0|1.4175014119999998|-0.188733405|4.727387819|2|0.0388043479999999|0.148855442|2.0219022580000003|0.009265667|-0.061975089|10.93244905|-0.062750442|1|1|0.248715569|-0.036258691|-0.060582944|2|-0.0854333469999999|0.9493896|-0.058927252|0.399354817|8.680600701|0.0506104|33.13709773|-0.0265385579999999|-29.9394021|5.46110745|64.93395624|0.759356182|-1.326927921|-25.26187502|54.60811436|46.92331405|0.465855239|2737.8873550000003|621.611679|2274.654579|8.062843544|15.094865900000002|0.8721516570000001|5916.443448|157.56124519999997|22.88265911|0.013564844|1144.132956|8.881565237|1.0|0.0|1.0|1.0|0.0|3.39|3.59|0.08|27.0|-9.69|67.39|2.61|2.0|121.62|0.0|-5.6|4.0|0.0|0.0|4.28|2.48e-06|0.000997|2.98e-06|0.0012|4.47|2.04e-10|8.199999999999999e-08|-0.0582899999999999|-1275.852801|689.51|318.99|0.6157|227.79|563.98|-1275.662457|34.0|7.4685|7.4685
galu_a46|0|0.0|0.0|1|7.535296702|1|1|1.343828866|0.048375705|5.4161004020000005|2|0.039550827|-0.090581301|1.721297609|0.002865697|-0.094815394|10.92740177|-0.1121767259999999|1|1|-0.150645957|0.028964355|0.0481706809999999|2|0.044184467|0.7637964079999999|-0.0910072869999999|0.5235416979999999|261.2602893|0.236203592|132.199522|-0.03220981|-27.89483984|3.870487977|68.43088526|0.7832175929999999|-1.513861067|-28.50774993|57.65745491|57.85086047|0.468241745|2501.785113|427.4851161|1755.2047|6.445819025|12.12170938|0.880553787|5641.451892|121.3297832|23.01702105|0.013967104|1081.799989|7.817173532999999|0.0|1.0|1.0|1.0|1.0|3.27|2.75|0.18|21.0|-7.13|86.69|1.84|1.0|108.18|0.0|-3.85|4.0|0.0|0.0|2.84|0.0001409999999999|52.0|0.000102|0.0375|2.39|7.45e-08|2.75e-05|||||||||51.0|7.2924|7.2924
19k_a38|0|3.218103741|0.0|0|7.412764017000001|2|2|1.297042875|0.0100827|5.351858133|2|0.0445691609999999|0.098947776|0.0|-0.011156837|0.016990252|10.95446448|-0.0184136539999999|1|1|0.208892195|-0.060668296|-0.128079012|1|0.04833864|0.658700057|-0.112748779|0.389096157|157.4834779|0.341299943|216.567059|-0.044662847|-51.10918191|9.369654226|116.0039747|0.75964689|-2.411793744|-45.3966925|94.38036132|86.30929885|0.4769127179999999|3055.355167|417.968819|2929.493496|6.744851799999999|12.89431427|0.911726848|7091.215492|152.51267140000002|37.3070426|0.021802691|2014.5803|13.8345897|0.0|0.0|0.0|1.0|4.0|4.89|2.2|0.13|17.0|-6.41|124.32|1.65|1.0|133.79|0.0|-3.87|5.0|0.0|0.0|1.9|0.000134|0.0594|0.0002399999999999|107.0|1.65|3.94e-07|0.000175|-0.05534|-1500.8984380000002|677.64|350.45|0.2038|239.03|502.43|-1500.680373|11.0|7.9666|7.9666
14j_a23|1|0.0|0.0|2|7.423568444|0|0|1.197963927|0.074424082|5.351858133|2|0.046283951|0.037350515|0.722606603|0.007671236|-0.026319216|10.31321824|-0.055708465|2|2|0.087218599|-0.073945564|-0.17267308|2|0.143567854|0.8454521620000001|-0.062203032|0.226990358|40.38957571|0.154547838|100.2571987|-0.034989992|-34.60325668|8.620784882999999|83.17168000000001|0.7739671709999999|-1.644529644|-26.17681598|64.88069411|53.64097592|0.497137467|2943.385528|548.455847|2175.598042|7.83426417|15.57933561|0.988615047|6597.039681|146.63044480000002|29.32742551|0.017787992|1378.388999|11.53930239|0.0|0.0|1.0|1.0|1.0|3.39|3.41|0.05|26.0|-7.67|105.02|3.4|2.0|120.24|0.0|-5.58|5.0|0.0|0.0|3.77|2.66e-06|0.00114|7.73e-06|0.00332|3.68|2.14e-08|9.18e-06|-0.07581|-1729.15999|670.6|338.1|0.3886|338.1|528.18|-1728.988797|4.0|8.3883|8.3883
14r_a23|1|0.0|0.0|2|7.423568444|0|0|1.197963203|-0.009140243|5.351858133|2|0.045277778|0.014148395|0.7087588690000001|0.007671236|-0.079935667|10.31321824|-0.064006338|2|2|0.033038452|-0.073945564|-0.17267308|2|0.03753491|0.8662226190000001|-0.062618931|0.375360556|47.26552456|0.133777381|86.14846171|-0.03654528|-35.61466281|7.956082857|55.62948521|0.7882228370000001|-1.717628177|-25.96781003|66.31173073|52.67940305|0.4661909429999999|2945.137191|557.8203557999999|2306.754114|7.555307147000001|14.15357616|0.873329024|6744.848704999999|136.37788909999998|29.85706563|0.017092103|1403.282085|11.00678143|0.0|0.0|1.0|1.0|1.0|3.47|3.06|0.05|26.0|-7.67|105.02|3.4|2.0|120.24|0.0|-5.58|5.0|0.0|0.0|3.7|2.66e-06|0.00114|7.73e-06|0.00332|3.68|2.14e-08|9.18e-06|-0.06842|-1729.1556449999998|678.08|389.92|0.2346|208.71|513.71|-1728.98403|5.0|8.2684|8.2684
9a_a36|0|3.4090209280000003|0.0|0|7.412764017000001|2|2|1.297044807|-0.109305298|5.351858133|2|0.040166667|0.095192109|0.0|0.0034852859999999|-0.078488872|10.96066876|-0.06502499|1|1|0.160672128|-0.12019672|-0.202876718|1|-0.019008343|0.826559623|-0.073689118|0.204819754|49.52042402|0.1734403769999999|106.0201967|-0.039929147|-40.61536816|8.847677483|0.0|0.7638345870000001|-1.956528182|-27.53468726|78.37175688|59.5185754|0.453098452|2682.572663|505.25728260000005|2167.77208|7.546661564|13.79893984|0.828482664|5693.562367|144.36259840000002|31.95428497|0.019513779|1565.759963|11.92833382|1.0|0.0|0.0|1.0|1.0|4.69|0.0|0.14|17.0|-6.28|66.4|2.02|1.0|120.94|0.0|-3.71|5.0|0.0|1.0|1.95|0.000197|0.0753|0.000102|0.0391|2.66|5.26e-07|0.0002009999999999|-0.05044|-1252.802159|648.41|320.56|0.4811|320.56|495.18|-1252.636005|13.0|7.8861|7.8861
