molecula|MATS1c|PNSA2|molecula|BIC2|Log S (Ali)|GeomDiameter|Oscillator Force (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|PNSA5|PPSA5|Log Po/w WLOGP|ATSC1c|WPSA3|Log S (SILICOS-IT)|Area (grid)|Total Energy (water) (Hartree)|AATSC1i|pIC50
3c_a12|-0.545592465|-653.3253118|3c_a12|0.826033688|-4.22|10.88288188|0.1193|-1327.351991|-0.22035|-50.25579322|10.90754815|2.25|-0.379362977|3.384177297|-6.78|544.65|-1327.498519|-0.211367878|7.699
19_a34|-0.469568766|-751.7118302|19_a34|0.8022000659999999|-2.73|10.31797048|0.2189|-1046.458335|-0.20251|-62.64265252|14.74262256|2.31|-0.5357267960000001|9.850795895|-5.03|538.96|-1046.606458|-0.401414514|6.0044
12ax_a36|-0.440372791|-1298.106146|12ax_a36|0.836170906|-5.08|14.78635841|0.4167|-2151.910753|-0.21324|-72.11700812|12.47158322|3.19|-0.414810497|8.558226304|-7.76|699.67|-2152.130959|-0.1716508239999999|7.9208
8a_a12|-0.5385001079999999|-771.1359521|8a_a12|0.763500863|-3.9|9.607296424|0.2486|-1045.851982|-0.2194199999999999|-48.195997|7.257889351|2.5|-0.362413703|2.773166902|-7.89|556.3|-1046.0428949999998|-0.226106307|6.7011
13e_a6|-0.462344944|-1122.537689|13e_a6|0.765593573|-5.11|14.346067199999998|0.0104|-1347.014564|-0.20804|-62.36320497|13.06309302|4.53|-0.378539035|8.211609879|-10.18|713.3|-1347.297639|-0.223618825|7.9208
2_a49|-0.320124905|-605.2008985|2_a49|0.79056501|-3.53|10.38394173|0.0572|-1045.810794|-0.19923|-40.34672657|8.91679918|3.7|-0.189189114|2.871166625|-6.82|553.52|-1046.018455|0.055400364|7.2291
2_a20 (SB-505124)|-0.520284161|-968.3950117|2_a20 (SB-505124)|0.725030162|-5.24|11.3574908|0.3267|-1089.147716|-0.18645|-64.55966745|6.311425784|4.47|-0.498602014|8.648749117000001|-7.22|593.8|-1089.371784|-0.229461916|6.7721
8d_a8|-0.4385133129999999|-1345.390391|8d_a8|0.757805416|-4.91|14.52777156|0.1879|-1447.2928029999998|-0.19757|-67.26951954|19.02113117|3.32|-0.633521883|11.92454747|-7.62|690.78|-1447.595474|0.025642021|4.7303
14c_a23|-0.4589840189999999|-1063.401832|14c_a23|0.793551289|-6.13|14.49533577|0.356|-2089.293299|-0.23096|-53.17009158|10.88903141|4.67|-0.296935034|8.321492112|-7.99|693.64|-2089.523959|-0.13187015|8.6253
3t_a32|-0.496165036|-800.5532571|3t_a32|0.822076702|-6.48|15.64252992|0.2906|-1864.472646|-0.20246|-61.58101978|10.85396804|5.42|-0.304466646|5.681818647999999|-8.01|677.16|-1864.708995|-0.122301673|8.0458
12ab_a30|-0.384942092|-1278.064418|12ab_a30|0.809127478|-5.61|15.6704374|0.1511|-1804.523449|-0.19672|-71.0035788|21.48976996|2.63|-0.520212725|15.64609074|-6.83|753.75|-1804.824495|-0.207153446|7.7825
9i_a40|-0.542471361|-668.7900768999999|9i_a40|0.762774506|-5.32|14.74203307|0.3362|-1273.167389|-0.17956|-44.58600513|5.226560183|4.02|-0.279092262|2.795536563|-6.03|534.44|-1273.334714|0.187399127|5.9031
12ba_a36|-0.410941182|-1314.6236720000002|12ba_a36|0.8256014690000001|-4.77|14.59456478|0.0009|-1417.187763|-0.21033|-73.03464847|16.03205543|1.63|-0.423472625|11.16896162|-6.72|687.23|-1417.454721|-0.168084618|7.6778
20_a47|-0.5332051720000001|-752.2184736|20_a47|0.7962508290000001|-4.06|13.10815891|0.2807|-1335.566785|-0.22734|-50.14789824|18.94506718|4.54|-0.505699304|7.00733184|-7.31|557.84|-1335.742176|-0.297094867|8.6
9b_a31|-0.554573699|-1125.659849|9b_a31|0.852813666|-4.76|15.2652837|0.2627|-1578.604164|-0.2013599999999999|-80.40427495|15.38435497|3.5|-0.706953442|13.00794571|-6.84|663.06|-1578.839267|-0.2345186269999999|7.2007
1i_a5|-0.403861432|-796.0581225|1i_a5|0.780175595|-4.79|13.79450888|0.0207|-1288.210207|-0.23674|-46.82694838|10.96226516|6.37|-0.279280326|2.575548983|-8.88|569.42|-1288.356212|0.004923698|7.6198
18_a20|-0.597167441|-1267.269673|18_a20|0.7602869659999999|-5.59|15.51556677|0.2011|-1352.073755|-0.20289|-63.36348363|8.954638548|4.69|-0.5039851160000001|4.787695004|-10.0|703.24|-1352.364724|0.003282792|7.4685
12ag_a36|-0.445549431|-1227.884327|12ag_a36|0.835013502|-3.89|15.13240062|0.0191|-1331.9454449999998|-0.20713|-68.21579593|12.1906363|2.44|-0.436614203|8.009946323|-6.86|658.68|-1332.185403|-0.217394466|7.7696
19b_a38|-0.443325632|-1291.149559|19b_a38|0.8295290000000001|-4.25|13.74014387|0.1945|-1431.18309|-0.20445|-71.73053105|12.76697997|3.11|-0.467227005|8.643817972|-7.12|646.81|-1431.414099|-0.250781298|7.9172
15d_a10|-0.1945202089999999|-761.3695352999999|15d_a10|0.745184875|-3.78|16.02072769|0.0856|-1430.733658|-0.20918|-47.58559595|19.36460841|3.44|-0.184039927|10.36301002|-7.82|737.09|-1430.8144619999998|-0.280243276|7.1612
12e_a31|-0.543945776|-1519.288866|12e_a31|0.7761616020000001|-6.66|19.50674899|0.2627|-1809.581226|-0.19379|-79.96257188|15.15615632|5.4|-0.70267073|14.09603901|-9.31|781.61|-1809.899887|-0.142921555|6.7696
11d_a31|-0.574318121|-1148.911798|11d_a31|0.822077662|-5.48|15.21323794|0.2642|-1598.4848980000002|-0.19226|-82.06512842|16.75864338|4.03|-0.848545873|12.89967697|-6.23|650.64|-1598.7152199999998|-0.153894316|7.5229
13k_a6|-0.5627624379999999|-1765.8854210000002|13k_a6|0.7908110340000001|-5.49|14.58291125|0.0137|-1465.557346|-0.1944|-88.29427104|12.48372364|3.8|-0.8554679409999999|14.31458589|-8.89|731.25|-1465.862962|-0.073210645|7.3372
7l_a46|-0.1082221709999999|-424.8156159|7l_a46|0.7746144629999999|-3.18|9.825660656|0.2024|-915.446686|-0.2231699999999999|-30.34397256|7.878766604|3.59|-0.038903382|2.698568452|-6.29|517.29|-915.6081232|-0.143129469|5.7122
8g_a12|-0.532504083|-1037.59814|8g_a12|0.7475224290000001|-4.38|12.83559677|0.1601|-1154.121362|-0.21633|-57.6443411|4.352203029|2.07|-0.40429396|2.7111119089999995|-8.0|590.93|-1154.321531|0.122649613|5.43
4d_a46|-0.240143042|-621.6847867|4d_a46|0.764741337|-4.93|10.30138878|0.1313|-1453.635434|-0.22603|-38.85529917|4.753094337|5.11|-0.085744171|2.607946825|-7.41|588.18|-1453.840712|-0.1271933999999999|6.2865
12k_a30|-0.4186541|-1235.930491|12k_a30|0.830875659|-5.44|15.93977881|0.1512|-1690.031103|-0.19798|-65.04897323|14.9823028|2.63|-0.44562817|10.61148425|-6.74|710.82|-1690.302721|-0.154412059|7.6144
13a_a30|-0.5640209589999999|-1532.183327|13a_a30|0.8303425640000001|-5.01|15.1104742|0.1603|-1744.217986|-0.20503|-76.60916637|11.6174288|1.72|-0.627166322|8.456950359|-6.19|721.66|-1744.491614|0.006103754|7.8665
11_a33|-0.393892466|-509.4714637|11_a33|0.85401347|-5.48|9.837729137|0.5408|-1669.202327|-0.19938|-50.94714637|17.16740584|4.13|-0.32219686|7.95236684|-6.23|506.55|-1669.324638|-0.232296883|8.3188
12h_a36|-0.410826531|-1263.568727|12h_a36|0.820041835|-3.95|13.87400978|0.0056|-1347.199963|-0.1926|-70.19826261|17.66132225|1.89|-0.503153567|11.96512593|-6.69|697.29|-1347.481013|-0.239932418|7.8539
3n_a32|-0.435658951|-693.1839353999999|3n_a32|0.816774665|-5.96|11.72372261|0.2839|-1825.163542|-0.20256|-53.32184118|12.0969734|5.01|-0.295303659|6.246493173999999|-6.96|614.67|-1825.378576|-0.153506065|7.6778
12at_a36|-0.48127276|-1455.649997|12at_a36|0.8384626709999999|-4.18|17.44496351|0.2076|-1460.549244|-0.2131|-76.61315774|18.99059683|1.67|-0.653190113|14.1532755|-6.62|733.29|-1460.833958|-0.227404687|7.1079
12d_a31|-0.550805937|-1223.404968|12d_a31|0.8343242820000001|-5.61|15.46841054|0.2566|-1657.1792779999998|-0.19096|-81.56033123|18.23846616|4.09|-0.697102094|14.93891054|-7.63|730.86|-1657.471849|-0.214049412|6.2924
12aj_a36|-0.43462267|-1251.929069|12aj_a36|0.812278823|-4.16|15.35536375|0.0082|-1271.9998859999998|-0.20093|-65.89100364|10.69455126|2.19|-0.402433117|7.521007149|-6.97|682.84|-1272.27339|-0.1763783589999999|7.7696
12be_a36|-0.3825349939999999|-1285.166936|12be_a36|0.812921349|-4.11|16.14074295|0.0018|-1461.68274|-0.18969|-75.59805505|24.02799032|1.9|-0.580823835|16.25222352|-6.79|739.48|-1462.0007349999998|-0.289604649|7.3565
12t_a36|-0.436022708|-1340.3102789999998|12t_a36|0.829598864|-4.61|15.36435856|0.0155|-1311.287803|-0.2039|-67.01551397|10.30792105|2.45|-0.404180985|7.820109571000001|-7.36|713.6|-1311.585049|-0.169994208|8.0969
19g_a38|-0.438254637|-1228.994351|19g_a38|0.836170906|-4.25|11.62016299|0.0962|-1431.186566|-0.20748|-72.29378538|14.48726605|3.11|-0.458841138|9.191644336|-7.12|638.82|-1431.419426|-0.250781298|7.3778
12al_a36|-0.404703593|-1254.533926|12al_a36|0.8344566859999999|-3.95|16.15533063|0.0095|-1347.196501|-0.1955599999999999|-69.69632923|17.07995636|1.89|-0.4908576189999999|11.65999569|-6.69|702.95|-1347.479819|-0.239932418|7.3188
9r_a24|-0.3018627239999999|-934.8335183|9r_a24|0.7958149290000001|-4.02|18.36822555|0.0029|-1294.201456|-0.21074|-54.99020696|15.80243761|3.93|-0.264490176|6.992734796000001|-8.66|713.25|-1294.486221|-0.2920573039999999|7.9586
12as_a36|-0.4358775279999999|-1401.82114|12as_a36|0.817372883|-3.81|16.08155469|0.2402|-1385.322633|-0.21419|-73.78005999|11.75468972|2.09|-0.452697599|8.731418812000001|-6.89|712.04|-1385.601917|-0.166354116|7.2291
4c_a49|-0.412652341|-1056.328332|4c_a49|0.7796063109999999|-3.5|16.089682800000002|0.0821|-1332.336755|-0.22158|-55.59622798|11.182784300000002|3.19|-0.339843311|5.014223225|-7.97|705.55|-1332.647233|-0.001647802|6.5935
19_a15|-0.571686169|-1101.399091|19_a15|0.722297906|-5.12|10.26331993|0.4895|-1523.196562|-0.20742|-64.78818183|3.321475588|4.96|-0.4621216379999999|1.761006946|-7.14|601.23|-1523.404372|-0.045543362|7.1427
19c_a38|-0.434836855|-1227.35539|19c_a38|0.846765471|-4.35|13.36189552|0.1417|-1424.1880119999998|-0.21303|-68.18641054|14.55670345|2.42|-0.449745181|9.638658988|-6.92|652.09|-1424.42734|-0.20848518|8.0348
4q_a46|-0.125840557|-586.3723734|4q_a46|0.807871283|-3.41|11.78798551|0.1432|-1108.511662|-0.2207199999999999|-39.09149156|10.28758193|4.09|-0.066250447|4.520667361|-6.94|606.7333|-1108.751283|-0.187559576|6.129
11e_a5|-0.234433859|-1046.930776|11e_a5|0.775794895|-4.65|18.17739133|0.2125|-1316.239803|-0.20559|-52.34653881|11.21791539|4.29|-0.192538515|5.290414418|-8.95|717.76|-1316.547103|-0.147721258|7.3979
A7701_a51|-0.22798944|-505.3525041|A7701_a51|0.7451039290000001|-3.95|8.863149921||||-36.09660744|5.776909381|4.0|-0.0927335619999999|1.580362387|-7.58|||0.061434294|7.6021
14b_a23|-0.4557487779999999|-1068.885909|14b_a23|0.793551289|-5.58|14.26820636|0.3603|-1728.9300010000002|-0.2286699999999999|-53.44429544|11.53563485|4.58|-0.318684138|8.596171261|-7.67|673.05|-1729.161608|-0.17267308|8.3536
8j_a46|-0.229679821|-592.7962878|8j_a46|0.789844634|-4.59|9.817783823|0.1427|-1414.349865|-0.22599|-37.04976799|4.750680627|4.55|-0.081366324|2.5024620580000003|-7.26|576.48|-1414.53151|-0.133413527|5.9108
21_a47|-0.5406500129999999|-860.2257893999999|21_a47|0.826796636|-4.44|13.17102891|0.2249|-1374.858663|-0.2249699999999999|-53.76411184|16.33715751|4.93|-0.511216716|7.244985517000001|-7.7|583.37|-1375.061089|-0.277479519|8.3
18d_a25|-0.292727912|-1206.480411|18d_a25|0.780221059|-6.26|18.11893325|0.0389|-1806.514606|-0.2201|-57.45144813|10.70318668|5.98|-0.180590503|6.3217245360000005|-10.23|792.79|-1806.848384|-0.061965108|6.6345
18c_a30|-0.562807327|-1506.682341|18c_a30|0.8303425640000001|-5.01|13.8741593|0.3879|-1744.2261030000002|-198.0|-75.33411705|12.43138832|1.72|-0.625122815|8.826997739|-6.19|711.56|-1744.500825|0.006103754|7.9208
12g_a31|-0.57758443|-1127.391291|12g_a31|0.819234772|-4.92|15.28679013|265.0|-1578.605452|-0.19241|-80.52794936|15.44590447|3.44|-0.7501734859999999|11.67699967|-6.45|664.44|-1578.846191|-0.081426376|6.9586
15a_a50|-0.325638639|-859.5972780999999|15a_a50|0.821868651|-3.6|14.65582885|0.1767|-1199.572081|-0.19948|-50.56454577|11.21812301|3.57|-0.234757789|6.450390922|-6.09|644.4|-1199.818129|-0.209259615|7.3872
13b_a6|-0.490758329|-1332.835801|13b_a6|0.7788169070000001|-5.51|15.37022155|0.2461|-1349.837661|-0.20156|-74.04643339|13.35319491|4.32|-0.6051312529999999|13.77653618|-9.01|694.33|-1350.0903970000002|-0.180339002|6.7595
9_a15|-0.344978312|-780.8954896|9_a15|0.7059441040000001|-5.25|10.00547485|0.0115|-1223.463757|-0.1824|-65.07462414|20.06953345|4.95|-0.506073953|10.09761131|-7.57|588.55|-1223.705126|-0.295062413|6.9706
9_a27|-0.541535578|-729.2805601|9_a27|0.8214321609999999|-4.06|9.442988795|134.0|-1082.965434|-0.2187|-45.58003501|7.488512291|3.04|-0.331842668|5.20756849|-7.06|549.64|-1083.143348|-0.171520296|8.699
12e_a30|-0.417089226|-1235.889416|12e_a30|0.8246767140000001|-5.44|15.14403079|151.0|-1690.030824|-0.19804|-65.04681137|15.05551106|2.63|-0.444243861|10.6725953|-6.74|709.98|-1690.3021629999998|-0.154412059|7.9431
16a_a10|-0.1948324069999999|-1119.0515779999998|16a_a10|0.772481675|-5.22|15.88633689|0.0841|-1394.797092|-0.20697|-53.28817038|10.24624348|5.19|-0.152205915|6.652715932|-8.5|760.0|-1395.158387|-0.254024476|7.3279
19a_a38|-0.4342819429999999|-1165.168741|19a_a38|0.819222745|-4.14|12.96056449|0.0721|-1331.94466|-0.20379|-64.73159672|12.47635608|2.55|-0.431265985|7.910363161|-6.86|628.65|-1332.186327|-0.217394466|8.0106
4_a38 (LY-2157299)|-0.463575124|-868.9660769|4_a38 (LY-2157299)|0.8099394329999999|-3.85|12.76426621|0.06|-1198.442536|-0.22|-51.11565158|7.880803302999999|3.51|-0.325515636|4.060137052|-7.13|617.61|-1198.683473|0.0481706809999999|7.1586
8b_a8|-0.5058761820000001|-1424.7250689999998|8b_a8|0.778853499|-4.77|14.53652808|0.1515|-1406.829227|-0.19921|-71.23625346|13.73949201|3.03|-0.733216119|12.1771918|-7.13|640.35|-1407.0843|0.079250224|5.2941
32_a47|-0.2749014|-995.3056298|32_a47|0.810444864|-4.81|15.53902041|0.2839|-1777.843462|-0.20778|-52.38450683|16.38361254|5.07|-0.2037028839999999|10.01980854|-8.82|692.49|-1778.127634|-0.157688306|7.0
9_a10|-0.362724972|-1196.145223|9_a10|0.791322552|-4.23|16.02210901|0.0041|-1409.69933|-0.21163|-59.80726117|11.26962754|3.68|-0.285441469|6.959437141|-7.93|740.24|-1410.041793|-0.239634564|6.7144
12bi_a36|-0.37220074|-1127.129336|12bi_a36|0.812921349|-4.11|15.71382803|0.0252|-1461.69263|-0.2018|-75.1419557|26.24794923|1.9|-0.559678363|16.87080604|-6.79|742.94|-1461.997992|-0.289604649|7.8539
9i_a24|-0.32068769|-396.0263368|9i_a24|0.822658951|-2.6|11.18382556|0.0029|-945.174716|-0.21943|-33.00219474|18.05612763|2.72|-0.190487553|5.613069697999999|-6.05|501.48|-945.286637|-0.336939175|7.0555
1b_a5|-0.231956531|-583.1091414|1b_a5|0.759794937|-3.97|11.64312636|87.0|-1050.413506|-0.23055|-38.87394276|9.680212283|4.76|-0.111923619|2.737713392|-8.3|536.59|-1050.538976|0.045204303|7.2291
3a_a12|-0.5274624179999999|-666.453375|3a_a12|0.7038021990000001|-3.6|11.01449587|128.0|-951.217594|-0.22157|-44.430225|7.784386645|2.49|-0.322200517|2.258466332|-7.5|528.84|-951.3711872|-0.1213636769999999|6.7122
26_a20|-0.446730587|-1172.219727|26_a20|0.7541508029999999|-5.14|14.40103379|0.0814|-1352.036122|-0.21226|-55.81998701|10.03954725|4.62|-0.3297182369999999|5.806030949|-9.18|715.27|-1352.315376|0.057022334|6.8827
22_a10|-0.356699217|-1062.931277|22_a10|0.747363443|-5.34|15.30289992|0.1922|-1543.893507|-0.2180699999999999|-50.61577509|20.51547079|5.6|-0.332316729|10.14325785|-9.37|770.92|-1544.237634|-0.208132084|5.9586
8b_a31|-0.510259793|-830.906565|8b_a31|0.843119174|-4.05|11.79588561|0.2643|-1386.681003|-0.19265|-69.24221375|12.97217579|2.74|-0.57242407|8.823644775|-5.73|566.18|-1386.852117|-0.092604362|5.6576
12_a4|-0.220286906|-753.6248824|12_a4|0.8157155359999999|-4.18|11.7599245|0.0464|-1617.57796|-0.2312199999999999|-44.33087544|9.260141177|4.98|-0.113938738|4.116653575|-7.84|640.67|-1617.861623|-0.085553511|5.032
4e_a49|-0.403194204|-916.2062675|4e_a49|0.803344301|-3.28|15.01788083|0.0789|-1312.924353|-0.2231199999999999|-53.89448633|14.48911428|2.83|-0.3631108529999999|6.449206277999999|-7.36|660.22|-1313.199448|-0.060391347|7.4685
13_a15|-0.357554652|-1237.326456|13_a15|0.729838386|-6.32|10.07307988|0.0003|-1450.399387|-0.15229|-61.86632281|10.55004024|6.69|-0.393632585|6.447664726|-8.9|674.36|-1450.756042|-0.272482143|8.2218
14a_a3|-0.582572884|-651.519384|14a_a3|0.7574238740000001|-4.45|10.24853699|0.4524|-1327.354384|-0.19946|-46.53709886|9.307045698|3.71|-0.363198151|3.396421044|-6.89|528.91|-1327.513792|-0.094863591|7.5229
47g_a18|-0.4138670829999999|-1958.412588|47g_a18|0.750610215|-6.11|20.32265524|0.5955|-1742.7686640000002|-0.17202|-72.53379954|13.79782369|3.6|-0.477030713|9.653129118|-9.22|905.71|-1743.375845|-0.3927204379999999|8.0458
7_a3|-0.592753801|-620.4671695000001|7_a3|0.790667152|-5.44|8.644978051|0.1262|-1731.602893|-0.21219|-47.72824381|7.422807617|4.66|-0.327648836|2.377557323|-7.48|522.73|-1731.7341420000002|0.036673175|5.9901
13_a1|-0.485427571|-1054.729126|13_a1|0.76714213|-4.29|14.33466671|0.3535|-1238.174491|-0.18883|-62.04288975|15.51600461|3.87|-0.597786194|11.41059871|-7.94|613.52|-1238.395767|-0.120034915|6.585
12ar_a36|-0.4194638229999999|-1272.979877|12ar_a36|0.8371588959999999|-3.92|16.68371115|0.2372|-1364.235126|-0.21291|-66.9989409|15.17578458|1.95|-0.40866901|10.30986449|-7.05|717.19|-1364.511244|-0.169341326|7.6021
14ad_a23|-0.376350719|-1165.7193140000002|14ad_a23|0.7830067820000001|-5.8|16.34071148|0.4106|-1858.668058|-0.20659|-61.35364811|23.84770234|4.03|-0.4663820279999999|17.28310144|-7.6|747.83|-1858.957788|-0.253318853|8.3595
7h_a8|-0.382578949|-969.8780597|7h_a8|0.7051689170000001|-5.68|13.42380338|0.3885|-1285.017252|-0.22875|-53.88211443|5.061650885|5.49|-0.23505152|3.86998135|-8.46|593.53|-1285.182226|0.141285105|4.9788
19l_a38|-0.4224000739999999|-1307.13389|19l_a38|0.839953955|-4.94|11.52660233|0.0233|-1409.309206|-0.2001|-65.35669452|13.69020024|3.09|-0.426895387|9.195687319|-7.28|660.04|-1409.5865199999998|-0.191751024|7.8633
12a_a40|-0.4764003679999999|-534.4045424999999|12a_a40|0.718281767|-6.41|14.43505064|0.3701|-2097.7296100000003|-0.2091|-38.17175304|5.487955617999999|5.43|-0.14667395|3.060902482|-7.21|530.55|-2097.826771|0.031326603|5.7501
14l_a23|-0.448622017|-1083.45454|14l_a23|0.778602826|-5.85|15.78926563|0.4239|-1668.983787|-0.2183|-51.59307331|9.953660282|4.33|-0.288615723|8.125310915|-7.78|694.65|-1669.2363289999998|-0.136106024|8.1798
9_a3|-0.614170287|-628.6166118|9_a3|0.6729843740000001|-5.53|8.532203772|0.1127|-1255.9558029999998|-0.19833|-39.28853824|4.220799781|4.62|-0.298197887|1.6312253680000002|-7.26|512.44|-1256.087705|0.141996379|4.96
12bh_a36|-0.43574839|-1325.625342|12bh_a36|0.78699829|-4.54|14.56834609|0.011|-1311.293683|-0.20168|-66.28126709|10.18741188|2.5|-0.401249012|7.807212275|-7.34|715.94|-1311.589612|-0.169994208|7.8539
13j_a6|-0.562698347|-1644.266245|13j_a6|0.783333463|-5.03|15.43329684|0.0259|-1426.272674|-0.19491|-86.54032868|13.31076198|3.54|-0.855284356|13.89184843|-8.5|712.52|-1426.5532050000002|-0.073507141|6.5817
15b_a50|-0.310946931|-738.1827030000001|15b_a50|0.8259784720000001|-3.18|13.22671714|0.1796|-1160.275856|-0.20071|-46.13641893|13.90004811|3.26|-0.22696498|6.564219549|-5.72|613.37|-1160.4989460000002|-0.2185722769999999|7.1024
24_a47|-0.540463145|-768.1729327|24_a47|0.812650394|-4.61|13.48797266|0.2618|-1695.93106|-0.2285|-51.21152885|18.06759887|4.64|-0.484848181|6.81713713|-7.63|578.94|-1696.105723|-0.2494728939999999|8.5
11c_a31|-0.572548808|-1069.186744|11c_a31|0.839810365|-5.11|13.95917988|0.2627|-1559.194237|-0.19526|-82.24513417|17.07472346|3.64|-0.847114804|11.74927853|-5.84|622.22|-1559.3980869999998|-0.16065803|6.8861
12ak_a36|-0.439326642|-1389.324141|12ak_a36|0.815627016|-4.95|13.86156772|0.0001|-1350.57563|-0.20204|-66.15829243|13.01738243|3.01|-0.407322296|10.36054668|-7.38|730.3|-1350.900117|-0.163978382|7.3372
1l_a5|-0.21108114|-688.9330988|1l_a5|0.7656671279999999|-5.04|14.03493287|187.0|-1069.047151|-0.21939|-38.27406105|7.374136537999999|5.32|-0.089997343|2.506287665|-8.83|609.85|-1069.261615|0.043915678|7.4949
7b_a8|-0.415894017|-1138.832108|7b_a8|0.7812177770000001|-5.25|14.76972982|139.0|-1330.392289|-0.20472|-59.93853201|13.76608164|3.8|-0.4829936279999999|11.89970852|-7.65|621.4|-1330.622441|-0.035044152|4.8687
12u_a36|-0.438988314|-1417.5607730000002|12u_a36|0.8101678720000001|-4.95|14.90088936|0.0176|-1350.575382|-0.20409|-67.50289394|10.55929252|3.01|-0.407105926|8.544435884|-7.38|739.12|-1350.8981130000002|-0.163978382|7.7959
14ae_a23|-0.363230717|-1060.556252|14ae_a23|0.7830067820000001|-5.8|15.59484379|0.3205|-1858.675325|-0.21659|-62.38566188|24.70935041|4.03|-0.4448081789999999|17.79858399|-7.6|751.57|-1858.967022|-0.253318853|8.6038
13g_a6|-0.46487852|-1216.422234|13g_a6|0.774238891|-5.56|14.34268783|0.0105|-1386.3020800000002|-0.20806|-64.02222283|12.48355309|4.79|-0.381325604|8.550546653|-10.57|739.55|-1386.611265|-0.215607882|6.9245
12k_a36|-0.4373676689999999|-1342.974009|12k_a36|0.811903388|-4.58|13.89698356|0.0908|-1310.072976|-0.20023|-67.14870046|11.0965905|2.42|-0.413145744|7.838185977999999|-7.01|697.92|-1310.3453949999998|-0.1619981409999999|7.8539
14p_a23|-0.4510651779999999|-1090.0480289999998|14p_a23|0.799506006|-5.68|16.84664803|0.3802|-1721.933314|-0.2382|-54.50240143|12.86362369|3.89|-0.310730878|10.06403753|-7.47|699.61|-1722.181612|-0.131709531|8.5302
2_a4|-0.3881618|-575.6333682|2_a4|0.802438682|-2.18|7.800989232999999|0.0008|-819.771754|-0.16226|-44.27948986|4.657326379|0.83|-0.269140683|1.123639184|-4.83|458.73|-819.9326497000001|0.228655117|7.5086
14b_a3|-0.575695827|-642.0403962|14b_a3|0.7809478329999999|-4.45|9.738358819|0.2276|-1327.349444|-0.19618|-49.38772279|8.483998032|3.71|-0.356087317|3.067822725|-6.89|524.27|-1327.514377|-0.094863591|6.4202
3i_a32|-0.537667101|-776.4518766|3i_a32|0.833699527|-6.27|10.09193014|0.4765|-1891.738614|-0.21278|-59.72706743|11.54903146|6.29|-0.4449120629999999|4.252042736|-6.96|530.5|-1891.833327|-0.212967423|8.2366
12a_a36|-0.432975237|-1158.650972|12a_a36|0.7934042040000001|-3.79|12.464492300000002|0.0012|-1232.707754|-0.20139|-64.36949846|11.72953701|1.88|-0.403468978|7.388485123|-6.59|653.94|-1232.951968|-0.183140926|7.8861
6_a27|-0.541168953|-668.5259238|6_a27|0.787663648|-3.62|9.500048379|163.0|-1043.678244|-218.0|-44.56839492|8.095338503999999|2.79|-0.330715016|5.03713293|-6.67|526.9|-1043.831559|-0.179319226|9.0
16a_a32|-0.707456102|-1040.921326|16a_a32|0.8567078770000001|-5.49|13.08168264|0.2859|-1896.589348|-0.20718|-74.35152328|14.6095244|3.79|-0.6911813920000001|8.003570876|-7.3|664.67|-1896.81177|-0.199563743|7.9586
19_a3|-0.270506095|-531.0158295|19_a3|0.758995484|-3.24|10.21110415|0.3006|-929.14689|-0.2206|-40.8473715|7.706796952|3.39|-0.129865138|2.523394126|-7.21|499.93|-929.2818523|-0.066245471|7.6383
12aw_a36|-0.4191703539999999|-1323.400377|12aw_a36|0.836170906|-3.99|14.32425315|0.3892|-1431.180191|-0.21201|-73.52224315|13.8551867|3.0|-0.4478724979999999|9.4658605|-7.12|666.09|-1431.404673|-0.250781298|8.0458
10_a4|-0.241683916|-781.5450965|10_a4|0.810105167|-4.66|11.20225306|0.0176|-1183.54701|-0.2025|-45.97324097|8.126406226|4.81|-0.159792527|4.884907049|-8.07|619.99|-1183.812875|-0.132895939|7.0555
25d_a34|-0.605891389|-1559.714654|25d_a34|0.7498681140000001|-4.61|13.29135354|0.2106|-1426.243341|-0.21234|-82.09024497|13.15041965|3.95|-0.8576484190000001|12.8082206|-8.08|706.21|-1426.496796|-0.342090037|6.0223
16c_a32|-0.697601261|-1002.268243|16c_a32|0.8607827790000001|-6.04|11.77670717|0.2955|-1916.478107|-0.20047|-71.59058881|15.38911619|4.21|-0.770338913|9.181311842|-6.99|639.66|-1916.6792|-0.229450999|8.3468
15_a4|-0.226703465|-530.4242358|15_a4|0.772721853|-3.82|9.709704127|0.0969999999999999|-958.147682|-0.2091199999999999|-35.36161572|4.672449937|4.4|-0.077474847|2.505098786|-6.09|512.65|-958.270023|-0.038707204|6.757
12s_a30|-0.446807335|-1275.175837|12s_a30|0.83236194|-5.49|15.14544373|0.1576|-1774.01033|-0.20495|-67.11451776|11.26623|3.74|-0.403952011|8.102485674|-7.16|677.35|-1774.236634|-0.145315868|8.129
21_a10|-0.4636733179999999|-1255.975247|21_a10|0.7620337359999999|-5.77|13.78215169|0.1489|-1485.216871|-0.2226|-59.80834512|15.99425187|5.6|-0.549176498|9.430154402|-8.71|716.1|-1485.499561|-0.03765494|5.3188
2_a33|-0.593915758|-953.6549298|2_a33|0.833090592|-6.35|11.60906093|0.2911|-1919.830424|-0.19979|-63.57699532|11.8727102|4.63|-0.476784502|6.889294995|-7.67|655.74|-1920.079174|-0.148024156|8.2596
