molecula|MATS1c|PNSA2|molecula|BIC2|Log S (Ali)|GeomDiameter|Oscillator Force (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|PNSA5|PPSA5|Log Po/w WLOGP|ATSC1c|WPSA3|Log S (SILICOS-IT)|Area (grid)|Total Energy (water) (Hartree)|AATSC1i|pIC50
3_a4|-0.133874898|-478.8760237|3_a4|0.773786787|-3.7|8.486341272999999|0.0871|-990.467184|-0.21969|-31.92506825|7.460728516|4.11|-0.0502208409999999|2.493716402|-7.19|535.44|-990.6395508|-0.08121207|6.983
11_a4|-0.145254541|-641.5941818|11_a4|0.820318166|-5.14|13.18281017|0.0403|-1467.20045|-0.2146699999999999|-37.74083422|6.89909579|5.22|-0.056016567|3.118219598|-8.05|630.04|-1467.463842|-0.046906237|6.9586
19d_a38|-0.529632789|-1525.275418|19d_a38|0.853092207|-3.87|13.52121974|0.0699|-1500.621723|-0.20145|-80.2776536|14.56661536|1.65|-0.6999264340000001|9.98319831|-6.41|679.08|-1500.898316|-0.128079012|7.9586
6b_a40|-0.630957955|-1428.503435|6b_a40|0.842573207|-8.41|12.51342818|0.4962|-3290.583786|-0.21904|-79.36130196|7.929311055|4.38|-0.698480566|6.544506614|-5.21|687.2|-3290.775349|-0.033583055|7.5229
25_a12|-0.4288076329999999|-709.8947922|25_a12|0.638255008|-5.28|9.70173342|0.1897|-974.458128|-0.19655|-41.75851719|2.666764531|5.35|-0.180562493|1.3444869730000002|-8.78|560.14|-974.6569575|-0.0861945369999999|7.6576
14_a47|-0.33240126|-617.1571777|14_a47|0.777675668|-3.97|13.15643085|0.2452|-1127.610422|-0.22434|-47.47362906|14.15018248|4.88|-0.2306964|5.113919242|-7.79|519.55|-1127.737484|-0.061837113|8.1
16_a3|-0.614173961|-692.4398741|16_a3|0.767641592|-4.98|11.22152755|0.3866|-1371.250459|-0.2029|-49.45999101|7.107249553|4.57|-0.371147877|2.977102266|-7.16|520.28|-1371.388717|0.008045619|7.3768
4R4k_a46|-0.3860697829999999|-777.3362788|4R4k_a46|0.7477594870000001|-4.82|10.33328154|0.1008|-1053.202129|-0.19529|-45.72566346|3.857266463|4.77|-0.252970193|2.232103603|-6.61|565.94|-1053.439174|0.012963356|7.0132
12h_a30|-0.4708582289999999|-1197.668733|12h_a30|0.831176513|-5.39|15.1759206|155.0|-1674.777786|-0.2023599999999999|-63.03519645|10.10721793|3.18|-0.391119352|7.038974807000001|-6.9|672.54|-1675.011389|-0.120380857|8.065
4g_a46|-0.2455749539999999|-684.2477996|4g_a46|0.74106323|-5.38|10.60062169|0.1294|-1492.923098|-0.22587|-40.24987057|4.477396402|5.37|-0.088529411|2.638545451|-7.8|615.33|-1493.154666|-0.121452903|5.5615
