molecula|Brenk|MATS8s|Contribution (HOMO-LUMO transition)|nARing|DPSA4|FNSA3|FPSA3|Consensus Log P|AATSC1c|pIC50|RPSA|TPSA_x|Num. of Aromatic heavy atoms|pIC50
3a_a12|0.0|-0.021522321|0.66895|1|21.87893986|-0.07121814|0.009433302|2.98|-0.007671441|6.7122|0.128014506|62.63745781|18.0|6.7122
4g_a46|1.0|-0.200628401|0.6983199999999999|1|16.88825479|-0.056893316|0.00801562|4.39|-0.001702489|5.5615|0.053170267|30.50581108|17.0|5.5615
12r_a30|0.0|-0.007140234|0.68476|2|33.05530181|-0.090229387|0.019137908|3.21|-0.007553813|7.5317|0.27927255|180.5098625|17.0|7.5317
24_a20|0.0|0.070857143|0.44916|0|22.21722343|-0.061437722|0.012814211|3.63|-0.001547029|6.4976|0.047972705|30.27049276|27.0|6.4976
14u_a23|1.0|-0.001778422|0.6703100000000001|0|32.2221994|-0.055259924|0.0254134689999999|3.48|-0.007017844|8.2449|0.090245088|60.27663131|26.0|8.2449
12c_a31|0.0|0.066071056|0.7007399999999999|1|33.81868912|-0.104643824|0.030543026|3.32|-0.013026643|6.4202|0.334536497|212.313715|16.0|6.4202
18_a34|0.0|0.0468829359999999|0.60488|1|33.52510165|-0.090328365|0.040845819|2.89|-0.014733513|5.6144|0.31018528|171.24705480000003|17.0|5.6144
12ak_a36|0.0|0.051506104|0.7034699999999999|2|31.93194362|-0.069176342|0.019931266|2.66|-0.006465433|7.3372|0.151294857|109.0807368|17.0|7.3372
14v_a23|1.0|0.132882353|0.6017100000000001|0|35.81898321|-0.067342061|0.019811827|4.28|-0.014768546|8.4001|0.083394725|55.07999434|26.0|8.4001
47s_a18|1.0|0.0109557919999999|0.6926800000000001|1|27.77963709|-0.070258863|0.008446541|3.19|-0.0054038509999999|6.2104|0.15456221|117.0051929|18.0|6.2104
30_a47|0.0|-0.1340278869999999|0.6944899999999999|0|33.84108731|-0.108232368|0.022747897|2.61|-0.0092264759999999|7.9|0.32103267|192.6285289|21.0|7.9
14aa_a23|1.0|0.055269665|0.6805899999999999|0|27.00633206|-0.052155763|0.018016316|4.1|-0.005050361|8451.0|0.075891958|51.68445972|26.0|8451.0
8_a20 (IN-1130)|0.0|-0.1221465319999999|0.7007399999999999|0|31.628086|-0.09623672|0.0158089389999999|3.14|-0.009430196|7.4437|0.272572869|180.4986934|27.0|7.4437
5_a27|0.0|0.180356685|0.64548|0|21.59546513|-0.055979434|0.01695771|2.82|-0.0063562359999999|8.5229|0.146821224|77.37301579999999|21.0|8.5229
14y_a23|1.0|0.137426346|0.61338|0|30.28429949|-0.057809342|0.018804822|4.45|-0.005875443|8.4225|0.074747068|51.68445972|26.0|8.4225
6_a1|0.0|0.13761072|0.69818|1|19.95772445|-0.057199415|0.021009352|2.82|-0.005477033|5.2924|0.121740384|58.82435931|17.0|5.2924
IN1166_a11|0.0|0.102257199|0.6998300000000001|0|31.46783535|-0.073965061|0.0200246639999999|3.31|-0.006882528|7.9318|0.136726441|94.40543077|27.0|7.9318
7c_a10|0.0|-0.087063341|0.68708|1|24.81565867|-0.05074318|0.027436939|3.59|-0.00375251|5.4191|0.093723511|54.79389751|21.0|5.4191
11_a15|0.0|0.0234789439999999|0.70577|1|31.14961732|-0.064429158|0.018519054|4.62|-0.0064953419999999|6.1314|0.105461874|72.27026771|24.0|6.1314
10_a32|0.0|0.012125768|0.70228|0|34.62844557|-0.088310158|0.02575778|3.42|-0.016404762|8.1427|0.237716043|146.8439966|19.0|8.1427
5f_a40|2.0|-0.465573352|0.69727|1|23.33651|-0.113521559|0.020236763|2.23|-0.008387329|6.9508|0.258528569|119.4441339|14.0|6.9508
5_a15|0.0|0.092692253|0.70244|0|39.89581513|-0.06128567|0.032616864|4.29|-0.008878343|7.8861|0.125945852|93.65193084|24.0|7.8861
12f_a40|0.0|-0.160218113|0.7029|0|24.83590915|-0.067004323|0.021549915|4.76|-0.006206277|6.4202|0.090006088|49.72883796|20.0|6.4202
12bh_a36|0.0|-0.211972014|0.7039|2|30.2209316|-0.070687668|0.017627098|2.42|-0.006687484|7.8539|0.166508047|110.81353529999998|17.0|7.8539
47n_a18|1.0|-0.09714337|0.6914600000000001|1|33.65821422|-0.079299822|0.0106152389999999|2.76|-0.007614955|7.1938|0.207570604|171.2889916|18.0|7.1938
8c_a32|0.0|-0.024032462|0.70135|0|27.72624296|-0.076876481|0.016240436|3.56|-0.0093793719999999|7.4318|0.198252488|119.85432240000002|19.0|7.4318
12g_a30|1.0|-0.0430471959999999|0.68366|2|35.50940589|-0.086195758|0.027436565|2.36|-0.010447128|8.0334|0.216337219|146.623137|17.0|8.0334
12_a15|0.0|0.049877871|0.70444|0|27.36785616|-0.061084417|0.015018226|4.7|-0.006620824|8.3979|0.10362709|66.16793071|24.0|8.3979
12w_a36|0.0|-0.098657593|0.69466|2|41.94801097|-0.086826396|0.021104445|2.65|-0.015825416|7.6383|0.171636756|123.23411609999998|17.0|7.6383
25d_a34|0.0|0.14554928|0.6764600000000001|1|37.86469665|-0.100582621|0.0292772039999999|3.21|-0.015046463|6.0223|0.325717647|215.4372954|23.0|6.0223
12i _a30|0.0|-0.029080032|0.68497|2|30.29912252|-0.076575246|0.015808432|3.11|-0.00691453|7.8013|0.156570866|102.235113|17.0|7.8013
47t_a18|1.0|0.005590928|0.6895100000000001|1|33.75918118|-0.119202068|0.014067024|2.15|-0.0128248239999999|6.1068|0.32796681|219.5070758|18.0|6.1068
17d_a50|0.0|-0.1921395789999999|0.66103|2|23.53577933|-0.044172353|0.0152123589999999|3.68|-0.002166617|7.1308|0.070113177|48.62532158|20.0|7.1308
14_a47|0.0|-0.085385518|0.68345|0|26.52746264|-0.093553938|0.020106089|3.16|-0.006070958|8.1|0.318401536|160.57883|21.0|8.1
15_a31|0.0|-0.0869591359999999|0.5241899999999999|1|34.45943505|-0.116196194|0.038524836|2.27|-0.018913735|5.9586|0.4328912239999999|230.1075793|16.0|5.9586
19_a20|0.0|-0.143992458|0.6987399999999999|0|31.64490997|-0.091725453|0.013643765|3.16|-0.0096278259999999|5585.0|0.245547466|161.33709|27.0|5585.0
9n_a24|0.0|0.048359202|0.63085|0|27.88350328|-0.052106597|0.017608478|3.13|-0.003323852|7.7212|0.095443402|64.50319929|23.0|7.7212
17_a47|0.0|-0.034891905|0.6844100000000001|0|24.43867122|-0.07185129|0.01291694|3.85|-0.003764469|8.3|0.147717593|90.10552332|27.0|8.3
6_a4|0.0|-0.169533683|0.5877|1|16.83786074|-0.052396457|0.0077624059999999|4.23|-0.001221193|5.8861|0.054454162|30.33467048|21.0|5.8861
47j_a18|2.0|-0.002262399|0.6983600000000001|1|34.43235841|-0.073041469|0.015967126|2.39|-0.007807275|7.4559|0.19348155|150.5035248|18.0|7.4559
15_a47|0.0|-0.131424138|0.68008|0|25.03780079|-0.084413593|0.016669157|3.74|-0.00516949|7.8|0.208246323|111.3994409|21.0|7.8
11_a47|0.0|-0.058523885|0.6915399999999999|0|26.96593732|-0.08164597|0.008462682|4.69|-0.007767503|7.4|0.203136607|124.4421556|28.0|7.4
8c_a12|0.0|-0.10899871|0.67318|1|25.52931025|-0.067004282|0.019604202|2.23|-0.0104125509999999|7.3979|0.159602554|81.4415307|18.0|7.3979
34_a47|0.0|0.046668352|0.69314|0|24.85087647|-0.061957581|0.019723558|3.02|-0.004157676|8.7|0.1739443389999999|96.32577107|21.0|8.7
37_a18|1.0|0.020848396|0.69305|2|27.36337253|-0.068500679|0.009098426|2.93|-0.005351023|7.4559|0.168216253|123.0060763|18.0|7.4559
12k_a30|0.0|0.001281277|0.6864899999999999|2|32.93073182|-0.079026221|0.024177669|2.57|-0.007818038|7.6144|0.184916442|122.5057244|17.0|7.6144
16b_a23|1.0|0.14319927|0.95419|1|31.49562341|-0.050637391|0.018614978|2.9|-0.005139233|7.0191|0.071420236|52.92522904|26.0|7.0191
18a_a22|1.0|-0.042139855|0.68577|0|27.95908297|-0.050645213|0.01713283|3.9|-0.003488994|7.8861|0.073464296|49.84469832|27.0|7.8861
14h_a23|1.0|0.143102066|0.69933|0|30.23434844|-0.063825076|0.021982565|3.23|-0.005921293|8.3468|0.076569426|51.620282|26.0|8.3468
22_a4|0.0|0.086940934|0.65771|1|20.75359108|-0.09491995|0.010702353|2.81|-0.006436201|7.3279|0.138796849|66.70156956|17.0|7.3279
8_a27|0.0|0.141900468|0.64893|0|22.74314225|-0.078709803|0.021852066|2.38|-0.008444078|8.2218|0.223615972|106.5457267|21.0|8.2218
12ab_a36|0.0|-0.0852411419999999|0.69294|2|33.96451406|-0.079202413|0.024102201|1.8|-0.007034881|7.9586|0.158944244|109.6369437|17.0|7.9586
4R4k_a46|0.0|-0.003017362|0.68404|1|18.68565706|-0.089699228|0.007883196|3.81|-0.0049602|7.0132|0.109374836|58.20005971|17.0|7.0132
14a_a3|0.0|0.164994144|0.69708|0|23.78539971|-0.091731577|0.0140376889999999|2.76|-0.009312773|7.5229|0.209105063|102.8554977|21.0|7.5229
27_a47|0.0|0.0436226579999999|0.69381|1|26.02898047|-0.0630454209999999|0.016506051|3.91|-0.003631596|5.6|0.153530114|98.27436776|21.0|5.6
7_a1|0.0|-0.048198584|0.69902|2|24.78585294|-0.083362936|0.035937867|2.72|-0.010040172|6.3372|0.289040847|139.2595474|17.0|6.3372
4_a27|0.0|-0.07759915|0.6089899999999999|0|21.34684457|-0.057748369|0.0201467639999999|2.8|-0.006181204|8.3979|0.1473956619999999|76.31512503|21.0|8.3979
12bb_a36|0.0|0.0534307559999999|688.0|2|34.69260487|-0.090660196|0.022069757|2.44|-0.008239316|8.0|0.311151789|199.7440352|17.0|8.0
47i_a18|1.0|-0.064085904|0.69175|1|28.52393145|-0.0780255879999999|0.009745543|2.5|-0.006882626|7.7212|0.196924826|137.1555392|18.0|7.7212
12i_a36|0.0|0.141564781|0.70134|2|38.2555363|-0.0850745409999999|0.01973953|2.65|-0.016027043|7.9208|0.169035768|108.9148111|17.0|7.9208
3o_a32|0.0|-0.074509084|0.70216|1|23.36733582|-0.073742105|0.012519666|3.74|-0.006253394|6.6198|0.162219176|93.52833522|19.0|6.6198
9h_a40|0.0|-0.160855189|0.69809|0|23.78085181|-0.09201708|0.012390387|4.06|-0.009041931|5.4001|0.135689851|67.89350333|20.0|5.4001
6f_a40|3.0|-0.032826285|0.69911|2|38.88975659|-0.134203859|0.015998475|2.61|-0.01691341|7.3768|0.344213487|221.1408856|14.0|7.3768
5a_a50|0.0|-0.132977171|0.6725399999999999|1|18.24602704|-0.038932964|0.010185297|3.47|-0.00148647|5.3872|0.030107124|16.06582337|20.0|5.3872
12bi_a36|0.0|0.0997949019999999|0.69207|2|38.89295091|-0.082914301|0.034602166|1.75|-0.00902707|7.8539|0.214998882|150.12481100000002|17.0|7.8539
14o_a23|1.0|0.000891427|0.58581|0|37.71512766|-0.072435569|0.018054548|4.31|-0.014680137|8.4815|0.0959220569999999|68.19627862|26.0|8.4815
3m_a32|0.0|-0.0067207069999999|0.7026600000000001|1|24.05057475|-0.084626325|0.013428623|4.12|-0.006290106|7.6383|0.201976727|120.7751424|19.0|7.6383
12k_a36|0.0|-0.09344781|0.70031|2|31.85663123|-0.075717305|0.018067063|2.37|-0.0071232019999999|7.8539|0.157229536|103.5614526|17.0|7.8539
9_a15|0.0|0.088615068|0.70552|0|31.09118831|-0.073701648|0.032464905|3.69|-0.009923019|6.9706|0.153843684|85.79894134|18.0|6.9706
7_a3|0.0|-0.224253635|0.69224|0|22.83370969|-0.1034274319999999|0.009708941|3.63|-0.008855374|5.9901|0.217705402|107.7330046|21.0|5.9901
7_a4|0.0|0.022270259|0.59702|1|18.74189807|-0.0650223009999999|0.01470626|3.56|-0.001729561|6821.0|0.174169393|87.67070691|21.0|6821.0
7a_a8|0.0|0.033708575|0.70367|1|34.12990316|-0.102174163|0.035405618|3.15|-0.010269971|4.6068|0.281589625|165.38046830000002|23.0|4.6068
5a_a49|0.0|0.001251171|0.66225|2|26.32248561|-0.072109357|0.028578361|2.93|-0.009147269|7.3665|0.199909945|116.9370825|21.0|7.3665
12b_a32|0.0|-0.0533240309999999|0.70258|0|28.50066715|-0.081450418|0.016282332|3.59|-0.009432679|7585.0|0.217407|135.83463989999998|19.0|7585.0
19_a34|0.0|0.08178394|0.6897300000000001|1|29.86894781|-0.112877411|0.039589023|2.1|-0.013066507|6.0044|0.360097548|179.6256831|17.0|6.0044
20a_a10|0.0|0.036092601|0.6864600000000001|1|24.84485067|-0.066386563|0.013618456|4.27|-0.0034618129999999|5.9208|0.086318664|56.1599532|27.0|5.9208
17b_a50|0.0|-0.1585336269999999|0.66195|1|23.22374317|-0.047785496|0.0128994089999999|3.87|-0.002181823|6.9136|0.068150817|47.42733742|20.0|6.9136
7_a47|0.0|-0.04402021|0.69314|0|25.02240371|-0.081264417|0.008915606|4.89|-0.008206422|7.6|0.152677268|86.09912617|22.0|7.6
13c_a6|0.0|0.085414885|0.7008800000000001|1|35.15921372|-0.093635525|0.030547186|3.64|-0.010619065|7.1367|0.213190168|145.12291069999998|23.0|7.1367
5b_a40|1.0|-0.400500595|0.59928|1|22.09185326|-0.077031845|0.019116586|3.83|-0.0049439079999999|7.1938|0.118735598|59.56617021|14.0|7.1938
8b_a50|0.0|-0.027207307|0.59283|1|21.65129387|-0.072629787|0.021513107|2.51|-0.0045301379999999|7.1675|0.154650918|74.08248511|20.0|7.1675
4_a18 (SD-208)|0.0|-0.058455902|0.69028|2|29.9246699|-0.077885485|0.0211761979999999|3.11|-0.012457606|7.0969|0.22090326|113.7529353|22.0|7.0969
17c_a50|0.0|-0.139943634|0.66213|2|26.25785813|-0.051905615|0.021675174|3.1|-0.002676029|7.1612|0.10280106|70.72462009999998|20.0|7.1612
6d_a40|2.0|-0.039077432|0.6624800000000001|2|37.23994308|-0.115007564|0.017359149|3.43|-0.015362927|8.9208|0.336329628|215.22657540000003|14.0|8.9208
16b_a32|0.0|0.056127969|0.70233|0|29.62431176|-0.088716278|0.015808858|3.26|-0.008469352|7.7696|0.253462496|162.40756509999997|19.0|7.7696
2_a4|0.0|0.11821091|0.6885600000000001|1|18.96532986|-0.117395215|0.006330673|1.24|-0.00708265|7.5086|0.257481153|108.4760726|12.0|7.5086
12z_a30|0.0|-0.02232319|0.6853199999999999|2|37.52507564|-0.071429418|0.030875938|2.52|-0.008819424|7.3615|0.167079923|116.2094523|17.0|7.3615
21_a4|0.0|0.090847781|0.66476|1|20.11362507|-0.0571545999999999|0.020173071|3.23|-0.003068098|6.9172|0.067853265|34.4171635|17.0|6.9172
12a_a32|0.0|-0.018578911|0.7025600000000001|0|28.81034388|-0.085324121|0.016535497|3.6|-0.009460484|7.6021|0.211297677|131.7691491|19.0|7.6021
7l_a46|0.0|-0.1237456669999999|0.68834|1|15.74158869|-0.0565894359999999|0.011594057|2.86|-0.00090473|5.7122|0.092851886|44.79605077|17.0|5.7122
3b_a12|0.0|-0.008328578|0.6654800000000001|1|23.06757345|-0.064393592|0.0103611969999999|3.59|-0.007916598|7.3098|0.096795301|50.46508298|18.0|7.3098
10_a1|0.0|-0.0369911079999999|0.70345|0|30.78628757|-0.116648443|0.014751098|3.7|-0.014135827|5.8239|0.330036242|186.6625065|23.0|5.8239
9_a47|0.0|0.046690958|0.69084|0|24.43189048|-0.084368438|0.009540986|4.09|-0.008501246|7.6|0.194850031|101.9336202|22.0|7.6
12b_a30|0.0|-0.009146339|0.68496|2|30.57626261|-0.08354129|0.017341789|2.92|-0.007353271|8.1543|0.235262423|149.39744040000002|17.0|8.1543
2_a20 (SB-505124)|0.0|0.082053195|0.69947|1|25.30541763|-0.083565835|0.02856542|3.81|-0.010175551|6.7721|0.230563934|126.8667205|17.0|6.7721
4i_a46|0.0|-0.0656636|0.69035|1|18.53900079|-0.058565229|0.015663081|4.16|-0.002360192|6.2132|0.0592195629999999|33.45060163|17.0|6.2132
14ab_a23|1.0|-0.085303124|0.66532|0|27.16741043|-0.051974369|0.017974612|4.12|-0.0050415|8.4012|0.07577767|51.89838547|26.0|8.4012
12n_a30|0.0|-0.015189554|0.6854|2|30.54968688|-0.083120674|0.017064818|2.92|-0.007311044|7983.0|0.221849786|140.0890685|17.0|7983.0
11_a3|0.0|0.132535663|0.6966600000000001|0|24.61956593|-0.0955396769999999|0.014376713|2.46|-0.01008647|7.3979|0.222196952|105.101718|21.0|7.3979
12aj_a36|0.0|0.091113865|0.70423|2|30.48195872|-0.073002742|0.018305468|2.14|-0.00706023|7.7696|0.173013687|110.89910559999998|17.0|7.7696
4b_a49|0.0|0.005818676|0.68242|1|29.27523192|-0.091725536|0.0241270029999999|2.8|-0.0074627159999999|7.1024|0.241850733|148.84640819999998|21.0|7.1024
47p_a18|1.0|0.030970815|0.6937800000000001|1|27.86610962|-0.06909945|0.007989903|2.9|-0.005394244|7.1938|0.1670454519999999|123.6411353|18.0|7.1938
12_a4|0.0|-0.036425699|0.68825|1|21.42753878|-0.070256284|0.01168879|3.3|-0.0021497879999999|5032.0|0.194761903|115.5823166|21.0|5032.0
21_a34|1.0|0.116926272|0.69292|2|38.30514214|-0.09533089|0.034163186|3.03|-0.012535886|5.4737|0.323609157|217.1470086|23.0|5.4737
3j_a32|0.0|-0.020129489|0.7028|1|21.85672669|-0.070289671|0.013773753|4.09|-0.006580847|8.0969|0.134898055|71.64373163|19.0|8.0969
6a_a40|2.0|-0.012261923|0.6782699999999999|2|35.37373259|-0.109047987|0.016399125|3.17|-0.014623575|7.3979|0.266249007|166.2999483|14.0|7.3979
6e_a31|0.0|-0.071378445|0.70391|1|37.31693873|-0.122985602|0.032627586|3.27|-0.016012184|6.4318|0.376659006|229.6732654|22.0|6.4318
20_a47|0.0|-0.069674604|0.68219|0|30.08893541|-0.083811055|0.023587109|3.09|-0.011237762|8.6|0.311171398|169.6050003|21.0|8.6
8j_a46|1.0|-0.223292257|0.70121|1|16.76894569|-0.054707287|0.008672342|3.82|-0.0017688329999999|5.9108|0.065351579|35.10521457|17.0|5.9108
19h_a38|0.0|-0.054149342|0.69012|2|30.94580137|-0.082211319|0.021234963|2.66|-0.007781653|8.0348|0.225371198|132.7728693|17.0|8.0348
3i_a32|0.0|-0.337053202|0.70322|0|30.52825775|-0.093279684|0.015296821|4.37|-0.012358668|8.2366|0.106172013|55.97682661|19.0|8.2366
6e_a40|2.0|-0.011405885|0.67187|2|36.93694043|-0.107312598|0.015875595|3.68|-0.0148450439999999|7.7447|0.25379524|166.7812216|14.0|7.7447
4p_a46|0.0|-0.078703563|0.70138|1|19.44852199|-0.0997229069999999|0.007398064|4.25|-0.004413243|6.4672|0.094033511|53.32991189|17.0|6.4672
8g_a8|0.0|0.121495775|0.69221|1|38.56355928|-0.136742629|0.031118325|3.5|-0.014340328|5.3768|0.466064505|285.5736014|23.0|5.3768
3a_a32|0.0|-0.045516432|0.70229|0|22.27382254|-0.080607266|0.0224684379999999|3.32|-0.007588088|8.5686|0.182929032|84.65041685|19.0|8.5686
12be_a36|0.0|0.132962547|0.70465|2|39.14335412|-0.0780531429999999|0.033763464|1.75|-0.009368126|7.3565|0.201984123|140.1361326|17.0|7.3565
1g_a5|0.0|0.030722968|0.66164|0|23.76563316|-0.070108797|0.020418692|3.09|-0.003919036|6.9393|0.134079034|71.90752413|23.0|6.9393
8h_a8|0.0|0.111824921|0.69844|0|31.2477685|-0.122706004|0.0111998669999999|4.01|-0.010324979|4.9359|0.397594866|233.7669182|23.0|4.9359
