molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aHRing|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|RPSA|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
12aa_a30|0.0|0|0.0|0|7.412764017000001|2|0.604983643|5.351858133|-0.028524865|2|0.043854875|-0.014017531|-0.539735362|0.003529389|-0.007369513|1|-0.207153446|1|0.8397577820000001|0.809127478|0.024991407|-0.012535889|0.855880335|0.794193541|-0.101368383|0.418522684|0.030906491|-54.50378741|0.1873486869999999|15.0745057|0.0|0.630759573|-1.925999268|91.51563481|-23.59814969|76.08850600000001|3115.249471|567.5458219999999|-1345.094532|2455.130164|-16.48066156|0.369240427|8.65813938|16.21199661|0.872457337|6944.511023|257.8730361|-939.3977091|37.41227352|792.3440337000001|20.72118575|0.0|1.0|1.0|1.0|3.94|2.63|100.11|2.0|0.0|140.26|0.0|7.0|-5.61|33.0|458.54|0.0|0.0|0.0|2.52|2.47e-06|0.00113|9.94e-06|0.0|1.47e-07|5.1925|3.34|-1804.818818|-1804.784381|0.1667|238.78|0.30341|0.68642|0.1506|-0.1472099999999999|-0.19687|0.03443621|8.1135|8.1135
8a_a32|0.0|1|0.0|0|7.773594467000001|0|0.609420757|5.733341277|-0.056633919|0|0.04008547|-0.0281981579999999|-0.497414715|-0.003484915|-0.128684642|3|-0.1534110109999999|0|0.788133615|0.845443342|-0.184419911|-0.2166242669999999|0.8966299409999999|0.7507116140000001|-0.109412858|0.221908108|0.018321589|-52.34893512|0.185446274|7.205629442999999|66.81560596|0.7490845290000001|-1.641192863|79.73671389|-22.37464674|63.83886888|2574.085885|510.8273411|-1029.23375|3312.822051|-14.03170956|0.250915471|7.420041446|14.26997798|0.923166883|5659.295213|157.3554684|-645.4586397|29.86932167|557.1050635|11.12113054|1.0|1.0|1.0|2.0|6.49|4.65|140.04|2.0|0.0|110.69|1.0|7.0|-6.82|27.0|397.52|1.0|0.0|1.0|4.07|1.5199999999999998e-07|6.03e-05|1.02e-05|0.0|2.23e-08|3562.0|4.98|-1880.767206|-1880.732222|0.4315|348.07|0.70316|0.70316|0.4315|-0.1445|-0.2061599999999999|0.03498398|7.3468|7.3468
8a_a8|0.0|1|0.0|1|7.535296702|1|1.400027874|5.4161004020000005|-0.1950388569999999|1|0.040243056|0.027531877|-0.732911106|-0.0075336219999999|-0.0298924089999999|1|0.089375589|1|0.76592324|0.762577159|0.089031731|-0.048064085|0.8220300859999999|0.7318727540000001|-0.118763303|0.22299265|0.034374791|-78.93428863|0.449170525|12.33026525|84.91322996|0.76420633|-2.256502762|86.57328508|-29.37948733|99.52191337|2802.374154|329.9007832|-1351.456417|1746.6927010000002|-17.59585557|0.23579367|7.533378788999999|14.52342059|0.927876056|6193.891189|141.2206861|-809.4093564|38.44444383|529.053307|15.44399996|0.0|1.0|0.0|2.0|3.13|2.72|112.23|1.0|0.0|109.21|0.0|4.0|-4.4|30.0|400.39|0.0|0.0|0.0|2.56|3.99e-05|16.0|7.28e-05|0.0|1.74e-07|4.6017|6.1|-1367.776863|-1367.744724|0.2035|269.43|0.4927399999999999|0.7036899999999999|0.1729|-0.13015|-0.19937|0.03213899|4.9454|4.9454
12an_a36|0.0|1|0.0|0|7.412764017000001|2|0.6294007110000001|5.351858133|-0.046532211|2|0.042739018|0.0966393909999999|-0.407702102|0.00285431|-0.031635802|1|-0.133106642|1|0.906423012|0.8344566859999999|-0.009636347|-0.055405405|0.885733922|0.855081905|-0.105145528|0.270501913|0.0173118669999999|-49.67568778|0.163559846|7.903608682000001|0.0|0.783512615|-1.997765039|81.70091433|-24.99720254|61.37296195|2881.978785|565.1654879|-1349.848937|2399.367452|-16.89009799|0.216487385|8.773001855|15.82907093|0.8042935809999999|6162.848939|146.2760938|-912.0652916|31.9040205|725.9470896|10.65623343|0.0|1.0|1.0|2.0|3.33|2.61|94.5|1.0|0.0|135.47|0.0|6.0|-4.85|31.0|427.52|0.0|0.0|0.0|2.33|1.4300000000000002e-05|0.0061|3.09e-05|0.0|8.95e-08|5.1771|3.37|-1670.452238|-1670.417726|0.6702|239.49|0.44822|0.69094|0.0644|-0.15474|-0.21035|0.0345115999999999|7.3979|7.3979
8b_a12|0.0|0|0.0|0|0.0|1|1.283836078|0.0|-0.1676879319999999|2|0.03977208|0.028584223|-0.618894925|-0.010117477|-0.1090955359999999|0|0.006468729|1|0.89481633|0.7407532059999999|-0.010950243|-0.183648492|0.792160599|0.856390139|-0.116554734|0.4384536329999999|0.011257065|-60.97837482|0.259073691|3.769098814|76.80174559999999|0.888936354|-2.097985204|72.85978933|-26.39069094|67.49212879999999|2388.888334|428.7273481000001|-1213.971783|1437.536303|-15.27062922|0.111063646|6.373278096|12.27845608|0.926552694|5217.318476|64.26553043|-702.4489440000001|29.68794201|510.3677388|5.416912474|1.0|1.0|1.0|2.0|3.11|1.9|80.37|1.0|0.0|110.58|0.0|4.0|-4.1|27.0|355.39|0.0|0.0|0.0|2.51|7.890000000000001e-05|28.0|9.74e-05|0.0|3.56e-08|4.2263|5.11|-1159.405202|-1159.365835|0.3179|293.37|0.53425|0.57773|127.0|-0.15294|-0.21184|0.03936706|6.58|6.58
18c_a22|0.0|0|0.0|1|6.842683282|0|1.194229067|4.727387819|0.013131848|2|0.038137255|-0.044828537|-0.213698903|0.005449965|0.006275578|1|-0.143402172|2|0.7290394929999999|0.7669483559999999|-0.032031791|0.010828071|0.8287956870000001|0.6922232890000001|-0.076388478|0.5003904610000001|0.019843706|-40.094865000000006|0.068926461|9.49723261|15.22791009|0.682690024|-1.52776956|67.73280290000001|-19.94201893|53.82294919|3090.601885|644.1264387|-1056.927003|2574.178324|-13.79609783|0.317309976|7.332936064|14.04085897|0.914766316|7101.057047|219.5183688|-731.1931848999999|29.21094233|779.8043336000001|14.88645273|1.0|1.0|1.0|1.0|5.36|4.98|124.4|1.0|1.0|136.36|0.0|6.0|-5.8|34.0|461.54|0.0|0.0|1.0|3.72|1.6e-06|0.000739|7.98e-06|0.0|3.4299999999999995e-10|5655.0|3.5|-1783.562578|-1783.5397829999995|0.2996|219.25|0.4609|0.60449|0.0817|-0.15158|-0.22365|0.02279458|7585.0|7585.0
14s_a23|0.0|0|0.0|2|7.423568444|0|1.197958333|5.351858133|-0.022580082|2|0.045277778|0.049317519|-0.298573309|0.010682694|-0.064006338|2|-0.13187015|2|0.722187957|0.7837821840000001|0.096014944|-0.1050445769999999|0.846632079|0.659570836|-0.080500435|0.2387634619999999|0.019970955|-35.30692476|0.07236376|8.218681552|82.55990607|0.7748161659999999|-1.610008704|62.75905983|-21.9751589|48.11843993|2954.0751370000003|595.0854952000001|-1032.832468|2316.634024|-14.09722664|0.2251838339999999|7.548546899|14.26730044|0.890072438|6938.271179|144.457092|-662.5696522999999|28.36177131|633.3278634|11.11743642|0.0|0.0|1.0|1.0|4.0|4.67|105.02|2.0|1.0|125.29|0.0|5.0|-6.13|31.0|445.93|0.0|0.0|0.0|4.01|7.49e-07|0.000334|2.83e-06|0.0|1.02e-08|3.6828|4.1|-2089.521231|-2089.500101|0.3669|336.66|0.60323|0.60323|0.3669|-0.1515|-0.22933|0.02112956|8.5482|8.5482
11_a33|0.0|1|0.0|0|7.686621335|0|0.609352951|5.6869753560000005|-0.039406316|0|0.034984568|0.055664124|-0.32219686|-0.003303432|-0.008908194|3|-0.232296883|0|0.8389087140000001|0.85401347|0.003391835|-0.014463304|0.921896958|0.781083337|-0.104881435|0.229250542|0.033701864|-34.4118011|0.142712759|7.95236684|0.0|0.552878386|-1.048814353|68.11455221|-14.98445481|50.78279943|2220.315582|416.4353629|-509.4714637|979.349175|-7.278840251|0.447121614|5.24049311|9.837729137|0.8772525659999999|4880.001461|217.193541|-247.4805685|27.10262364|335.4799765|17.16740584|1.0|1.0|1.0|1.0|5.77|4.13|120.17|0.0|0.0|89.77|0.0|3.0|-5.48|22.0|328.41|0.0|0.0|1.0|3.28|3.32e-06|0.00109|4.13e-05|0.0|5.92e-07|3.5049|1.93|-1669.324638|-1669.304085|0.5408|353.74|0.70381|0.70381|0.5408|-0.14132|-0.19938|0.02055276|8.3188|8.3188
9o_a24|0.0|1|0.0|0|6.605297921|1|1.294229152|4.59511985|-0.044044637|3|0.028472222|-0.087807028|-0.387865233|0.0012214139999999|-0.000236595|1|0.00294424|2|0.738419215|0.785672769|-0.0062180169999999|-0.000453155|0.846075714|0.7086274779999999|-0.08834189|0.6253256110000001|0.018492771|-51.29122728|0.229726192|6.1994599720000005|44.8382925|0.668046377|-1.678495905|66.24061038|-19.05574986|61.99847688|2892.333138|445.9858336|-971.8432428|1906.512273|-11.03321234|0.331953623|6.080741586|11.83284872|0.945954873|6697.297449000001|192.1999837|-562.6938294|28.52459128|663.2688909|15.09096602|0.0|1.0|1.0|2.0|3.75|4.36|92.79|1.0|0.0|120.73|0.0|6.0|-4.49|32.0|421.45|0.0|0.0|0.0|3.01|3.2500000000000004e-05|0.0137|3.9500000000000005e-05|0.0|1.24e-08|5.8802|4.41|-1388.147972|-1388.094657|0.1409|210.85|0.41688|0.65292|0.0288|-0.17826|-0.22353|0.0533144|6.3507|6.3507
21_a34|0.0|0|0.0|1|8.002694162000001|2|1.425532331|5.860786223|-0.091664226|1|0.036880342|-0.125881566|-0.7020096440000001|-0.001643445|-0.009996155|1|-0.407759867|1|0.702772307|0.740092842|0.116926272|-0.015568862|0.796991578|0.660871869|-0.117789944|0.527371706|0.034163186|-63.96857813|0.323609157|15.38241267|77.34839362|0.728260094|-2.120218984|95.12565978|-27.89610644|86.89263143|3115.110331|453.8692584|-1422.701428|2429.6035|-18.7187412|0.271739906|7.253455092999999|13.65523159|0.882583047|7048.305909000001|182.341897|-954.6558014|38.30514214|659.7484451|16.08669155|0.0|1.0|1.0|0.0|3.64|3.23|86.55|1.0|1.0|122.59|0.0|4.0|-4.5|33.0|438.43|0.0|0.0|0.0|3.03|3.14e-05|0.0138|1.94e-05|0.0|2.07e-08|4.3011|7.78|-1483.3359380000002|-1483.305698|0.2174|288.26|0.6893199999999999|0.69292|0.0002|-0.13338|-0.20872|0.03023936|5.4737|5.4737
