molecula|SRW09|nAHRing|Highest Occupied Molecular Orbital Energy|MATS2c|Gibbs Free Energy|SRW07|AATSC1s|n6aHRing|nFaHRing|WPSA3|GeomPetitjeanIndex|TASA|PPSA1|DPSA1|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Class [Log S (SILICOS-IT)]|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|pIC50
3d_a49|7.535296702|1|-0.21913|-0.0960135969999999|-1594.435881|5.4161004020000005|-0.3456333889999999|2|1|3.221917789|0.486368221|424.6551631|140.9844521|-297.31302830000004|0.0|0.72|1.0|0.0|0.00252|0.0142|5.1844|4.02|-1594.595995|-1594.552258|5.6308
11a_a50|7.927685046000001|1|-0.2005299999999999|-0.156121881|-1045.84627|5.82008293|-0.014702942|1|1|5.167341939|0.463749257|484.8529701000001|182.7270002|-163.21096210000002|2.8|3.09|2.0|0.0|0.0862|0.0228|4.0636|3.05|-1045.978598|-1045.954278|7.2291
47a_a18|7.03438793|1|-0.18291|0.018016478|-2098.359766|4.844187086|-0.18843247|0|0|9.49531639|0.483193636|638.5417107999999|169.2144153|-481.4854016|0.0|0.48|1.0|0.0|9.9e-05|0.00143|3.1947|8.82|-2098.807018|-2098.773074|9.0
16_a15|0.0|0|-0.20953|0.072882981|-1770.281427|0.0|-0.463771194|2|0|3.31414791|0.419910645|494.6488764|89.91997762|-503.7568532|2.93|3.37|1.0|1.0|0.000442|0.00274|4.1731|8.26|-1770.509465|-1770.448668|7.6778
19_a4|7.535296702|1|-0.22298|-0.121320311|-1446.813896|5.4161004020000005|-0.3929802189999999|1|0|3.946149569|0.460486754|451.8120313999999|129.4279389|-291.6208078|2.52|2.97|1.0|0.0|0.0547|0.0373|4.1858|6.67|-1446.939719|-1446.909868|4.71
12h_a40|7.515889085|0|-0.18432|0.104392974|-2153.123274|5.4161004020000005|-0.107711573|0|1|3.274152035|0.4958138139999999|443.8158546|82.46928995|-363.7398044|3.0|4.59|1.0|0.0|0.0002009999999999|0.000942|4.1508|4.14|-2153.207198|-2153.186757|6.0846
22_a47|6.86171134|0|-0.22828|0.048272293|-1374.914437|4.727387819|-0.150248628|2|1|7.713126784|0.4614909829999999|412.2379505|230.3045281|-129.440987|3.16|3.07|1.0|0.0|0.0142|0.0164|4.7954|4.4|-1375.05033|-1375.021925|9.0
12bi_a36|7.412764017000001|2|-0.2018|-0.088734077|-1461.75632|5.351858133|-0.043740597|1|0|16.87080604|0.461975362|548.1337538|349.3664649|0.474365004|0.0|2.83|1.0|0.0|0.0342|0.0315|3.8855|2.68|-1461.997992|-1461.966152|7.8539
5_a18 (BIBF0775)|7.03438793|2|-0.18092|0.0160123|-1571.914419|4.844187086|-0.015946718|0|0|4.846666751|0.483962172|636.6978809999999|138.97646310000002|-477.1120625|0.0|4.09|1.0|0.0|0.000425|0.000946|3.2027|8.45|-1572.313227|-1572.290174|7.4685
2_a3|6.823286122000001|0|-0.21028|0.176032668|-1272.04778|4.727387819|-0.09743592|2|1|2.628543258|0.458202525|352.0174726|127.637231|-213.9529255|2.22|4.34|1.0|0.0|0.0054|0.0162|5.4397|1.97|-1272.143337|-1272.114086|5.4
