molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|AATSC1c|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|WNSA5|RPCS|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
16a_a23|0.0|0|1|1|0.0|2|7.423568444|1|-0.0054940769999999|5.351858133|-0.013055633|0.062601621|0.759926978|-0.302174246|0.012426121|-0.088255625|-0.071458049|2|2|0.01226642|0.115499047|-0.335065967|-0.380779155|0.765869487|0.8323974470000001|0.154144584|-0.116894582|0.890165467|1|0.934837094|-0.041095401|0.181301571|0.021379172|-26.53751114|13.80568132|9.922436905|-30.39361398|91.92609822|65.21027197|-16.6118386|40.34319246|0.49525751|2924.629647|-847.2037686000001|1801.957216|0.981208279|6552.801739|267.3932664|28.35168303|0.02809646|1445.935835|18.14339594|1.0|1.0|0.0|1.0|0.14|20.0|108.26|1.0|0.0|2.0|-4.58|4.0|427.5|0.0|1.85|2.6e-05|0.0111|4.86e-05|2.66|0.0|0.0|5.38e-06|0.0023|-0.0502|1.6239|2.49|1.6239|670.04|1172.0|763.49|555.21|0.96307|-0.12645|0.03391189|-1685.6419010000002|18.4446|7.4037|7.4037
LY364947_a10|0.0|1|0|0|2.949609552|0|6.605297921|0|-0.00235945|4.59511985|-0.00390904|0.0938628109999999|2.084955541|-0.084940213|0.007575|0.010202602|-0.006198347|1|1|0.006909045|0.1625645369999999|0.072909639|-0.204644982|0.706034038|0.711607778|-0.072740964|-0.012096774|0.7792035190000001|1|0.8431045490000001|-0.076999385|0.449473391|0.009678082|-34.01613475|4.275500834|144.7228349|-14.69643595|0.0|41.53157099|-13.10520229|38.29163558|0.486715511|1896.845282|-432.4716757000001|839.5356408|0.948237326|3903.496845|122.1566022|18.1140017|0.018707677|597.7620559999999|8.264519015|1.0|1.0|1.0|1.0|0.0|21.0|54.46|0.0|0.0|1.0|-3.54|3.0|272.3|1.0|2.8|0.00029|0.0789|0.000137|2.74|0.0|0.0|6.31e-08|1.7199999999999998e-05||||||||||||||7.2291|7.2291
14d_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.005343003|5.351858133|-0.026530366|0.03253552|0.758207139|-0.288522152|0.01269616|-0.019307114|-0.054430189|2|2|0.01180744|0.059486662|-0.136106024|-0.4483522929999999|0.725800261|0.772008792|0.006563565|-0.088996384|0.829764975|1|0.921694462|-0.053736319|0.213597535|0.018596017|-35.40917327|12.25371621|39.26987634|-33.99063559|83.40396369|61.49227899|-21.66510006|47.66288948|0.454495683|2878.955374|-1083.255003|2261.37838|0.833166062|6459.554383|138.1496441|27.41215037|0.015037275|1370.607518|9.908707432|0.0|1.0|1.0|1.0|0.09|26.0|105.02|2.0|0.0|1.0|-5.85|4.0|425.51|0.0|3.8|1.43e-06|0.000608|5.61e-06|3.94|0.0|0.0|1.65e-08|7.03e-06|-0.0725799999999999|3688.0|3.79|8.1555|696.21|1186.17|3688.0|554.84|8.1555|-0.22152|0.02083626|-1669.045136|8.1555|8.4001|8.4001
11_a15|0.0|0|0|0|0.0|0|0.0|1|-0.0064953419999999|0.0|-0.029665252|-0.036023137|0.0|-0.402711212|0.001806571|-0.0856783419999999|0.023543401|0|0|0.003766915|-0.056500144|-0.272482143|-0.363940085|0.843715005|0.718800243|0.0234789439999999|0.0432314409999999|0.76664841|0|0.8945381259999999|-0.064429158|0.632319408|0.018519054|-44.15161868|12.69062406|143.8088883|-45.76619542|0.0|79.1792768|-23.02940065|56.84224275|0.470042906|3022.859488|-1335.705238|2565.707165|0.8869452090000001|7002.915718000001|178.640152|31.14961732|0.018086221|1806.677804|12.39401492|1.0|0.0|0.0|1.0|0.07|24.0|59.51|2.0|0.0|1.0|-6.32|4.0|448.52|0.0|4.62|4.77e-07|0.000214|7.970000000000001e-07|5.32|0.0|0.0|1.27e-09|5.7e-07|-0.03877|4.7106|5.04|2.9595|739.57|1284.85|418.94|568.22|0.70577|-0.16011|0.03503399|-1450.457814|1.3581|6.1314|6.1314
8a_a8|0.0|1|0|0|3.150966553|1|7.535296702|1|-0.014658222|5.4161004020000005|-0.1950388569999999|0.027531877|0.0|-0.732911106|-0.0075336219999999|0.010118884|-0.0298924089999999|1|1|-0.005306541|0.044579097|0.089375589|-0.5028388229999999|0.76592324|0.762577159|0.089031731|-0.048064085|0.8220300859999999|0|0.550829475|-0.131795179|0.22299265|0.034374791|-78.93428863|20.58762475|170.9592896|-42.60049244|84.91322996|86.57328508|-29.37948733|99.52191337|0.481294455|2802.374154|-1351.456417|1746.6927010000002|0.927876056|6193.891189|141.2206861|38.44444383|0.025786572|1768.444416|15.44399996|0.0|1.0|0.0|2.0|0.05|23.0|112.23|1.0|0.0|1.0|-4.4|5.0|400.39|0.0|2.56|3.99e-05|16.0|7.28e-05|2.4|0.0|0.0|1.74e-07|6.96e-05|-0.06922|4.6017|6.1|3.1039|620.68|1061.5|399.45|476.69|0.7036899999999999|-0.19937|0.03213899|-1367.595683|6.8427|4.9454|4.9454
14r_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.006323791|5.351858133|-0.06921746|0.014148395|0.7087588690000001|-0.322513347|0.007671236|-0.079935667|-0.064006338|2|2|0.0075222369999999|0.033038452|-0.17267308|-0.454010253|0.616699629|0.7837821840000001|0.03753491|-0.1050445769999999|0.846632079|1|0.8662226190000001|-0.062618931|0.375360556|0.019185345|-40.32463891|12.35476415|47.26552456|-35.61466281|55.62948521|66.31173073|-23.53402098|52.67940305|0.4661909429999999|2945.137191|-1106.098986|2306.754114|0.873329024|6744.848704999999|136.37788909999998|29.85706563|0.017092103|1403.282085|11.00678143|0.0|1.0|0.0|1.0|0.05|26.0|105.02|2.0|0.0|1.0|-5.58|5.0|429.47|0.0|3.7|2.66e-06|0.00114|7.73e-06|3.68|0.0|0.0|2.14e-08|9.18e-06|-0.06842|5.9406|3.72|3.1797|678.08|1145.51|389.92|513.71|0.68115|-0.22378|0.02296354|-1728.98403|8.8722|8.2684|8.2684
3_a4|0.0|0|0|0|0.0|1|7.535296702|1|-0.001141383|5.4161004020000005|0.03287721|-0.07806942|2.180369373|-0.0502208409999999|0.011825591|-0.010537082|0.050638298|1|1|0.011276682|-0.129930078|-0.08121207|-0.133874898|0.637819558|0.773786787|-0.0862461019999999|0.0904255319999999|0.8367373309999999|1|0.919804716|-0.052578183|0.462670692|0.010568144|-25.5405205|5.133610255|12.23442244|-15.5080075|40.30885999|39.38579676|-11.97190059|30.67413075|0.430553837|2159.04913|-478.8760237|1602.411021|0.7560922609999999|4677.30755|136.1652785|16.63485592|0.015358792|665.3942366|7.460728516|1.0|1.0|1.0|0.0|0.15|21.0|43.6|0.0|0.0|1.0|-3.7|3.0|312.37|1.0|3.31|0.000198|0.0617|5.520000000000001e-05|3.12|0.0|0.0|6.49e-08|2.03e-05|-0.04964|4.9088|2.66|4.0639|535.44|905.23|305.09|350.36|0.58615|-0.21969|0.024645265|-990.514888|3205.0|6983.0|6983.0
7g_a8|0.0|1|0|0|3.095238804|1|7.535296702|1|-0.01002363|5.4161004020000005|-0.067360394|-0.030968098|0.0|-0.481134236|-0.00087806|-0.027838247|-0.027717137|1|1|0.0002620309999999|-0.065174707|0.046246982|-0.418049442|0.627990269|0.7363841520000001|0.098510683|-0.044866536|0.79995525|0|0.699376143|-0.107714754|0.306360885|0.031841955|-64.55562181|19.08352484|144.290464|-40.31185423|56.75323443|78.41805331|-27.51653399|83.63914665|0.470618047|2802.2242920000003|-1210.7274960000002|2079.55195|0.8889952590000001|6293.364606|115.825531|34.10836993|0.018613449|1500.768277|11.15541466|1.0|1.0|0.0|1.0|0.04|23.0|80.04|2.0|0.0|1.0|-5.78|5.0|399.37|0.0|4.14|1.67e-06|0.000667|3.59e-06|4.38|0.0|0.0|1.23e-08|4.92e-06|-0.06621|3.7874|6.26|3.7874|620.67|1053.9|327.36|507.78|0.62073|-0.22129|0.03974865|-1374.3479960000002|12.9547|4.6772|4.6772
47u_a18|0.0|0|0|0|0.0|0|7.03438793|1|-0.010219187|4.844187086|-0.0872206669999999|0.008108241|0.0|-0.633589579|-0.000829573|0.031337464|-0.033209663|0|0|0.00082284|0.0121925089999999|-0.1904128389999999|-0.539738821|0.664796402|0.7517870059999999|-0.0112778039999999|-0.053126304|0.7960273840000001|0|0.741066474|-0.090364489|0.33777918|0.02068926|-62.99873374|14.42377665|86.37253771|-44.84707106|77.59162925|79.06741651|-23.98671253|77.42251040000001|0.483819806|2965.254516|-1415.216039|1415.590236|0.937307962|6837.350959|193.9244919|33.23007431|0.021142007|1960.574384|14.73941472|0.0|1.0|0.0|2.0|0.19|18.0|99.56|3.0|0.0|1.0|-5.69|4.0|455.51|0.0|2.6|2.05e-06|0.000932|1.04e-05|3.9|0.0|0.0|6.34e-09|2.89e-06|-0.06392|3.1186|9.34|3.1186|738.53|1282.66|397.57|646.45|0.69143|-0.19109|0.02892505|-1509.839543|5.8058|5.7055|5.7055
12v_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|-0.006974714|5.351858133|-0.029548782|-0.099831334|0.0|-0.369659818|0.002431329|0.020607357|-0.04950715|1|1|0.001805829|-0.173424818|-0.0857954809999999|-0.471153275|0.8149999040000001|0.83236194|-0.029852321|-0.080971844|0.889479916|0|0.8501212029999999|-0.077138874|0.404950755|0.015823709|-52.18846092|10.70556236|82.09302037|-44.46327619|0.0|75.73440678|-25.48342433|62.89402328|0.478535287|3001.758432|-1248.687792|2483.120571|0.917675298|6952.110426|131.2043645|31.6144427|0.014801518|1549.107692|10.01399667|1.0|1.0|0.0|1.0|0.14|17.0|81.65|2.0|0.0|1.0|-6.58|4.0|467.37|0.0|3.59|2.64e-07|0.000123|9.14e-07|5.12|0.0|0.0|1.58e-08|7.39e-06|-0.0563|3.5507|5.08|3.5507|715.58|1209.1|349.18|573.82|0.68405|-0.20681|0.03495552|-2494.802821|4105.0|7.6596|7.6596
12c_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|-0.006900253|5.351858133|-0.030422458|-0.0983590219999999|0.0|-0.3657134279999999|0.00372838|0.019094532|-0.072247675|1|1|0.003603419|-0.172653074|-0.090173435|-0.468696709|0.8264832879999999|0.824373792|-0.031986012|-0.1240820219999999|0.880943609|0|0.8439327120000001|-0.076777688|0.39541773|0.01588025|-50.12643041|10.36785909|82.07537640000001|-41.12547305|0.0|72.5855533|-24.42511853|60.4942895|0.452966315|2860.640481|-1196.830808|2456.062146|0.828040991|6403.739746|126.574178|30.29927658|0.014695647|1484.664552|9.594458155|1.0|1.0|0.0|1.0|0.14|17.0|81.65|2.0|0.0|1.0|-5.93|4.0|432.93|0.0|3.11|1.19e-06|0.0005139999999999|3.61e-06|4.49|0.0|0.0|6.03e-08|2.61e-05|-0.0542299999999999|5.0582|4.45|3.5286|695.96|1168.62|351.37|541.39|0.68457|-0.2038599999999999|0.03433522|-2035.202565|4.7893|7.9914|7.9914
17_a20|0.0|1|0|0|3.445659565|0|6.842683282|0|-0.005457467|4.727387819|0.00038506|0.065447136|1.652760156|-0.28924577|-0.000495713|0.038629586|-0.072863159|1|1|0.000922796|0.1134578219999999|-0.202695123|-0.456415963|0.760575852|0.7494736590000001|-0.131511077|-0.127696675|0.812578598|1|0.912053544|-0.063665681|0.3874475579999999|0.015032258|-41.75129828|9.857999796|66.47074027|-35.00871763|10.50834496|64.39681425|-20.699942|51.60929807|0.455285305|2761.976599|-1014.297158|2210.790304|0.83582343|6012.640572|161.12498630000002|27.44244402|0.016793117|1344.679757|11.012753300000002|0.0|1.0|1.0|1.0|0.08|27.0|91.14|2.0|0.0|0.0|-5.36|5.0|402.45|0.0|3.74|4.4e-06|0.0017699999999999|8.35e-06|3.75|0.0|0.0|7.19e-11|2.9e-08|-0.0706799999999999|3.3926|4.11|3.3926|673.68|1157.26|365.45|543.09|0.69839|-0.21089|0.03030655|-1291.752049|5.3075|5.6478|5.6478
14g_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.014609495|5.351858133|-0.301504331|0.058422864|0.653317181|-0.803522236|-0.002390707|-0.031968899|-0.030586527|2|2|-0.0004039459999999|0.179219801|-0.2952674819999999|-0.648987099|0.598213287|0.796412133|0.010202051|-0.044895912|0.854683662|1|0.907334473|-0.072819606|0.297855753|0.018341721|-51.82254036|13.05300369|95.64648102|-48.76552945|1.5679977319999998|83.15907597|-29.55936307|64.87554405|0.461846955|3400.464046|-1507.527516|2531.8503170000004|0.8582074559999999|8005.353973|156.3396622|37.88128151|0.020564836|1931.945357|14.63509796|0.0|0.0|1.0|1.0|0.09|26.0|114.25|2.0|0.0|1.0|-6.89|8.0|495.48|0.0|4.35|1.29e-07|6.38e-05|1e-06|4.76|0.0|0.0|1.12e-08|5.57e-06|-0.08011|3.7042|5.17|3.7042|730.13|1233.48|334.71|583.38|0.56658|-0.23201|0.0221162|-2042.000034|10245.0|8.0|8.0
13b_a5|0.0|1|0|0|2.948625157|0|7.153833802|1|-0.004573365|5.209486153|0.011339656|-0.006314305|0.0|-0.251535058|0.0064510459999999|-0.104404004|-0.017963913|1|1|0.0066003869999999|-0.010368468|-0.091464693|-0.357011244|0.6700114770000001|0.765309977|0.03431921|-0.0330907489999999|0.8184221559999999|0|0.831557236|-0.0694958329999999|0.468748106|0.0138892369999999|-44.93506461|8.980592802|14.41650822|-31.23446039|46.77748445|62.24204745|-17.04942469|53.91565742|0.455921715|2661.597781|-869.5206594|1177.571784|0.837970799|5678.380299|223.6695238|26.06641209|0.021552174|1329.387016|13.93534415|0.0|1.0|1.0|1.0|0.17|23.0|74.77|1.0|0.0|1.0|-4.24|4.0|395.46|1.0|3.26|5.69e-05|0.0225|3.75e-05|3.01|0.0|0.0|4.36e-09|1.72e-06|-0.05177|4.6733|4.66|4.1793|672.43|1138.73|296.66|503.93|0.57482|-0.22451|0.035153|-1275.865034|4.7964|6.9586|6.9586
12g_a36|0.0|1|0|0|3.5202147110000004|0|7.412764017000001|2|-0.006495469|5.351858133|-0.039008054|0.078990142|0.0|-0.409214521|0.0042553209999999|0.078155467|-0.0521750109999999|1|1|0.005035022|0.130052038|-0.163978382|-0.44093902|0.901715152|0.8026482070000001|-0.19532883|-0.088251318|0.847239339|0|0.854238488|-0.069292341|0.374686587|0.017738779|-47.63457647|12.19441007|24.29006276|-45.87193951|5.097410387|77.14470618|-23.75074918|59.82898654|0.473274545|2829.45056|-1401.294202|2476.712654|0.898522257|6223.658545|151.41267150000002|30.45962398|0.015152386|1797.1178149999998|10.41641087|1.0|1.0|1.0|2.0|0.24|17.0|69.2|2.0|0.0|1.0|-4.95|4.0|423.51|1.0|2.66|1.13e-05|0.0047799999999999|1.39e-05|3.8|0.0|0.0|4.2e-08|1.7800000000000002e-05|-0.0505199999999999|5.2092|4.21|3714.0|724.32|1241.66|333.83|657.02|0.70097|-0.20288|0.0255597|-1350.633209|7.8537|7.8539|7.8539
8_a10|0.0|0|0|0|0.0|1|7.535296702|1|-0.00560152|5.4161004020000005|-0.012055162|-0.000315856|1.546251312|-0.296880569|0.0087730469999999|-0.15615298|-0.106100115|1|1|0.009056935|-0.000504277|-0.132343104|-0.368590322|0.6357042860000001|0.809386132|-0.015871527|-0.167376069|0.864927472|1|0.874843982|-0.059655303|0.597912185|0.015758182|-32.63117642|8.619652859|32.98071169999999|-25.80127401|9.35593124|56.7864899|-16.36478554|41.25082928|0.431797417|2612.274447|-801.8744912000001|1899.542278|0.7599356820000001|6289.86818|151.7094758|22.64553798|0.017582236|1109.631361|9.617402178|0.0|1.0|1.0|0.0|0.22|21.0|69.9|1.0|0.0|1.0|-4.52|5.0|384.43|1.0|3.55|3.05e-05|0.0117|2.4100000000000003e-05|3.37|0.0|0.0|2.49e-08|9.59e-06|-0.0623299999999999|4.6964|4.58|3684.0|594.63|1047.58|336.55|416.69|0.68815|-0.21789|0.02243902|-1257.648047|1.5482|6279.0|6279.0
5a_a50|0.0|0|1|1|0.0|2|7.927685046000001|1|-0.00148647|5.82008293|-0.017108794|0.017227585|2.475383677|-0.06986407|0.012640587|-0.256097122|-0.130929632|2|2|0.01228899|0.028229556|-0.168135655|-0.161169418|0.699970832|0.788709546|-0.132977171|-0.203436041|0.847812674|1|0.969892876|-0.038932964|0.2814514|0.010185297|-20.77548565|5.435098605|6.819160781|-18.56865899|60.04351409|44.17662122|-12.13862875|26.21058426|0.4528093929999999|2246.106104|-521.9610361|1605.985157|0.8275167520000001|4770.917486|178.61652859999998|18.24602704|0.017576522|784.5791628|9.379218813|1.0|1.0|1.0|0.0|0.14|20.0|35.64|0.0|0.0|1.0|-3.89|2.0|326.39|1.0|3.47|0.000129|42.0|3.14e-05|3.46|0.0|0.0|5.7e-07|0.000186|-0.02487|5.6146|3.39|4.0159|582.98|976.41|308.73|455.34|0.6725399999999999|-0.19146|0.02452028|-1029.786489|5649.0|5.3872|5.3872
17f_a50|0.0|0|1|1|0.0|2|7.934155233999999|1|-0.002205848|5.82008293|0.022892513|-0.167275895|2.187498662|-0.125733326|0.012475826|-0.028989535|-0.132773563|2|2|0.0129274519999999|-0.275290802|-0.407467272|-0.204651539|0.758335704|0.7851209440000001|-0.132153434|-0.2257632789999999|0.8314734309999999|1|0.911458734|-0.047333916|0.333180181|0.016414675|-29.10566644|10.09339793|6.382846132999999|-28.30463221|82.90209608|55.9791334|-16.50175503|39.19906437|0.472769049|2582.272632|-874.5930167000001|1929.981543|0.896702|5579.97966|171.48226169999998|22.88344084|0.01617809|1212.822364|9.947921993|1.0|1.0|1.0|0.0|0.26|20.0|51.77|1.0|0.0|1.0|-3.58|4.0|384.48|1.0|2.92|0.000266|102.0|7.57e-05|2.83|0.0|0.0|4.15e-07|0.00016|-0.0336399999999999|4.0664|2.5|4.0664|653.63|1146.22|304.9|564.52|0.6573899999999999|-0.20148|0.0276719|-1219.02507|8.312999999999999|6.4001|6.4001
43_a18|0.0|0|0|0|0.0|0|7.03438793|2|-0.005099385|4.844187086|-0.01369899|-0.05314954|0.0|-0.397752066|0.002712865|0.031746165|-0.032429984|0|0|0.003801459|-0.079184068|-0.2093696189999999|-0.460675034|0.718255592|0.713379703|-0.023109314|-0.0579590709999999|0.7458234990000001|0|0.852344887|-0.070166168|0.3439906129999999|0.006890688|-54.49271386|5.35147222|0.66443384|-49.60799696|21.60709738|69.46280937|-24.16948112|59.84418608|0.481954273|3172.923606|-1788.541603|1579.614523|0.930331529|7428.282915000001|97.56464265|27.64206062|0.007193089|2045.512486|5.5863235410000005|0.0|1.0|1.0|2.0|0.34|18.0|76.5|3.0|0.0|1.0|-6.45|3.0|508.65|0.0|3.48|3.55e-07|0.00018|1.09e-06|5.1|0.0|1.0|2.52e-10|1.28e-07|-0.04949|3.2233|8.79|3.2233|843.1|1493.25|384.65|702.4|0.6926800000000001|-0.18145|0.02315412|-1611.198355|3.6943|6.2041|6.2041
12ac_a36|0.0|1|0|0|3.4419617660000004|0|7.412764017000001|2|-0.007639626|5.351858133|-0.073735973|0.03586247|0.0|-0.450737917|0.000584134|-0.046730704|-0.0121300989999999|1|1|0.0018565629999999|0.060445359|-0.166354116|-0.433636165|0.8058720979999999|0.811459853|0.135371136|-0.020272679|0.863165958|0|0.779673368|-0.080202334|0.4712820929999999|0.021508835|-55.68500110000001|14.93372351|118.0445703|-50.32319912|20.70356046|86.51036063|-25.03847816|70.61872461|0.44477577|2902.588755|-1377.116299|2455.459827|0.801074136|6378.288017|186.3198219|34.22211444|0.020208014|1882.216294|14.03055543|1.0|1.0|0.0|2.0|0.17|17.0|86.27|1.0|0.0|1.0|-3.81|5.0|423.47|0.0|1.84|0.000154|0.0653|0.000112|2.36|0.0|0.0|1.29e-07|5.4600000000000006e-05|-0.0527399999999999|3.8843|4.84|3.8594|711.77|1200.61|321.25|554.84|0.56357|-0.20949|0.03998989|-1385.382927|5.4387|7.8861|7.8861
13a_a5|0.0|1|0|0|2.931642415|0|6.605297921|0|-0.006081807|4.59511985|-0.033436214|-0.007871499|0.0|-0.328417593|0.002355511|-0.139517787|-0.025324157|1|1|0.003196482|-0.012798693|-0.0569177229999999|-0.367284642|0.746303189|0.8045357209999999|-0.048584084|-0.048575318|0.857293078|0|0.7667501609999999|-0.08903048|0.470564031|0.016739606|-57.31787843|10.77696869|126.2663658|-34.78546088|39.93934134|72.13276165|-18.01047283|68.09484712|0.460877309|2657.14588|-918.5341141|1314.232685|0.854865353|5628.9694|258.29825730000005|30.07803494|0.02811638|1533.979782|18.10134317|1.0|1.0|1.0|2.0|0.13|23.0|92.79|2.0|0.0|1.0|-3.77|5.0|399.45|0.0|2.71|0.000169|0.0675|0.000184|2.19|0.0|0.0|1.26e-09|5.02e-07|-0.05534|4.6285|3.81|4.2107|688.18|1160.81|294.45|567.51|0.50037|-0.22898|0.04138695|-1312.968936|4.1671|7041.0|7041.0
6a_a40|0.0|0|0|0|0.0|1|8.421342866|1|-0.014623575|6.401917197|-0.077397672|-0.146542353|0.775942224|-0.68730803|-0.001347823|0.104332675|-0.230955427|2|2|-0.001171195|-0.272320301|-0.040435852|-0.620787469|0.682273668|0.801647855|-0.012261923|-0.340539542|0.861720535|1|0.733750993|-0.109047987|0.360858579|0.016399125|-68.11170799|10.24294396|185.06174|-45.80643937|36.84483305|81.37714586|-30.69915817|78.35465194|0.41480944|2936.1501780000003|-1320.063801|2536.88262|0.708845065|7059.617542|82.54016015|35.37373259|0.012872604|1521.070502|8.040268001|1.0|0.0|1.0|1.0|0.21|14.0|173.43|2.0|1.0|2.0|-7.11|5.0|442.53|0.0|3.17|7.85e-08|3.47e-05|1.03e-05|3.77|1.0|0.0|8.950000000000001e-05|0.0396|-0.0926|2.9836|7.73|2.9836|649.48|1103.4|415.55|497.78|0.6782699999999999|-0.21255|0.01952089|-2371.443161|9.3893|7.3979|7.3979
16c_a32|0.0|1|1|1|3.329674745|0|7.765993078999999|0|-0.01639019|5.733341277|-0.087497559|-0.03152033|2.077479142|-0.770338913|-0.0064007569999999|-0.031087095|-0.036931818|3|3|-0.00369116|-0.057356214|-0.229450999|-0.697601261|0.809370315|0.8607827790000001|0.0482801729999999|-0.061904762|0.915639476|1|0.773043206|-0.088841599|0.367322508|0.025791147|-53.00702241|15.38819548|102.2022233|-42.71426897|37.0285246|86.97970500000001|-22.77882371|68.39521789|0.463897164|2649.168528|-1002.268243|3143.196853|0.8653137670000001|5979.891916|188.1603823|33.27140293|0.02579269|1463.941729|15.38911619|1.0|1.0|1.0|2.0|0.22|19.0|149.27|1.0|1.0|1.0|-6.04|5.0|399.49|0.0|3.41|9.17e-07|0.000366|3.89e-05|3.23|0.0|0.0|1.0300000000000001e-07|4.13e-05|-0.0505|3.6264|4.12|3.6264|639.66|1069.28|341.89|508.43|0.70198|-0.20047|0.02806787|-1916.536967|5.3459|8.3468|8.3468
14p_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.005975594|5.351858133|0.006191846|0.041987653|0.733042138|-0.310730878|0.009895793|-0.060144819|-0.053921569|2|2|0.009266617|0.080581604|-0.131709531|-0.4510651779999999|0.708395022|0.799506006|0.099883916|-0.090287278|0.8683808959999999|1|0.923455749|-0.063033628|0.223758613|0.0221104079999999|-42.52653933|14.91710363|40.58186569|-36.77082544|84.65359899|67.36602512|-22.70933393|57.44364296|0.464933687|3010.721939|-1090.0480289999998|2170.5738260000003|0.868927227|6696.264498|167.5607773|30.21311441|0.0190667019999999|1450.229492|12.86362369|0.0|1.0|1.0|1.0|0.04|26.0|128.81|1.0|0.0|1.0|-5.68|5.0|436.49|0.0|3.25|2.09e-06|0.0009109999999999|1.27e-05|3.3|0.0|0.0|3.39e-08|1.4800000000000002e-05|-0.09046|3.5752|3.29|3.5752|699.61|1191.08|346.79|573.24|0.6816|-0.2382|0.02935511|-1721.994023|9986.0|8.5302|8.5302
16_a4|0.0|0|0|0|0.0|1|7.535296702|1|-0.00228637|5.4161004020000005|-0.095499301|0.007101649|0.0|-0.089168424|0.0067511459999999|-0.148022089|0.019290123|1|1|0.006466406|0.020218035|-0.0513920109999999|-0.214481956|0.490768328|0.774455255|-0.0894138519999999|0.0293772029999999|0.8366279120000001|0|0.7898461090000001|-0.073335635|0.292255386|0.013727656|-36.11951685|6.761192037000001|13.51923899|-19.42906425|74.430775|45.11883447|-16.43666742|42.88070889|0.455802506|2101.6948030000003|-591.7200271|1522.164774|0.837568182|4520.2597670000005|82.51653675|19.74465314|0.0115138339999999|710.807513|5.67083266|1.0|1.0|0.0|0.0|0.11|17.0|30.71|1.0|0.0|1.0|-3.92|4.0|309.31|1.0|3.91|0.0001199999999999|0.0371|3.68e-05|3.59|0.0|0.0|4.33e-07|0.000134|-0.03965|4511.0|4.05|4.2257|515.68|856.55|293.41|407.99|0.54061|-0.2134|0.01638524|-1057.429593|1.9873|6.4647|6.4647
11_a1|0.0|1|0|0|3.3361517380000003|0|7.423568444|1|-0.018080197|5.351858133|-0.196819043|0.08043435|0.0|-0.867849442|-0.0127744789999999|-0.05257082|-0.044235537|1|1|-0.009578125|0.126722854|-0.117419838|-0.563650254|0.823460272|0.747358374|-0.069193862|-0.075188762|0.8086124090000001|0|0.5955245029999999|-0.131972845|0.2027328789999999|0.034974992|-77.81495049|20.62225192|274.39137789999995|-43.84323456|84.40380304|89.80732824|-28.7289904|98.43720241|0.47723847|2697.640232|-1264.075578|1885.148133|0.912918113|5798.645137|146.29971719999998|38.20963621|0.02620284|1681.223993|15.44994131|1.0|1.0|1.0|2.0|0.05|23.0|97.33|1.0|0.0|1.0|-5.07|6.0|385.37|0.0|3.22|8.48e-06|0.00327|2.17e-05|3.35|0.0|0.0|3.35e-08|1.29e-05|-0.06546|3.7383|5.26|3.1924|614.86|1036.18|388.38|471.76|0.69914|-0.19462|0.03413353|-1312.2963630000002|7.1743|6.7696|6.7696
